"Name","AchievementId","AchievementGroupId","AchievementGroupGrade","AchievementCategory","AchievementIcon","AchievementShowType","AutoCheck","AchievementOpenLevel","AchievementName","AchievementText","PlayDataId","CompleteCount","CompleteCountAccrue","ContentOpenPage","MissionId","RewardAchievementExp","RewardGOLD","RewardGoodsType","RewardGoodsCount","RewardItemId01","RewardItemCount01","RewardItemId02","RewardItemCount02"
"15301","15301","153","1","1","800001","0","0","0","1401000","1415000","153","3","3","0","0","25","1300","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","2","(0,0,0,0,0,0)","0"
"15302","15302","153","2","1","800001","0","0","0","1401000","1415000","153","5","8","0","0","25","1500","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","2","(0,0,0,0,0,0)","0"
"15303","15303","153","3","1","800001","0","0","0","1401000","1415000","153","7","15","0","0","25","1700","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","2","(0,0,0,0,0,0)","0"
"15304","15304","153","4","1","800001","0","0","0","1401000","1415000","153","9","24","0","0","50","2100","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","3","(0,0,0,0,0,0)","0"
"15305","15305","153","5","1","800001","0","0","0","1401000","1415000","153","12","36","0","0","50","2500","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","3","(0,0,0,0,0,0)","0"
"15306","15306","153","6","1","800001","0","0","0","1401000","1415000","153","15","51","0","0","50","2900","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","3","(0,0,0,0,0,0)","0"
"15307","15307","153","7","1","800001","0","0","0","1401000","1415000","153","18","69","0","0","50","3300","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","3","(0,0,0,0,0,0)","0"
"15308","15308","153","8","1","800001","0","0","0","1401000","1415000","153","21","90","0","0","50","3700","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","3","(0,0,0,0,0,0)","0"
"15309","15309","153","9","1","800001","0","0","0","1401000","1415000","153","24","114","0","0","75","4100","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","4","(0,0,0,0,0,0)","0"
"15310","15310","153","10","1","800001","0","0","0","1401000","1415000","153","27","141","0","0","75","4500","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","4","(0,0,0,0,0,0)","0"
"15311","15311","153","11","1","800001","0","0","0","1401000","1415000","153","30","171","0","0","75","4900","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","4","(0,0,0,0,0,0)","0"
"15312","15312","153","12","1","800001","0","0","0","1401000","1415000","153","35","206","0","0","75","5300","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","4","(0,0,0,0,0,0)","0"
"15313","15313","153","13","1","800001","0","0","0","1401000","1415000","153","40","246","0","0","75","5700","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","4","(0,0,0,0,0,0)","0"
"15314","15314","153","14","1","800001","0","0","0","1401000","1415000","153","45","291","0","0","100","6100","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","4","(0,0,0,0,0,0)","0"
"15315","15315","153","15","1","800001","0","0","0","1401000","1415000","153","50","341","0","0","100","6500","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","4","(0,0,0,0,0,0)","0"
"15316","15316","153","16","1","800001","0","0","0","1401000","1415000","153","55","396","0","0","100","6900","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","4","(0,0,0,0,0,0)","0"
"15317","15317","153","17","1","800001","0","0","0","1401000","1415000","153","60","456","0","0","100","7300","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15318","15318","153","18","1","800001","0","0","0","1401000","1415000","153","65","521","0","0","100","7700","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15319","15319","153","19","1","800001","0","0","0","1401000","1415000","153","70","591","0","0","125","8100","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15320","15320","153","20","1","800001","0","0","0","1401000","1415000","153","75","666","0","0","125","8500","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15321","15321","153","21","1","800001","0","0","0","1401000","1415000","153","80","746","0","0","125","8900","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15322","15322","153","22","1","800001","0","0","0","1401000","1415000","153","85","831","0","0","125","9300","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15323","15323","153","23","1","800001","0","0","0","1401000","1415000","153","90","921","0","0","125","9700","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15324","15324","153","24","1","800001","0","0","0","1401000","1415000","153","95","1016","0","0","150","10100","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15325","15325","153","25","1","800001","0","0","0","1401000","1415000","153","100","1116","0","0","150","10500","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15326","15326","153","26","1","800001","0","0","0","1401000","1415000","153","105","1221","0","0","150","10900","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15327","15327","153","27","1","800001","0","0","0","1401000","1415000","153","110","1331","0","0","150","11300","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15328","15328","153","28","1","800001","0","0","0","1401000","1415000","153","115","1446","0","0","150","11700","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15329","15329","153","29","1","800001","0","0","0","1401000","1415000","153","120","1566","0","0","175","12100","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15330","15330","153","30","1","800001","0","0","0","1401000","1415000","153","125","1691","0","0","175","12500","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15331","15331","153","31","1","800001","0","0","0","1401000","1415000","153","130","1821","0","0","175","12900","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15332","15332","153","32","1","800001","0","0","0","1401000","1415000","153","135","1956","0","0","175","13300","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15333","15333","153","33","1","800001","0","0","0","1401000","1415000","153","140","2096","0","0","175","13700","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15334","15334","153","34","1","800001","0","0","0","1401000","1415000","153","145","2241","0","0","200","14100","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"15335","15335","153","35","1","800001","0","0","0","1401000","1415000","153","150","2391","0","0","200","14500","0","0","(621200001,621200001,621200001,621200001,621200001,621200001)","5","(0,0,0,0,0,0)","0"
"1424101","1424101","14241","1","3","2530005","0","0","0","1401001","1415001","14241","100","100","0","0","50","2300","11","250","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0"
"1424102","1424102","14241","2","3","2530005","0","0","0","1401001","1415001","14241","900","1000","0","0","50","3300","11","300","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0"
