"Name","AchievementLevel","AchievementExp","AchievementExpAccrue","StatusType01","StatusTypeValue01","StatusType02","StatusTypeValue02","StatusType03","StatusTypeValue03","StatusType04","StatusTypeValue04","StatusType05","StatusTypeValue05"
"1","1","270","270","3","0","9","0","10","0","11","0","13","0"
"2","2","540","810","3","472","9","17","10","17","11","21","13","16"
"3","3","800","1610","3","606","9","22","10","22","11","27","13","23"
"4","4","1070","2680","3","746","9","28","10","28","11","34","13","30"
"5","5","1340","4020","3","891","9","34","10","34","11","41","13","38"
"6","6","1610","5630","3","1044","9","41","10","41","11","49","13","47"
"7","7","1880","7510","3","1203","9","49","10","49","11","58","13","57"
"8","8","2140","9650","3","1368","9","57","10","57","11","68","13","68"
"9","9","2410","12060","3","1540","9","67","10","67","11","78","13","80"
"10","10","2680","14740","3","1719","9","77","10","77","11","87","13","92"
"11","11","2950","17690","3","1904","9","89","10","89","11","98","13","105"
"12","12","3220","20910","3","2096","9","100","10","100","11","110","13","119"
"13","13","3480","24390","3","2294","9","112","10","112","11","123","13","135"
"14","14","3750","28140","3","2498","9","125","10","125","11","137","13","152"
"15","15","4020","32160","3","2709","9","139","10","139","11","152","13","170"
"16","16","4290","36450","3","2927","9","154","10","154","11","167","13","189"
"17","17","4560","41010","3","3150","9","170","10","170","11","184","13","209"
"18","18","4820","45830","3","3380","9","187","10","187","11","202","13","231"
"19","19","5090","50920","3","3616","9","205","10","205","11","221","13","254"
"20","20","5360","56280","3","3858","9","224","10","224","11","240","13","278"
"21","21","5630","61910","3","4106","9","243","10","243","11","261","13","304"
"22","22","5900","67810","3","4361","9","264","10","264","11","283","13","328"
"23","23","6160","73970","3","4621","9","286","10","286","11","306","13","353"
"24","24","6430","80400","3","4887","9","307","10","307","11","330","13","379"
"25","25","6700","87100","3","5159","9","329","10","329","11","356","13","407"
"26","26","6970","94070","3","5437","9","351","10","351","11","380","13","435"
"27","27","7240","101310","3","5721","9","376","10","376","11","404","13","466"
"28","28","7500","108810","3","6011","9","401","10","401","11","428","13","501"
"29","29","7770","116580","3","6306","9","426","10","426","11","453","13","537"
"30","30","8040","124620","3","6607","9","454","10","454","11","479","13","574"
"31","31","8310","132930","3","6914","9","481","10","481","11","506","13","613"
"32","32","8580","141510","3","7227","9","510","10","510","11","534","13","653"
"33","33","8840","150350","3","7545","9","540","10","540","11","563","13","695"
"34","34","9110","159460","3","7868","9","571","10","571","11","593","13","739"
"35","35","9380","168840","3","8198","9","603","10","603","11","627","13","785"
"36","36","9650","178490","3","8532","9","636","10","636","11","662","13","831"
"37","37","9920","188410","3","8872","9","670","10","670","11","698","13","880"
"38","38","10180","198590","3","9218","9","704","10","704","11","735","13","923"
"39","39","10450","209040","3","9569","9","741","10","741","11","757","13","951"
"40","40","10720","219760","3","9911","9","774","10","774","11","780","13","980"
"41","41","10990","230750","3","10243","9","800","10","800","11","804","13","1009"
"42","42","11260","242010","3","10578","9","825","10","825","11","827","13","1039"
"43","43","11520","253530","3","10917","9","851","10","851","11","851","13","1068"
"44","44","11790","265320","3","11259","9","877","10","877","11","875","13","1099"
"45","45","12060","277380","3","11604","9","903","10","903","11","899","13","1129"
"46","46","12330","289710","3","12127","9","942","10","942","11","935","13","1175"
"47","47","12600","302310","3","12657","9","983","10","983","11","972","13","1221"
"48","48","12860","315170","3","13194","9","1023","10","1023","11","1010","13","1268"
"49","49","13130","328300","3","13738","9","1064","10","1064","11","1048","13","1316"
"50","50","13400","341700","3","14288","9","1106","10","1106","11","1086","13","1364"
"51","51","13670","355370","3","14844","9","1148","10","1148","11","1125","13","1413"
"52","52","13940","369310","3","15406","9","1191","10","1191","11","1164","13","1463"
"53","53","14200","383510","3","15975","9","1234","10","1234","11","1204","13","1512"
"54","54","14470","397980","3","16548","9","1277","10","1277","11","1244","13","1563"
"55","55","14740","412720","3","17128","9","1321","10","1321","11","1285","13","1614"
"56","56","15010","427730","3","17713","9","1366","10","1366","11","1326","13","1665"
"57","57","15280","443010","3","18303","9","1410","10","1410","11","1367","13","1717"
"58","58","15540","458550","3","18899","9","1455","10","1455","11","1409","13","1769"
"59","59","15810","474360","3","19500","9","1501","10","1501","11","1451","13","1822"
"60","60","16080","490440","3","20106","9","1547","10","1547","11","1493","13","1875"
"61","61","16350","506790","3","20717","9","1593","10","1593","11","1535","13","1929"
"62","62","16620","523410","3","21332","9","1640","10","1640","11","1578","13","1983"
"63","63","16880","540290","3","21952","9","1687","10","1687","11","1622","13","2037"
"64","64","17150","557440","3","22577","9","1734","10","1734","11","1665","13","2092"
"65","65","17420","574860","3","23207","9","1782","10","1782","11","1709","13","2147"
"66","66","17690","592550","3","24053","9","1846","10","1846","11","1769","13","2222"
"67","67","17960","610510","3","24908","9","1910","10","1910","11","1828","13","2297"
"68","68","18220","628730","3","25770","9","1976","10","1976","11","1888","13","2372"
"69","69","18490","647220","3","26639","9","2042","10","2042","11","1949","13","2448"
"70","70","18760","665980","3","27516","9","2108","10","2108","11","2010","13","2526"
