"Name","AirWalkId","ClassID","AirStep","AirCoolTime","StandardSpeed","AirStandHeight","AirMoveHeight","AirWalkTime","UnableTime","AvailableTime","AirMotionBlur","DashReady","DashStart","FallStartSpeed"
"10001","10001","1","1","0.1","700","450","350","0.5","0","1.6","0","0","0","700"
"10002","10002","1","2","0.1","600","900","900","1.5","0.5","0","0","0","0","600"
"10003","10003","1","3","0","1300","600","600","1.5","0.5","4","0","0","0","900"
"10004","10004","1","4","1","8000","-300","-300","4","3","0.4","1","0.6","3.4","900"
"10005","10005","1","5","1","1600","600","600","1.5","0.3","0","1","0","0","900"
"10006","10006","1","6","1","8000","-300","-300","4","3.6","0.4","1","0.6","3.4","900"
"20001","20001","2","1","0.1","700","450","350","0.5","0","1.6","0","0","0","700"
"20002","20002","2","2","0.1","600","900","900","1.5","0.5","0","0","0","0","600"
"20003","20003","2","3","0","1300","600","600","1.5","0.5","4","0","0","0","900"
"20004","20004","2","4","1","8000","-300","-300","4","3","0.4","1","0.6","3.4","900"
"20005","20005","2","5","1","1600","600","600","1.5","0.3","0","1","0","0","900"
"20006","20006","2","6","1","8000","-300","-300","4","3.6","0.4","1","0.6","3.4","900"
"30001","30001","3","1","0.1","700","450","350","0.5","0","1.6","0","0","0","700"
"30002","30002","3","2","0.1","600","900","900","1.5","0.5","0","0","0","0","600"
"30003","30003","3","3","0","1300","600","600","1.5","0.5","4","0","0","0","900"
"30004","30004","3","4","1","8000","-300","-300","4","3","0.4","1","0.6","3.4","900"
"30005","30005","3","5","1","1600","600","600","1.5","0.3","0","1","0","0","900"
"30006","30006","3","6","1","8000","-300","-300","4","3.6","0.4","1","0.6","3.4","900"
"40001","40001","4","1","0.1","700","450","350","0.5","0","1.6","0","0","0","700"
"40002","40002","4","2","0.1","600","900","900","1.5","0.5","0","0","0","0","600"
"40003","40003","4","3","0","1300","600","600","1.5","0.5","4","0","0","0","900"
"40004","40004","4","4","1","8000","-300","-300","4","3","0.4","1","0.6","3.4","900"
"40005","40005","4","5","1","1600","600","600","1.5","0.3","0","1","0","0","900"
"40006","40006","4","6","1","8000","-300","-300","4","3.6","0.4","1","0.6","3.4","900"
"50001","50001","5","1","0.1","700","450","350","0.5","0","1.6","0","0","0","700"
"50002","50002","5","2","0.1","600","900","900","1.4","0.5","0","0","0","0","600"
"50003","50003","5","3","0","1300","600","600","1.4","0.5","4","0","0","0","900"
"50004","50004","5","4","1","8000","-300","-300","4","3","0.4","1","0.6","3.4","900"
"50005","50005","5","5","1","1600","600","600","1.5","0.3","0","1","0","0","900"
"50006","50006","5","6","1","8000","-300","-300","4","3.6","0.4","1","0.6","3.4","900"
"60001","60001","6","1","0.1","700","450","350","0.5","0","1.6","0","0","0","700"
"60002","60002","6","2","0.1","600","900","900","1.4","0.5","0","0","0","0","600"
"60003","60003","6","3","0","1300","600","600","1.4","0.5","4","0","0","0","900"
"60004","60004","6","4","1","8000","-300","-300","4","3","0.4","1","0.6","3.4","900"
"60005","60005","6","5","1","1600","600","600","1.5","0.3","0","1","0","0","900"
"60006","60006","6","6","1","8000","-300","-300","4","3.6","0.4","1","0.6","3.4","900"
