"Name","AutoFlightPathId","StageId","StartCoordinate","RandomRange","EndCoordinate","AirStep1","AirTime1","MoveCoordinate1","AirStep2","AirTime2","MoveCoordinate2","AirStep3","AirTime3","MoveCoordinate3","AirStep4","AirTime4","MoveCoordinate4","AirStep5","AirTime5","MoveCoordinate5"
"1001","1001","200251020","(X=-80.000000,Y=-1260.000000,Z=20.000000)","500","(X=-80.000732,Y=-3539.982422,Z=20.000000)","1","0.5","(X=-80.001404,Y=-1979.995850,Z=410.000000)","2","1.5","(X=-79.999878,Y=-2709.996338,Z=940.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1002","1002","200601040","(X=16315.219727,Y=-9.287598,Z=-4641.150391)","50","(X=-3175.731445,Y=8612.318359,Z=-4321.150391)","1","0.5","(X=11836.125000,Y=5903.487793,Z=1020.000000)","2","1.5","(X=9563.104492,Y=6263.338867,Z=1240.000000)","4","2","(X=645.688477,Y=7636.332031,Z=-640.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1101","1101","200501400","(X=-40.000000,Y=4550.000000,Z=300.000000)","50","(X=-4189.141602,Y=15805.154297,Z=1175.823242)","1","0.5","(X=-160.025970,Y=4950.027344,Z=1050.000000)","2","1.5","(X=-670.007568,Y=6270.000000,Z=3090.000000)","4","2","(X=-3860.119141,Y=14780.253906,Z=2160.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1102","1102","200501401","(X=-40.000000,Y=4550.000000,Z=300.000000)","50","(X=-4189.141602,Y=15805.154297,Z=1175.823242)","1","0.5","(X=-160.025970,Y=4950.027344,Z=1050.000000)","2","1.5","(X=-670.007568,Y=6270.000000,Z=3090.000000)","4","2","(X=-3860.119141,Y=14780.253906,Z=2160.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1103","1103","200501402","(X=-40.000000,Y=4550.000000,Z=300.000000)","50","(X=-4189.141602,Y=15805.154297,Z=1175.823242)","1","0.5","(X=-160.025970,Y=4950.027344,Z=1050.000000)","2","1.5","(X=-670.007568,Y=6270.000000,Z=3090.000000)","4","2","(X=-3860.119141,Y=14780.253906,Z=2160.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1104","1104","200501403","(X=-40.000000,Y=4550.000000,Z=300.000000)","50","(X=-4189.141602,Y=15805.154297,Z=1175.823242)","1","0.5","(X=-160.025970,Y=4950.027344,Z=1050.000000)","2","1.5","(X=-670.007568,Y=6270.000000,Z=3090.000000)","4","2","(X=-3860.119141,Y=14780.253906,Z=2160.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1201","1201","200601030","(X=-13290.000000,Y=-2460.000000,Z=550.000000)","50","(X=-14130.000000,Y=-5509.974609,Z=1790.000000)","1","0.5","(X=-13430.000000,Y=-3179.998535,Z=1750.000000)","2","1.5","(X=-13810.000000,Y=-4489.982422,Z=2240.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1202","1202","200601030","(X=470.000000,Y=-3610.000000,Z=-70.000000)","50","(X=5870.005371,Y=1290.004395,Z=-200.000000)","1","0.5","(X=879.999878,Y=-3180.000000,Z=400.000000)","2","1.5","(X=1150.000732,Y=-2909.998047,Z=770.000000)","4","2","(X=4639.995117,Y=590.016113,Z=810.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1211","1211","200601031","(X=-13290.000000,Y=-2460.000000,Z=550.000000)","50","(X=-14130.000000,Y=-5509.974609,Z=1790.000000)","1","0.5","(X=-13430.000000,Y=-3179.998535,Z=1750.000000)","2","1.5","(X=-13810.000000,Y=-4489.982422,Z=2240.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1212","1212","200601031","(X=470.000000,Y=-3610.000000,Z=-70.000000)","50","(X=5870.005371,Y=1290.004395,Z=-200.000000)","1","0.5","(X=879.999878,Y=-3180.000000,Z=400.000000)","2","1.5","(X=1150.000732,Y=-2909.998047,Z=770.000000)","4","2","(X=4639.995117,Y=590.016113,Z=810.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1221","1221","200601032","(X=-13290.000000,Y=-2460.000000,Z=550.000000)","50","(X=-14130.000000,Y=-5509.974609,Z=1790.000000)","1","0.5","(X=-13430.000000,Y=-3179.998535,Z=1750.000000)","2","1.5","(X=-13810.000000,Y=-4489.982422,Z=2240.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1222","1222","200601032","(X=470.000000,Y=-3610.000000,Z=-70.000000)","50","(X=5870.005371,Y=1290.004395,Z=-200.000000)","1","0.5","(X=879.999878,Y=-3180.000000,Z=400.000000)","2","1.5","(X=1150.000732,Y=-2909.998047,Z=770.000000)","4","2","(X=4639.995117,Y=590.016113,Z=810.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1231","1231","200601033","(X=-13290.000000,Y=-2460.000000,Z=550.000000)","50","(X=-14130.000000,Y=-5509.974609,Z=1790.000000)","1","0.5","(X=-13430.000000,Y=-3179.998535,Z=1750.000000)","2","1.5","(X=-13810.000000,Y=-4489.982422,Z=2240.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1232","1232","200601033","(X=470.000000,Y=-3610.000000,Z=-70.000000)","50","(X=5870.005371,Y=1290.004395,Z=-200.000000)","1","0.5","(X=879.999878,Y=-3180.000000,Z=400.000000)","2","1.5","(X=1150.000732,Y=-2909.998047,Z=770.000000)","4","2","(X=4639.995117,Y=590.016113,Z=810.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1233","1233","200601170","(X=130.000000,Y=4540.000000,Z=520.000000)","500","(X=129.998047,Y=-289.889648,Z=150.000000)","1","1.2","(X=130.000244,Y=3190.003906,Z=1320.000000)","2","1.6","(X=130.000977,Y=1820.037109,Z=1790.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1301","1301","200610001","(X=-4857.353516,Y=8292.123047,Z=346.235352)","50","(X=-3859.707275,Y=6789.053223,Z=24.436462)","1","0.5","(X=-4507.930176,Y=7765.707520,Z=699.656494)","2","1.5","(X=-4276.203125,Y=7416.500488,Z=931.084656)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1030030101","1030030101","103003010","(X=-784.841370,Y=-7329.895020,Z=-760.000000)","50","(X=-2059.058350,Y=-6197.089844,Z=95.000000)","1","1.5","(X=-1434.657715,Y=-6758.978516,Z=230.000000)","2","1","(X=-1877.860107,Y=-6369.589844,Z=440.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1030030701","1030030701","103003070","(X=2615.000000,Y=21490.000000,Z=-1545.000000)","50","(X=3856.525635,Y=18078.914063,Z=-3945.000000)","1","2","(X=3290.488525,Y=19634.101563,Z=-570.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1030030702","1030030702","103003070","(X=3671.191162,Y=18516.320313,Z=-3825.000000)","50","(X=1981.194092,Y=21443.476563,Z=-1590.000000)","1","2","(X=3076.736328,Y=19425.949219,Z=-2085.000000)","2","1.5","(X=2362.222168,Y=20693.513672,Z=-865.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1030030703","1030030703","103003070","(X=-21095.417969,Y=-4675.204102,Z=-500.000000)","50","(X=-18399.054688,Y=-6104.940918,Z=-3735.000000)","1","2","(X=-19899.335938,Y=-5423.505371,Z=190.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1030030704","1030030704","103003070","(X=-18158.529297,Y=-5316.044434,Z=-3795.000000)","50","(X=-20982.300781,Y=-4288.308594,Z=-495.000000)","1","2","(X=-19140.496094,Y=-4958.632813,Z=-1180.000000)","2","1.5","(X=-20164.763672,Y=-4585.831055,Z=170.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1030030201","1030030201","103003020","(X=7860.000000,Y=-9725.000000,Z=860.000000)","50","(X=8651.002930,Y=-10702.226563,Z=1850.000000)","1","1.5","(X=8190.459961,Y=-10086.801758,Z=1685.000000)","2","1","(X=8429.869141,Y=-10348.916992,Z=2185.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1030030202","1030030202","103003020","(X=8590.000000,Y=-10570.000000,Z=1860.000000)","50","(X=7761.488281,Y=-9613.971680,Z=865.000000)","1","1.5","(X=8331.638672,Y=-10264.635742,Z=2155.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
"1030030203","1030030203","103003020","(X=14617.724609,Y=-6469.714844,Z=1020.000000)","50","(X=13738.003906,Y=-7539.436523,Z=1505.000000)","1","1.5","(X=14230.266602,Y=-6940.856934,Z=1500.000000)","2","1","(X=13957.142578,Y=-7272.972168,Z=1840.000000)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)","0","0","(X=0,Y=0,Z=0)"
