"Name","Id","NameStrId","GroupType","PurchaseMinLevel","PurchaseMaxLevel","LevelCondition","MissionStart","MissionEnd","SeasonBuffFist1","SeasonBuffFist2","SeasonBuffSecond1","SeasonBuffSecond2","SeasonBuffDesc","BattlePassGroupId","BattlePassRewardGroupId","PurchaseButton1","Web1","PurchaseButton2","Web2","RewardCategory1","AosUid1","IosUid1","OneStoreUid1","SamsungUid1","SteamUid1","XsollaUid1","MycardUid1","HydraUid1","HuaweiUid1","pWemixdUid1","SteamItemID1","XsollaItemID1","MycardItemID1","AosUidValue1","IosUidValue1","OneStoreValue1","SamsungValue1","SteamValue1","XsollaValue1","MycardValue1","HydraValue1","HuaweiValue1","pWemixdValue1","RewardCategory2","AosUid2","IosUid2","OneStoreUid2","SamsungUid2","SteamUid2","XsollaUid2","MycardUid2","HydraUid2","HuaweiUid2","pWemixdUid2","SteamItemID2","XsollaItemID2","MycardItemID2","AosUidValue2","IosUidValue2","OneStoreValue2","SamsungValue2","SteamValue2","XsollaValue2","MycardValue2","HydraValue2","HuaweiValue2","pWemixdValue2","LevelText","TitleText","APICategory1","APICategory2","TicketId1","TicketId2","TicketIdCount1","TicketIdCount2"
"100001","100001","2200002","1","0","0","0","2021-07-31 16:00:01","2021-08-31 15:59:59","8000001","8000003","8000002","8000004","2200509","1001001","10001","230615203","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","230615201","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","20001","mir4gb.aos.battlepass.1","mir4gb.ios.battlepass.1","mir4gb.one.battlepass.1","mir4gb.galaxystore.battlepass.1","mir4gb.steam.battlepass.1","mir4gb.xsolla.battlepass.1","mir4gb.mycard.battlepass.1","mir4gb.hydra.battlepass.1","mir4gb.huawei.battlepass.1","mir4gb.pwemixd.battlepass.1","100001","100001","100001","999,","999,","999,","999,","999,","999,","999,","999,","999,","999,","30001","mir4gb.aos.battlepass.2","mir4gb.ios.battlepass.2","mir4gb.one.battlepass.2","mir4gb.galaxystore.battlepass.2","mir4gb.steam.battlepass.2","mir4gb.xsolla.battlepass.2","mir4gb.mycard.battlepass.2","mir4gb.hydra.battlepass.2","mir4gb.huawei.battlepass.2","mir4gb.pwemixd.battlepass.2","100001","100001","100001","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","0","2200538","1","2","1815200001","1815200002","1","1"
"100002","100002","2200002","1","0","0","0","2021-08-31 16:00:01","2021-09-30 15:59:59","8000001","8000003","8000002","8000004","2200509","1001002","10002","230615203","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","230615201","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","20002","mir4gb.aos.battlepass.1","mir4gb.ios.battlepass.1","mir4gb.one.battlepass.1","mir4gb.galaxystore.battlepass.1","mir4gb.steam.battlepass.1","mir4gb.xsolla.battlepass.1","mir4gb.mycard.battlepass.1","mir4gb.hydra.battlepass.1","mir4gb.huawei.battlepass.1","mir4gb.pwemixd.battlepass.1","100002","100002","100002","999,","999,","999,","999,","999,","999,","999,","999,","999,","999,","30002","mir4gb.aos.battlepass.2","mir4gb.ios.battlepass.2","mir4gb.one.battlepass.2","mir4gb.galaxystore.battlepass.2","mir4gb.steam.battlepass.2","mir4gb.xsolla.battlepass.2","mir4gb.mycard.battlepass.2","mir4gb.hydra.battlepass.2","mir4gb.huawei.battlepass.2","mir4gb.pwemixd.battlepass.2","100002","100002","100002","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","0","2200538","1","2","1815200001","1815200002","1","1"
"100003","100003","2200002","1","0","0","0","2021-09-30 16:00:01","2021-10-31 15:59:59","8000001","8000003","8000002","8000004","2200509","1001003","10003","230615203","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","230615201","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","20003","mir4gb.aos.battlepass.1","mir4gb.ios.battlepass.1","mir4gb.one.battlepass.1","mir4gb.galaxystore.battlepass.1","mir4gb.steam.battlepass.1","mir4gb.xsolla.battlepass.1","mir4gb.mycard.battlepass.1","mir4gb.hydra.battlepass.1","mir4gb.huawei.battlepass.1","mir4gb.pwemixd.battlepass.1","100003","100003","100003","999,","999,","999,","999,","999,","999,","999,","999,","999,","999,","30003","mir4gb.aos.battlepass.2","mir4gb.ios.battlepass.2","mir4gb.one.battlepass.2","mir4gb.galaxystore.battlepass.2","mir4gb.steam.battlepass.2","mir4gb.xsolla.battlepass.2","mir4gb.mycard.battlepass.2","mir4gb.hydra.battlepass.2","mir4gb.huawei.battlepass.2","mir4gb.pwemixd.battlepass.2","100003","100003","100003","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","0","2200538","1","2","1815200001","1815200002","1","1"
"100004","100004","2200002","1","0","0","0","2021-10-31 16:00:01","2021-11-30 15:59:59","8000001","8000003","8000002","8000004","2200509","1001004","10004","230615203","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","230615201","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","20004","mir4gb.aos.battlepass.1","mir4gb.ios.battlepass.1","mir4gb.one.battlepass.1","mir4gb.galaxystore.battlepass.1","mir4gb.steam.battlepass.1","mir4gb.xsolla.battlepass.1","mir4gb.mycard.battlepass.1","mir4gb.hydra.battlepass.1","mir4gb.huawei.battlepass.1","mir4gb.pwemixd.battlepass.1","100004","100004","100004","999,","999,","999,","999,","999,","999,","999,","999,","999,","999,","30004","mir4gb.aos.battlepass.2","mir4gb.ios.battlepass.2","mir4gb.one.battlepass.2","mir4gb.galaxystore.battlepass.2","mir4gb.steam.battlepass.2","mir4gb.xsolla.battlepass.2","mir4gb.mycard.battlepass.2","mir4gb.hydra.battlepass.2","mir4gb.huawei.battlepass.2","mir4gb.pwemixd.battlepass.2","100004","100004","100004","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","0","2200538","1","2","1815200001","1815200002","1","1"
"100005","100005","2200002","1","0","0","0","2021-11-30 16:00:01","2021-12-31 15:59:59","8000001","8000003","8000002","8000004","2200509","1001005","10005","230615203","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","230615201","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","20005","mir4gb.aos.battlepass.1","mir4gb.ios.battlepass.1","mir4gb.one.battlepass.1","mir4gb.galaxystore.battlepass.1","mir4gb.steam.battlepass.1","mir4gb.xsolla.battlepass.1","mir4gb.mycard.battlepass.1","mir4gb.hydra.battlepass.1","mir4gb.huawei.battlepass.1","mir4gb.pwemixd.battlepass.1","100005","100005","100005","999,","999,","999,","999,","999,","999,","999,","999,","999,","999,","30005","mir4gb.aos.battlepass.2","mir4gb.ios.battlepass.2","mir4gb.one.battlepass.2","mir4gb.galaxystore.battlepass.2","mir4gb.steam.battlepass.2","mir4gb.xsolla.battlepass.2","mir4gb.mycard.battlepass.2","mir4gb.hydra.battlepass.2","mir4gb.huawei.battlepass.2","mir4gb.pwemixd.battlepass.2","100005","100005","100005","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","0","2200538","1","2","1815200001","1815200002","1","1"
"100006","100006","2200002","1","0","0","0","2021-12-31 16:00:01","2022-01-31 15:59:59","8000001","8000003","8000002","8000004","2200509","1001006","10006","230615203","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","230615201","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","20006","mir4gb.aos.battlepass.1","mir4gb.ios.battlepass.1","mir4gb.one.battlepass.1","mir4gb.galaxystore.battlepass.1","mir4gb.steam.battlepass.1","mir4gb.xsolla.battlepass.1","mir4gb.mycard.battlepass.1","mir4gb.hydra.battlepass.1","mir4gb.huawei.battlepass.1","mir4gb.pwemixd.battlepass.1","100006","100006","100006","999,","999,","999,","999,","999,","999,","999,","999,","999,","999,","30006","mir4gb.aos.battlepass.2","mir4gb.ios.battlepass.2","mir4gb.one.battlepass.2","mir4gb.galaxystore.battlepass.2","mir4gb.steam.battlepass.2","mir4gb.xsolla.battlepass.2","mir4gb.mycard.battlepass.2","mir4gb.hydra.battlepass.2","mir4gb.huawei.battlepass.2","mir4gb.pwemixd.battlepass.2","100006","100006","100006","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","0","2200538","1","2","1815200001","1815200002","1","1"
"100007","100007","2200002","1","0","0","0","2022-01-31 16:00:01","2022-02-28 15:59:59","8000001","8000003","8000002","8000004","2200509","1001007","10007","230615203","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","230615201","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","20007","mir4gb.aos.battlepass.1","mir4gb.ios.battlepass.1","mir4gb.one.battlepass.1","mir4gb.galaxystore.battlepass.1","mir4gb.steam.battlepass.1","mir4gb.xsolla.battlepass.1","mir4gb.mycard.battlepass.1","mir4gb.hydra.battlepass.1","mir4gb.huawei.battlepass.1","mir4gb.pwemixd.battlepass.1","100007","100007","100007","999,","999,","999,","999,","999,","999,","999,","999,","999,","999,","30007","mir4gb.aos.battlepass.2","mir4gb.ios.battlepass.2","mir4gb.one.battlepass.2","mir4gb.galaxystore.battlepass.2","mir4gb.steam.battlepass.2","mir4gb.xsolla.battlepass.2","mir4gb.mycard.battlepass.2","mir4gb.hydra.battlepass.2","mir4gb.huawei.battlepass.2","mir4gb.pwemixd.battlepass.2","100007","100007","100007","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","0","2200538","1","2","1815200001","1815200002","1","1"
"100008","100008","2200002","1","0","0","0","2022-02-28 16:00:01","2022-03-31 15:59:59","8000001","8000003","8000002","8000004","2200509","1001008","10008","230615203","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","230615201","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","20008","mir4gb.aos.battlepass.1","mir4gb.ios.battlepass.1","mir4gb.one.battlepass.1","mir4gb.galaxystore.battlepass.1","mir4gb.steam.battlepass.1","mir4gb.xsolla.battlepass.1","mir4gb.mycard.battlepass.1","mir4gb.hydra.battlepass.1","mir4gb.huawei.battlepass.1","mir4gb.pwemixd.battlepass.1","100008","100008","100008","999,","999,","999,","999,","999,","999,","999,","999,","999,","999,","30008","mir4gb.aos.battlepass.2","mir4gb.ios.battlepass.2","mir4gb.one.battlepass.2","mir4gb.galaxystore.battlepass.2","mir4gb.steam.battlepass.2","mir4gb.xsolla.battlepass.2","mir4gb.mycard.battlepass.2","mir4gb.hydra.battlepass.2","mir4gb.huawei.battlepass.2","mir4gb.pwemixd.battlepass.2","100008","100008","100008","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","0","2200538","1","2","1815200001","1815200002","1","1"
"100009","100009","2200002","1","0","0","0","2022-03-31 16:00:01","2022-04-30 15:59:59","8000001","8000003","8000002","8000004","2200509","1001009","10009","230615203","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","230615201","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","20009","mir4gb.aos.battlepass.1","mir4gb.ios.battlepass.1","mir4gb.one.battlepass.1","mir4gb.galaxystore.battlepass.1","mir4gb.steam.battlepass.1","mir4gb.xsolla.battlepass.1","mir4gb.mycard.battlepass.1","mir4gb.hydra.battlepass.1","mir4gb.huawei.battlepass.1","mir4gb.pwemixd.battlepass.1","100009","100009","100009","999,","999,","999,","999,","999,","999,","999,","999,","999,","999,","30009","mir4gb.aos.battlepass.2","mir4gb.ios.battlepass.2","mir4gb.one.battlepass.2","mir4gb.galaxystore.battlepass.2","mir4gb.steam.battlepass.2","mir4gb.xsolla.battlepass.2","mir4gb.mycard.battlepass.2","mir4gb.hydra.battlepass.2","mir4gb.huawei.battlepass.2","mir4gb.pwemixd.battlepass.2","100009","100009","100009","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","0","2200538","1","2","1815200001","1815200002","1","1"
"100010","100010","2200002","1","0","0","0","2022-04-30 16:00:01","2022-05-31 15:59:59","8000001","8000003","8000002","8000004","2200509","1001010","10010","230615203","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","230615201","/Game/UI/Atlas_N_Resource/Contents/Event/battlePass_img_01","20010","mir4gb.aos.battlepass.1","mir4gb.ios.battlepass.1","mir4gb.one.battlepass.1","mir4gb.galaxystore.battlepass.1","mir4gb.steam.battlepass.1","mir4gb.xsolla.battlepass.1","mir4gb.mycard.battlepass.1","mir4gb.hydra.battlepass.1","mir4gb.huawei.battlepass.1","mir4gb.pwemixd.battlepass.1","100010","100010","100010","999,","999,","999,","999,","999,","999,","999,","999,","999,","999,","30010","mir4gb.aos.battlepass.2","mir4gb.ios.battlepass.2","mir4gb.one.battlepass.2","mir4gb.galaxystore.battlepass.2","mir4gb.steam.battlepass.2","mir4gb.xsolla.battlepass.2","mir4gb.mycard.battlepass.2","mir4gb.hydra.battlepass.2","mir4gb.huawei.battlepass.2","mir4gb.pwemixd.battlepass.2","100010","100010","100010","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","2999,","0","2200538","1","2","1815200001","1815200002","1","1"
