"Name","Id","GroupId","GroupType","NeedPoint","Number","NameStrId","RewardGroup","RewardCategory","RewardType","RewardId","RewardCount"
"10000001","10000001","10001","1","90","1","0","10001","10001","1","(2,2,2,2,2,2)","50000"
"10000002","10000002","10001","1","90","1","0","20001","20001","2","(602200604,602200604,602200604,602200604,602200604,602200604)","5"
"10000003","10000003","10001","1","90","1","0","30001","30001","2","(602200605,602200605,602200605,602200605,602200605,602200605)","5"
"10000004","10000004","10001","1","180","2","0","10001","10001","2","(625200602,625200602,625200602,625200602,625200602,625200602)","1"
"10000005","10000005","10001","1","180","2","0","20001","20001","2","(601201601,601201601,601201601,601201601,601201601,601201601)","1"
"10000006","10000006","10001","1","180","2","0","30001","30001","2","(601201602,601201602,601201602,601201602,601201602,601201602)","1"
"10000007","10000007","10001","1","270","3","0","10001","10001","0","(0,0,0,0,0,0)","0"
"10000008","10000008","10001","1","270","3","0","20001","20001","2","(902200102,902200102,902200102,902200102,902200102,902200102)","20"
"10000009","10000009","10001","1","270","3","0","30001","30001","2","(903200002,903200002,903200002,903200002,903200002,903200002)","1"
"10000010","10000010","10001","1","360","4","0","10001","10001","1","(12,12,12,12,12,12)","30000"
"10000011","10000011","10001","1","360","4","0","20001","20001","2","(602200604,602200604,602200604,602200604,602200604,602200604)","5"
"10000012","10000012","10001","1","360","4","0","30001","30001","2","(904200002,904200002,904200002,904200002,904200002,904200002)","1"
"10000013","10000013","10001","1","450","5","0","10001","10001","2","(625200602,625200602,625200602,625200602,625200602,625200602)","1"
"10000014","10000014","10001","1","450","5","0","20001","20001","2","(523200001,523200001,523200001,523200001,523200001,523200001)","1"
"10000015","10000015","10001","1","450","5","0","30001","30001","2","(905200002,905200002,905200002,905200002,905200002,905200002)","1"
"10000016","10000016","10001","1","540","6","0","10001","10001","0","(0,0,0,0,0,0)","0"
"10000017","10000017","10001","1","540","6","0","20001","20001","2","(901200402,901200402,901200402,901200402,901200402,901200402)","20"
"10000018","10000018","10001","1","540","6","0","30001","30001","2","(508200002,508200002,508200002,508200002,508200002,508200002)","2"
"10000019","10000019","10001","1","630","7","0","10001","10001","1","(11,11,11,11,11,11)","30000"
"10000020","10000020","10001","1","630","7","0","20001","20001","2","(602200605,602200605,602200605,602200605,602200605,602200605)","5"
"10000021","10000021","10001","1","630","7","0","30001","30001","2","(602202401,602202401,602202401,602202401,602202401,602202401)","1"
"10000022","10000022","10001","1","720","8","0","10001","10001","2","(625200602,625200602,625200602,625200602,625200602,625200602)","1"
"10000023","10000023","10001","1","720","8","0","20001","20001","2","(508200005,508200005,508200005,508200005,508200005,508200005)","1"
"10000024","10000024","10001","1","720","8","0","30001","30001","2","(601201602,601201602,601201602,601201602,601201602,601201602)","1"
"10000025","10000025","10001","1","810","9","0","10001","10001","2","(508200001,508200001,508200001,508200001,508200001,508200001)","10"
"10000026","10000026","10001","1","810","9","0","20001","20001","2","(902200102,902200102,902200102,902200102,902200102,902200102)","50"
"10000027","10000027","10001","1","810","9","0","30001","30001","2","(602201601,602201601,602201601,602201601,602201601,602201601)","1"
"10000028","10000028","10001","1","900","10","0","10001","10001","0","(0,0,0,0,0,0)","0"
