"Name","BrocastId","ContentId","UseItemId","TargetId","MainType","SubType","Grade","SmeltStep","ChatShareOnOff","ChatShareGrade"
"102013","102013","1","(0)","(0)","2","1","3","0","1","4"
"102023","102023","1","(0)","(0)","2","2","3","0","1","4"
"102033","102033","1","(0)","(0)","2","3","3","0","1","4"
"102043","102043","1","(0)","(0)","2","4","3","0","1","4"
"102053","102053","1","(0)","(0)","2","5","3","0","1","4"
"102063","102063","1","(0)","(0)","2","6","3","0","1","4"
"103013","103013","1","(0)","(0)","3","1","3","0","1","4"
"103023","103023","1","(0)","(0)","3","2","3","0","1","4"
"103033","103033","1","(0)","(0)","3","3","3","0","1","4"
"103043","103043","1","(0)","(0)","3","4","3","0","1","4"
"104013","104013","1","(0)","(0)","4","1","3","0","1","4"
"104023","104023","1","(0)","(0)","4","2","3","0","1","4"
"104033","104033","1","(0)","(0)","4","3","3","0","1","4"
"104043","104043","1","(0)","(0)","4","4","3","0","1","4"
"120013","120013","1","(0)","(0)","20","1","3","0","1","4"
"122013","122013","1","(0)","(0)","22","1","3","0","1","4"
"122023","122023","1","(0)","(0)","22","2","3","0","1","4"
"122033","122033","1","(0)","(0)","22","3","3","0","1","4"
"122043","122043","1","(0)","(0)","22","4","3","0","1","4"
"122053","122053","1","(0)","(0)","22","5","3","0","1","4"
"109033","109033","1","(0)","(0)","9","3","3","0","1","4"
"109043","109043","1","(0)","(0)","9","4","3","0","1","4"
"109053","109053","1","(0)","(0)","9","5","3","0","1","4"
"109063","109063","1","(0)","(0)","9","6","3","0","1","4"
"109073","109073","1","(0)","(0)","9","7","3","0","1","4"
"109083","109083","1","(0)","(0)","9","8","3","0","1","4"
"117013","117013","1","(0)","(0)","17","1","3","0","1","4"
"112013","112013","1","(0)","(0)","12","1","3","0","1","4"
"113033","113033","1","(0)","(0)","13","3","3","0","1","4"
"117024","117024","1","(0)","(0)","17","2","4","0","1","4"
"108014","108014","1","(0)","(0)","8","1","4","0","1","4"
"108024","108024","1","(0)","(0)","8","2","4","0","1","4"
"108034","108034","1","(0)","(0)","8","3","4","0","1","4"
"108044","108044","1","(0)","(0)","8","4","4","0","1","4"
"108054","108054","1","(0)","(0)","8","5","4","0","1","4"
"108064","108064","1","(0)","(0)","8","6","4","0","1","4"
"108074","108074","1","(0)","(0)","8","7","4","0","1","4"
"108094","108094","1","(0)","(0)","8","9","4","0","1","4"
"108084","108084","1","(0)","(0)","8","8","4","0","1","4"
"202014","202014","2","(0)","(0)","2","1","4","0","1","4"
"202024","202024","2","(0)","(0)","2","2","4","0","1","4"
"202034","202034","2","(0)","(0)","2","3","4","0","1","4"
"202044","202044","2","(0)","(0)","2","4","4","0","1","4"
"202054","202054","2","(0)","(0)","2","5","4","0","1","4"
"202064","202064","2","(0)","(0)","2","6","4","0","1","4"
"203014","203014","2","(0)","(0)","3","1","4","0","1","4"
"203024","203024","2","(0)","(0)","3","2","4","0","1","4"
"203034","203034","2","(0)","(0)","3","3","4","0","1","4"
"203044","203044","2","(0)","(0)","3","4","4","0","1","4"
"204014","204014","2","(0)","(0)","4","1","4","0","1","4"
"204024","204024","2","(0)","(0)","4","2","4","0","1","4"
"204034","204034","2","(0)","(0)","4","3","4","0","1","4"
"204044","204044","2","(0)","(0)","4","4","4","0","1","4"
"220014","220014","2","(0)","(0)","20","1","4","0","1","4"
"222014","222014","2","(0)","(0)","22","1","4","0","1","4"
"222024","222024","2","(0)","(0)","22","2","4","0","1","4"
"222034","222034","2","(0)","(0)","22","3","4","0","1","4"
"222044","222044","2","(0)","(0)","22","4","4","0","1","4"
"222054","222054","2","(0)","(0)","22","5","4","0","1","4"
"217024","217024","2","(0)","(0)","17","2","4","0","1","4"
"213034","213034","2","(0)","(0)","13","3","4","0","1","4"
"309034","309034","3","(0)","(0)","9","3","4","0","1","4"
"309044","309044","3","(0)","(0)","9","4","4","0","1","4"
"309054","309054","3","(0)","(0)","9","5","4","0","1","4"
"309064","309064","3","(0)","(0)","9","6","4","0","1","4"
"309074","309074","3","(0)","(0)","9","7","4","0","1","4"
"309084","309084","3","(0)","(0)","9","8","4","0","1","4"
"317014","317014","3","(0)","(0)","17","1","4","0","1","4"
"312014","312014","3","(0)","(0)","12","1","4","0","1","4"
"317024","317024","3","(0)","(0)","17","2","4","0","1","4"
