"Name","BuffId","ActEffect","BuffEffect","EffectSocket","EffectSocket_Type","ExtinctionEffect","ExtinctionEffectSocket","BuffEffectScale","EffectHeight","BuffName","BuffExplain","Icon","Icon_Big","ShowDamageFont","PetBuff_IconId","PetId","BuffUseType","ApplyType","BuffTarget","UpdateRule","KeepType_Die","KeepType_StageOut","KeepType_LogOut","BuffArmorType","Buffprobability","BuffOverlap","OverLapCallGroupID","BuffAttackID","TimeType","BuffType","IsHideRemainTime","BuffTime","LevelUpBuffTime","BuffIndexType_1","BuffIndex_1","BuffValue_1","LevelUpBuffValue_1","BuffValueEx_1","BuffIndexType_2","BuffIndex_2","BuffValue_2","LevelUpBuffValue_2","BuffValueEx_2","BuffIndexType_3","BuffIndex_3","BuffValue_3","LevelUpBuffValue_3","BuffValueEx_3","MaterialPath","Emissive_Dcolor","Fresnel_Exponenth","Fresnel_BaseReflect","PassiveID","detachBuffID","AppearBuff","CalculateType_1","CalculateType_2","CalculateType_3","ShowDamageLog"
"1","1","0","2050134","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2021","800","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"2","2","0","2050134","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2021","1600","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"3","3","0","2050134","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2021","500","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"4","4","0","2050134","Root","1","0","0","1","0","330105","340105","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","2","0","5","0","2","2022","100","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"5","5","0","2050134","Root","1","0","0","1","0","330105","340105","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","2","0","5","0","2","2022","150","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"6","6","0","2050134","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","2","0","5","0","2","2021","825","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"7","7","0","2050134","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2021","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"11","11","2010014","0","Root","1","0","0","1","0","330047","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2025","150","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"12","12","2010014","0","Root","1","0","0","1","0","330047","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2025","300","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"13","13","2010014","0","Root","1","0","0","1","0","330047","340047","0","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","2","0","1","0","2","2026","500","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
