"Name","BuffAttackID","TargetType","TargetValue","ImpactType","AttackDistanceMax","AttackHeight","DamageAttribute","MulDamage","LevelUpMulDamage","AddDamage","LevelUpAddDamage","MagicDamage","LevelUpMagicDamage","AddMagicDamage","LevelUpAddMagicDamage","SuperIgnore","CCStance","CrowdControlType","CCDirection","CrowdControlValue","CrowdControlHeight","CrowdControlValueEx","CrowdControlTime","CCEffect","CCEffectSocket","CCEffectHeight","CCEffectScale","CCMaterialPath","HitEffect","CriticalHitEffect","HitEffectScale"
"10101","10101","1","1","0","0","500","0","0","0","0","0","0","0","0","0","0","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"10102","10102","1","1","0","0","500","0","0","0","0","0","0","0","0","0","0","21","2","0","0","0","0","3","2050003","Buff_Top","40","1","0","0","0","1"
"10103","10103","1","1","0","0","500","0","0","0","0","0","0","0","0","0","0","21","2","0","0","0","0","4","2050003","Buff_Top","40","1","0","0","0","1"
"10104","10104","1","1","0","0","500","0","0","0","0","0","0","0","0","0","0","21","2","0","0","0","0","6","2050003","Buff_Top","40","1","0","0","0","1"
"10105","10105","1","1","0","0","500","0","0","0","0","0","0","0","0","0","0","21","2","0","0","0","0","8","2050003","Buff_Top","40","1","0","0","0","1"
"10121","10121","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"10122","10122","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"10123","10123","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","3","2050003","Buff_Top","40","1","0","0","0","1"
"10124","10124","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","4","2050003","Buff_Top","40","1","0","0","0","1"
"10125","10125","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","5","2050003","Buff_Top","40","1","0","0","0","1"
"10126","10126","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","6","2050003","Buff_Top","40","1","0","0","0","1"
"10127","10127","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","7","2050003","Buff_Top","40","1","0","0","0","1"
"10128","10128","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","8","2050003","Buff_Top","40","1","0","0","0","1"
"10129","10129","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","9","2050003","Buff_Top","40","1","0","0","0","1"
"10130","10130","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","10","2050003","Buff_Top","40","1","0","0","0","1"
"10131","10131","1","1","0","0","500","0","0","0","0","0","0","0","0","0","500","21","2","0","0","0","0","5","2050003","Buff_Top","40","1","0","0","0","1"
"10132","10132","1","1","0","0","500","0","0","0","0","0","0","0","0","0","700","21","2","0","0","0","0","8","2050003","Buff_Top","40","1","0","0","0","1"
"10133","10133","1","1","0","0","500","0","0","0","0","0","0","0","0","0","200","21","2","0","0","0","0","4","2050003","Buff_Top","40","1","0","0","0","1"
"10134","10134","1","1","0","0","500","0","0","0","0","0","0","0","0","0","800","21","2","0","0","0","0","8","2050003","Buff_Top","40","1","0","0","0","1"
"10135","10135","1","1","0","0","500","0","0","0","0","0","0","0","0","0","900","21","2","0","0","0","0","8","2050003","Buff_Top","40","1","0","0","0","1"
"20101","20101","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","12","4","0","0","0","0","1","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"20102","20102","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","12","4","0","0","0","0","2","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"20103","20103","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","12","4","0","0","0","0","3","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"20104","20104","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","12","4","0","0","0","0","4","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"20105","20105","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","12","4","0","0","0","0","5","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"20106","20106","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","12","4","0","0","0","0","6","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"20107","20107","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","12","4","0","0","0","0","7","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"20108","20108","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","12","4","0","0","0","0","8","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"20112","20112","1","1","0","0","500","0","0","0","0","0","0","0","0","0","300","12","4","0","0","0","0","2","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"20115","20115","1","1","0","0","500","0","0","0","0","0","0","0","0","0","300","12","4","0","0","0","0","5","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"20117","20117","1","1","0","0","500","0","0","0","0","0","0","0","0","0","500","12","4","0","0","0","0","7","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"40521","40521","1","1","0","0","500","0","0","0","0","0","0","0","0","0","200","12","4","0","0","0","0","2","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"40522","40522","1","1","0","0","500","0","0","0","0","0","0","0","0","0","400","12","4","0","0","0","0","2","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"40524","40524","1","1","0","0","500","0","0","0","0","0","0","0","0","0","100","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"40525","40525","1","1","0","0","500","0","0","0","0","0","0","0","0","0","300","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"40526","40526","1","1","0","0","500","0","0","0","0","0","0","0","0","0","500","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"40527","40527","1","1","0","0","500","0","0","0","0","0","0","0","0","0","700","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"40531","40531","1","1","0","0","500","0","0","0","0","0","0","0","0","0","300","33","6","0","200","0","0.46","3","0","0","0","1","0","0","0","1"
"40532","40532","1","1","0","0","500","0","0","0","0","0","0","0","0","0","600","33","6","0","200","0","0.46","3","0","0","0","1","0","0","0","1"
"40533","40533","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","33","6","0","200","0","0.46","3","0","0","0","1","0","0","0","1"
"40534","40534","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"40535","40535","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","3","2050003","Buff_Top","40","1","0","0","0","1"
"40536","40536","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","4","2050003","Buff_Top","40","1","0","0","0","1"
"47021","47021","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"47022","47022","1","1","0","0","500","0","0","0","0","0","0","0","0","0","600","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"50101","50101","1","1","0","0","500","0","0","0","0","0","0","0","0","0","200","33","6","0","200","0","0.46","3","0","0","0","1","0","0","0","1"
