"Name","EmoteID","IconID","StringId","PlayLoop","Class1AnimID","Class2AnimID","Class3AnimID","Class4AnimID","Class5AnimID","Class6AnimID"
"101","101","3600001","4900001","0","650000","650101","650201","650300","650401","650501"
"102","102","3600002","4900002","0","650001","650102","650202","650301","650402","650502"
"103","103","3600003","4900003","0","650002","650103","650203","650302","650403","650503"
"104","104","3600004","4900004","1","650003","650104","650204","650303","650404","650504"
"105","105","3600005","4900005","1","650004","650105","650205","650304","650405","650505"
"106","106","3600006","4900006","1","650005","650106","650206","650305","650406","650506"
"107","107","3600007","4900007","0","650006","650107","650207","650306","650407","650507"
"108","108","3600008","4900008","0","650007","650108","650208","650307","650408","650508"
"109","109","3600009","4900009","0","650008","650109","650209","650308","650409","650509"
"110","110","3600010","4900010","0","650009","650110","650210","650309","650410","650510"
"111","111","3600011","4900011","0","650010","650111","650211","650310","650411","650511"
"112","112","3600012","4900012","0","650011","650112","650212","650311","650412","650512"
