"Name","ForceLevelID","ForcePanelID","ForcePanelLevel","ForceReward_Attribute01Type","ForceReward_Attribute01Value","ForceReward_Attribute02Type","ForceReward_Attribute02Value","ForceReward_Attribute03Type","ForceReward_Attribute03Value","ForceReward_Attribute04Type","ForceReward_Attribute04Value","ForceReflowTimeMinute","HardTraining_NeedLevel","HardTraining_NeedCostId","HardTraining_NeedCostCount","HardTraining_NeedUseId01","HardTraining_NeedItem01Count","HardTraining_NeedUseId02","HardTraining_NeedItem02Count","HardTraining_NeedUseId03","HardTraining_NeedItem03Count","HardTraining_NeedUseId04","HardTraining_NeedItem04Count","HardTraining_Time","HardTraining_Pass_NeedUseId","HardTraining_Pass_NeedItem_UseTime","HardTraining_Succecs_ForceLevel"
"1001001","1001001","1001","1","20","0","40","0","24","0","26","0","3","0","2","20000","701000102","10","701000202","10","701000302","5","701000402","2","0","0","30","1001002"
"1001002","1001002","1001","2","20","9","40","10","24","12","26","12","3","0","2","50000","701000102","30","701000202","30","701000302","15","701000402","6","0","0","30","1001003"
"1001003","1001003","1001","3","20","18","40","20","24","24","26","24","5","0","2","80000","701000103","10","701000203","10","701000303","5","701000403","3","0","0","30","1001004"
"1001004","1001004","1001","4","20","27","40","30","24","36","26","36","10","0","2","120000","701000103","30","701000203","30","701000303","10","701000403","6","0","0","30","1001005"
"1001005","1001005","1001","5","20","36","40","40","24","48","26","48","30","0","2","200000","701000103","50","701000203","50","701000303","20","701000403","9","0","0","30","1001006"
"1001006","1001006","1001","6","20","45","40","50","24","60","26","60","60","0","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","1001007"
"1001007","1001007","1001","7","20","54","40","60","24","72","26","72","120","0","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","1001008"
"1001008","1001008","1001","8","20","63","40","70","24","84","26","84","180","0","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","1001009"
"1001009","1001009","1001","9","20","72","40","80","24","96","26","96","240","0","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","1001010"
"1001010","1001010","1001","10","20","81","40","90","24","108","26","108","300","95","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","1001011"
"1001011","1001011","1001","11","20","90","40","100","24","120","26","120","360","98","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","1001012"
"1001012","1001012","1001","12","20","99","40","110","24","132","26","132","420","101","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","1001013"
"1001013","1001013","1001","13","20","108","40","120","24","144","26","144","480","104","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","1001014"
"1001014","1001014","1001","14","20","117","40","130","24","156","26","156","540","107","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","1001015"
"1001015","1001015","1001","15","20","126","40","140","24","168","26","168","600","110","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","1001016"
"1001016","1001016","1001","16","20","135","40","150","24","180","26","180","660","113","2","7000000","701000105","72","701000205","72","701000305","36","701000405","24","0","0","30","1001017"
"1001017","1001017","1001","17","20","144","40","160","24","192","26","192","720","116","2","8000000","701000105","84","701000205","84","701000305","42","701000405","28","0","0","30","1001018"
