"Name","RowId","ContentsId","Level","ConditionType","ConditionValue","GrowPercent","GrowGraph"
"1","1","1700","1","2","0","1","1"
"2","2","1700","2","2","0","2","1"
"3","3","1700","3","2","0","3","1"
"4","4","1700","4","2","0","4","1"
"5","5","1700","5","2","0","5","1"
"6","6","1700","6","2","0","6","1"
"7","7","1700","7","2","14","7","1"
"8","8","1700","8","2","28","8","1"
"9","9","1700","9","2","35","9","1"
"10","10","1700","10","2","42","10","1"
"11","11","1700","11","2","49","11","1"
"12","12","1700","12","2","49","12","1"
"13","13","1700","13","2","56","13","1"
"14","14","1700","14","2","56","14","1"
"15","15","1700","15","2","63","15","1"
"16","16","1700","16","2","70","16","1"
"17","17","1700","17","2","70","17","1"
"18","18","1700","18","2","77","18","1"
"19","19","1700","19","2","77","19","1"
"20","20","1700","20","2","84","20","1"
"21","21","1700","21","2","91","21","1"
"22","22","1700","22","2","91","22","1"
"23","23","1700","23","2","98","23","1"
"24","24","1700","24","2","98","24","1"
"25","25","1700","25","2","105","25","1"
"26","26","1700","26","2","112","26","2"
"27","27","1700","27","2","112","27","2"
"28","28","1700","28","2","119","28","2"
"29","29","1700","29","2","119","29","2"
"30","30","1700","30","2","126","30","2"
"31","31","1700","31","2","133","31","2"
"32","32","1700","32","2","133","32","2"
"33","33","1700","33","2","140","33","2"
"34","34","1700","34","2","140","34","2"
"35","35","1700","35","2","147","35","2"
"36","36","1700","36","2","154","36","2"
"37","37","1700","37","2","154","37","2"
"38","38","1700","38","2","161","38","2"
"39","39","1700","39","2","161","39","2"
"40","40","1700","40","2","168","40","2"
"41","41","1700","41","2","175","41","2"
"42","42","1700","42","2","175","42","2"
"43","43","1700","43","2","182","43","2"
"44","44","1700","44","2","182","44","2"
"45","45","1700","45","2","189","45","2"
"46","46","1700","46","2","196","46","2"
"47","47","1700","47","2","196","47","2"
"48","48","1700","48","2","203","48","2"
"49","49","1700","49","2","203","49","2"
"50","50","1700","50","2","210","50","2"
"51","51","1700","51","2","217","51","3"
"52","52","1700","52","2","217","52","3"
"53","53","1700","53","2","224","53","3"
"54","54","1700","54","2","224","54","3"
"55","55","1700","55","2","231","55","3"
"56","56","1700","56","2","238","56","3"
"57","57","1700","57","2","238","57","3"
"58","58","1700","58","2","245","58","3"
"59","59","1700","59","2","245","59","3"
"60","60","1700","60","2","252","60","3"
"61","61","1700","61","2","259","61","3"
"62","62","1700","62","2","259","62","3"
"63","63","1700","63","2","266","63","3"
"64","64","1700","64","2","266","64","3"
"65","65","1700","65","2","273","65","3"
"66","66","1700","66","2","280","66","3"
"67","67","1700","67","2","280","67","3"
"68","68","1700","68","2","287","68","3"
"69","69","1700","69","2","287","69","3"
"70","70","1700","70","2","294","70","3"
"71","71","1700","71","2","301","71","3"
"72","72","1700","72","2","301","72","3"
"73","73","1700","73","2","308","73","3"
"74","74","1700","74","2","308","74","3"
"75","75","1700","75","2","315","75","3"
"76","76","1700","76","2","322","76","4"
"77","77","1700","77","2","322","77","4"
"78","78","1700","78","2","329","78","4"
"79","79","1700","79","2","329","79","4"
"80","80","1700","80","2","336","80","4"
"81","81","1700","81","2","343","81","4"
"82","82","1700","82","2","343","82","4"
"83","83","1700","83","2","350","83","4"
"84","84","1700","84","2","350","84","4"
"85","85","1700","85","2","357","85","4"
"86","86","1700","86","2","364","86","4"
"87","87","1700","87","2","364","87","4"
"88","88","1700","88","2","371","88","4"
"89","89","1700","89","2","371","89","4"
"90","90","1700","90","2","378","90","4"
"91","91","1700","91","2","385","91","4"
"92","92","1700","92","2","385","92","4"
"93","93","1700","93","2","392","93","4"
"94","94","1700","94","2","392","94","4"
"95","95","1700","95","2","399","95","4"
"96","96","1700","96","2","406","96","4"
"97","97","1700","97","2","406","97","4"
"98","98","1700","98","2","413","98","4"
"99","99","1700","99","2","413","99","4"
"100","100","1700","100","2","420","100","4"
"101","101","1700","101","2","427","101","5"
"102","102","1700","102","2","427","102","5"
"103","103","1700","103","2","434","103","5"
"104","104","1700","104","2","434","104","5"
"105","105","1700","105","2","441","105","5"
"106","106","1700","106","2","448","106","5"
"107","107","1700","107","2","448","107","5"
"108","108","1700","108","2","455","108","5"
"109","109","1700","109","2","455","109","5"
"110","110","1700","110","2","462","110","5"
"111","111","1700","111","2","469","111","5"
"112","112","1700","112","2","469","112","5"
"113","113","1700","113","2","476","113","5"
"114","114","1700","114","2","476","114","5"
"115","115","1700","115","2","483","115","5"
"116","116","1700","116","2","490","116","5"
"117","117","1700","117","2","490","117","5"
"118","118","1700","118","2","497","118","5"
"119","119","1700","119","2","497","119","5"
"120","120","1700","120","2","504","120","5"
"121","121","1700","121","2","511","121","5"
"122","122","1700","122","2","511","122","5"
"123","123","1700","123","2","518","123","5"
"124","124","1700","124","2","518","124","5"
"125","125","1700","125","2","525","125","5"
"126","126","1700","126","2","532","126","5"
"127","127","1700","127","2","532","127","5"
"128","128","1700","128","2","539","128","5"
"129","129","1700","129","2","539","129","5"
"130","130","1700","130","2","546","130","5"
"131","131","1700","131","2","553","131","5"
"132","132","1700","132","2","553","132","5"
"133","133","1700","133","2","560","133","5"
"134","134","1700","134","2","560","134","5"
"135","135","1700","135","2","567","135","5"
"136","136","1700","136","2","574","136","5"
"137","137","1700","137","2","574","137","5"
"138","138","1700","138","2","581","138","5"
"139","139","1700","139","2","581","139","5"
"140","140","1700","140","2","588","140","5"
"141","141","1700","141","2","595","141","5"
"142","142","1700","142","2","595","142","5"
"143","143","1700","143","2","602","143","5"
"144","144","1700","144","2","602","144","5"
"145","145","1700","145","2","609","145","5"
"146","146","1700","146","2","616","146","5"
"147","147","1700","147","2","616","147","5"
"148","148","1700","148","2","623","148","5"
"149","149","1700","149","2","623","149","5"
"150","150","1700","150","2","630","150","5"
"151","151","1700","151","2","637","151","5"
"152","152","1700","152","2","637","152","5"
"153","153","1700","153","2","644","153","5"
"154","154","1700","154","2","644","154","5"
"155","155","1700","155","2","651","155","5"
"156","156","1700","156","2","658","156","5"
"157","157","1700","157","2","658","157","5"
"158","158","1700","158","2","665","158","5"
"159","159","1700","159","2","665","159","5"
"160","160","1700","160","2","672","160","5"
"161","161","1700","161","2","679","161","5"
"162","162","1700","162","2","679","162","5"
"163","163","1700","163","2","686","163","5"
"164","164","1700","164","2","686","164","5"
"165","165","1700","165","2","693","165","5"
"166","166","1700","166","2","700","166","5"
"167","167","1700","167","2","700","167","5"
"168","168","1700","168","2","707","168","5"
"169","169","1700","169","2","707","169","5"
"170","170","1700","170","2","714","170","5"
"171","171","1800","1","3","0","1","1"
"172","172","1800","2","3","0","2","1"
"173","173","1800","3","3","0","3","1"
"174","174","1800","4","3","0","4","1"
"175","175","1800","5","3","0","5","1"
"176","176","1800","6","3","0","6","1"
"177","177","1800","7","3","0","7","1"
"178","178","1800","8","3","0","8","1"
"179","179","1800","9","3","0","9","1"
"180","180","1800","10","3","0","10","1"
"181","181","1800","11","3","4","11","1"
