"Name","RowId","ClassId","SlotNumber","MasteryCount","MasteryItemUseId1","MasteryItemUseId1Count","MasteryItemUseId2","MasteryItemUseId2Count","MasteryItemUseId3","MasteryItemUseId3Count","MasteryItemUseId4","MasteryItemUseId4Count","MasteryCostValueType","MasteryCostValue","MasterySuccessProbability","Status1Type","Status1Value","Status2Type","Status2Value"
"11001","11001","1","1","1","901000102","2","901000202","2","0","0","0","0","2","100","10000","24","6","0","0"
"11002","11002","1","1","2","901000102","3","901000202","3","0","0","0","0","2","100","10000","24","12","0","0"
"11003","11003","1","1","3","901000102","4","901000202","4","0","0","0","0","2","100","10000","24","18","0","0"
"11004","11004","1","1","4","901000102","6","901000202","6","0","0","0","0","2","100","10000","24","24","0","0"
"11005","11005","1","1","5","901000102","9","901000202","9","0","0","0","0","2","100","10000","24","30","0","0"
"11006","11006","1","1","6","901000102","5","901000202","5","0","0","0","0","2","500","10000","24","36","0","0"
"11007","11007","1","1","7","901000102","7","901000202","7","0","0","0","0","2","500","10000","24","42","0","0"
"11008","11008","1","1","8","901000102","10","901000202","10","0","0","0","0","2","500","10000","24","48","0","0"
"11009","11009","1","1","9","901000102","15","901000202","15","0","0","0","0","2","500","10000","24","54","0","0"
"11010","11010","1","1","10","901000102","22","901000202","22","0","0","0","0","2","500","10000","24","60","0","0"
"11011","11011","1","1","11","901000103","4","901000203","4","0","0","0","0","2","1000","10000","24","66","0","0"
"11012","11012","1","1","12","901000103","6","901000203","6","0","0","0","0","2","1000","10000","24","72","0","0"
"11013","11013","1","1","13","901000103","9","901000203","9","0","0","0","0","2","1000","10000","24","78","0","0"
"11014","11014","1","1","14","901000103","13","901000203","13","0","0","0","0","2","1000","10000","24","84","0","0"
"11015","11015","1","1","15","901000103","19","901000203","19","0","0","0","0","2","1000","10000","24","90","0","0"
"11016","11016","1","1","16","901000103","10","901000203","10","0","0","0","0","2","2000","10000","24","96","0","0"
"11017","11017","1","1","17","901000103","15","901000203","15","0","0","0","0","2","2000","10000","24","102","0","0"
"11018","11018","1","1","18","901000103","22","901000203","22","0","0","0","0","2","2000","10000","24","108","0","0"
"11019","11019","1","1","19","901000103","33","901000203","33","0","0","0","0","2","2000","10000","24","114","0","0"
"11020","11020","1","1","20","901000103","49","901000203","49","0","0","0","0","2","2000","10000","24","120","0","0"
"11021","11021","1","1","21","901000104","4","901000204","4","0","0","0","0","2","4000","10000","24","126","0","0"
"11022","11022","1","1","22","901000104","6","901000204","6","0","0","0","0","2","4000","10000","24","132","0","0"
"11023","11023","1","1","23","901000104","9","901000204","9","0","0","0","0","2","4000","10000","24","138","0","0"
"11024","11024","1","1","24","901000104","13","901000204","13","0","0","0","0","2","4000","10000","24","144","0","0"
"11025","11025","1","1","25","901000104","19","901000204","19","0","0","0","0","2","4000","10000","24","150","0","0"
"11026","11026","1","1","26","901000104","10","901000204","10","0","0","0","0","2","8000","10000","24","156","0","0"
"11027","11027","1","1","27","901000104","15","901000204","15","0","0","0","0","2","8000","10000","24","162","0","0"
"11028","11028","1","1","28","901000104","22","901000204","22","0","0","0","0","2","8000","10000","24","168","0","0"
"11029","11029","1","1","29","901000104","33","901000204","33","0","0","0","0","2","8000","10000","24","174","0","0"
"11030","11030","1","1","30","901000104","49","901000204","49","0","0","0","0","2","8000","10000","24","180","0","0"
"11031","11031","1","1","31","901000104","20","901000204","20","0","0","0","0","2","15000","10000","24","186","0","0"
"11032","11032","1","1","32","901000104","30","901000204","30","0","0","0","0","2","15000","10000","24","192","0","0"
"11033","11033","1","1","33","901000104","45","901000204","45","0","0","0","0","2","15000","10000","24","198","0","0"
"11034","11034","1","1","34","901000104","67","901000204","67","0","0","0","0","2","15000","10000","24","204","0","0"
"11035","11035","1","1","35","901000104","100","901000204","100","0","0","0","0","2","15000","10000","24","210","0","0"
"11036","11036","1","1","36","901000105","4","901000205","4","0","0","0","0","2","30000","10000","24","216","0","0"
"11037","11037","1","1","37","901000105","6","901000205","6","0","0","0","0","2","30000","10000","24","222","0","0"
"11038","11038","1","1","38","901000105","9","901000205","9","0","0","0","0","2","30000","10000","24","228","0","0"
"11039","11039","1","1","39","901000105","13","901000205","13","0","0","0","0","2","30000","10000","24","234","0","0"
"11040","11040","1","1","40","901000105","19","901000205","19","0","0","0","0","2","30000","10000","24","240","0","0"
"11041","11041","1","1","41","901000105","10","901000205","10","0","0","0","0","2","60000","10000","24","246","0","0"
"11042","11042","1","1","42","901000105","15","901000205","15","0","0","0","0","2","60000","10000","24","252","0","0"
"11043","11043","1","1","43","901000105","22","901000205","22","0","0","0","0","2","60000","10000","24","258","0","0"
"11044","11044","1","1","44","901000105","33","901000205","33","0","0","0","0","2","60000","10000","24","264","0","0"
"11045","11045","1","1","45","901000105","49","901000205","49","0","0","0","0","2","60000","10000","24","270","0","0"
"11046","11046","1","1","46","901000105","20","901000205","20","0","0","0","0","2","100000","10000","24","276","0","0"
"11047","11047","1","1","47","901000105","30","901000205","30","0","0","0","0","2","100000","10000","24","282","0","0"
"11048","11048","1","1","48","901000105","45","901000205","45","0","0","0","0","2","100000","10000","24","288","0","0"
"11049","11049","1","1","49","901000105","67","901000205","67","0","0","0","0","2","100000","10000","24","294","0","0"
"11050","11050","1","1","50","901000105","100","901000205","100","0","0","0","0","2","100000","10000","24","300","0","0"
"11051","11051","1","1","51","901000105","20","901000205","20","0","0","0","0","2","100000","10000","24","306","0","0"
"11052","11052","1","1","52","901000105","30","901000205","30","0","0","0","0","2","100000","10000","24","312","0","0"
"11053","11053","1","1","53","901000105","45","901000205","45","0","0","0","0","2","100000","10000","24","318","0","0"
"11054","11054","1","1","54","901000105","67","901000205","67","0","0","0","0","2","100000","10000","24","324","0","0"
"11055","11055","1","1","55","901000105","100","901000205","100","0","0","0","0","2","100000","10000","24","330","0","0"
"11056","11056","1","1","56","901000105","50","901000205","50","517000410","1","0","0","2","120000","10000","24","336","0","0"
"11057","11057","1","1","57","901000105","50","901000205","50","517000410","2","0","0","2","120000","10000","24","342","0","0"
"11058","11058","1","1","58","901000105","50","901000205","50","517000410","2","0","0","2","120000","10000","24","348","0","0"
"11059","11059","1","1","59","901000105","50","901000205","50","517000410","3","0","0","2","120000","10000","24","354","0","0"
"11060","11060","1","1","60","901000105","50","901000205","50","517000410","3","0","0","2","120000","10000","24","360","0","0"
"11061","11061","1","1","61","901000105","60","901000205","60","517000410","2","0","0","2","150000","10000","24","366","0","0"
"11062","11062","1","1","62","901000105","60","901000205","60","517000410","3","0","0","2","150000","10000","24","372","0","0"
"11063","11063","1","1","63","901000105","60","901000205","60","517000410","3","0","0","2","150000","10000","24","378","0","0"
"11064","11064","1","1","64","901000105","60","901000205","60","517000410","4","0","0","2","150000","10000","24","384","0","0"
"11065","11065","1","1","65","901000105","60","901000205","60","517000410","4","0","0","2","150000","10000","24","390","0","0"
"11066","11066","1","1","66","901000106","8","901000206","8","517000410","3","0","0","2","200000","10000","24","396","0","0"
"11067","11067","1","1","67","901000106","8","901000206","8","517000410","4","0","0","2","200000","10000","24","402","0","0"
"11068","11068","1","1","68","901000106","8","901000206","8","517000410","4","0","0","2","200000","10000","24","408","0","0"
"11069","11069","1","1","69","901000106","8","901000206","8","517000410","5","0","0","2","200000","10000","24","414","0","0"
"11070","11070","1","1","70","901000106","8","901000206","8","517000410","5","0","0","2","200000","10000","24","420","0","0"
"11071","11071","1","1","71","901000106","10","901000206","10","517000410","4","0","0","2","250000","10000","24","426","0","0"
"11072","11072","1","1","72","901000106","10","901000206","10","517000410","5","0","0","2","250000","10000","24","432","0","0"
"11073","11073","1","1","73","901000106","10","901000206","10","517000410","5","0","0","2","250000","10000","24","438","0","0"
"11074","11074","1","1","74","901000106","10","901000206","10","517000410","6","0","0","2","250000","10000","24","444","0","0"
"11075","11075","1","1","75","901000106","10","901000206","10","517000410","6","0","0","2","250000","10000","24","450","0","0"
"11076","11076","1","1","76","901000106","15","901000206","15","517000410","5","0","0","2","300000","10000","24","456","0","0"
"11077","11077","1","1","77","901000106","15","901000206","15","517000410","6","0","0","2","300000","10000","24","462","0","0"
