"Name","RowId","ClassID","StepGrade","MaxLv","CapNeedLevel","CapMaterialUseId1","CapMaterialUseId1Count","CapMaterialUseId2","CapMaterialUseId2Count","CapMaterialUseId3","CapMaterialUseId3Count","CapMaterialUseId4","CapMaterialUseId4Count","CapStepCostType","CapStepCost","CapStepStatus1","CapStepStatus1Value","CapStepStatus2","CapStepStatus2Value","CapStepStatus3","CapStepStatus3Value","CapStepStatus4","CapStepStatus4Value","CapStepStatus5","CapStepStatus5Value","CapStepStatus6","CapStepStatus6Value","CapStepStatus7","CapStepStatus7Value","CapStepStatus8","CapStepStatus8Value"
"11","11","1","1","5","0","0","0","0","0","0","0","0","0","0","0","24","0","26","0","1","0","6","0","29","0","28","0","20","0","0","0"
"12","12","1","2","10","0","701000101","10","701000201","10","701000301","5","701000401","2","2","4000","24","12","26","12","1","200","6","40","29","8","28","8","20","18","0","0"
"13","13","1","3","15","0","701000102","10","701000202","10","701000302","5","701000402","2","2","10000","24","24","26","24","1","400","6","80","29","16","28","16","20","36","0","0"
"14","14","1","4","20","0","701000102","30","701000202","30","701000302","15","701000402","6","2","30000","24","36","26","36","1","600","6","120","29","24","28","24","20","54","0","0"
"15","15","1","5","25","0","701000103","10","701000203","10","701000303","5","701000403","3","2","60000","24","48","26","48","1","800","6","160","29","32","28","32","20","72","0","0"
"16","16","1","6","30","0","701000103","30","701000203","30","701000303","10","701000403","6","2","100000","24","60","26","60","1","1000","6","200","29","40","28","40","20","90","0","0"
"17","17","1","7","35","0","701000103","50","701000203","50","701000303","20","701000403","9","2","150000","24","72","26","72","1","1200","6","240","29","48","28","48","20","108","0","0"
"18","18","1","8","40","0","701000104","6","701000204","6","701000304","3","701000404","2","2","500000","24","84","26","84","1","1400","6","280","29","56","28","56","20","126","0","0"
"19","19","1","9","45","0","701000104","12","701000204","12","701000304","6","701000404","3","2","800000","24","96","26","96","1","1600","6","320","29","64","28","64","20","144","0","0"
"110","110","1","10","50","0","701000104","20","701000204","20","701000304","10","701000404","5","2","1200000","24","108","26","108","1","1800","6","360","29","72","28","72","20","162","0","0"
"111","111","1","11","55","0","701000104","40","701000204","40","701000304","20","701000404","10","2","2000000","24","120","26","120","1","2000","6","400","29","80","28","80","20","180","0","0"
"112","112","1","12","60","95","701000104","80","701000204","80","701000304","40","701000404","20","2","2500000","24","132","26","132","1","2200","6","440","29","88","28","88","20","198","0","0"
"113","113","1","13","65","100","701000105","12","701000205","12","701000305","6","701000405","4","2","3000000","24","144","26","144","1","2400","6","480","29","96","28","96","20","216","0","0"
"114","114","1","14","70","105","701000105","24","701000205","24","701000305","12","701000405","8","2","3500000","24","156","26","156","1","2600","6","520","29","104","28","104","20","234","0","0"
"115","115","1","15","75","110","701000105","36","701000205","36","701000305","18","701000405","12","2","4000000","24","168","26","168","1","2800","6","560","29","112","28","112","20","252","0","0"
"116","116","1","16","80","115","701000105","48","701000205","48","701000305","24","701000405","16","2","4500000","24","180","26","180","1","3000","6","600","29","120","28","120","20","270","0","0"
"117","117","1","17","85","120","701000105","60","701000205","60","701000305","30","701000405","20","2","5000000","24","192","26","192","1","3200","6","640","29","128","28","128","20","288","0","0"
"118","118","1","18","90","125","701000105","72","701000205","72","701000305","36","701000405","24","2","6000000","24","204","26","204","1","3400","6","680","29","136","28","136","20","306","0","0"
"119","119","1","19","95","130","701000105","84","701000205","84","701000305","42","701000405","28","2","7000000","24","216","26","216","1","3600","6","720","29","144","28","144","20","324","0","0"
"120","120","1","20","100","135","701000105","96","701000205","96","701000305","48","701000405","32","2","8000000","24","228","26","228","1","3800","6","760","29","152","28","152","20","342","0","0"
"121","121","1","21","105","140","701000105","108","701000205","108","701000305","54","701000405","36","2","9000000","24","240","26","240","1","4000","6","800","29","160","28","160","20","360","0","0"
"21","21","2","1","5","0","0","0","0","0","0","0","0","0","0","0","24","0","26","0","1","0","6","0","29","0","28","0","22","0","0","0"
"22","22","2","2","10","0","701000101","10","701000201","10","701000301","5","701000401","2","2","4000","24","12","26","12","1","200","6","40","29","8","28","8","22","18","0","0"
"23","23","2","3","15","0","701000102","10","701000202","10","701000302","5","701000402","2","2","10000","24","24","26","24","1","400","6","80","29","16","28","16","22","36","0","0"
"24","24","2","4","20","0","701000102","30","701000202","30","701000302","15","701000402","6","2","30000","24","36","26","36","1","600","6","120","29","24","28","24","22","54","0","0"
"25","25","2","5","25","0","701000103","10","701000203","10","701000303","5","701000403","3","2","60000","24","48","26","48","1","800","6","160","29","32","28","32","22","72","0","0"
"26","26","2","6","30","0","701000103","30","701000203","30","701000303","10","701000403","6","2","100000","24","60","26","60","1","1000","6","200","29","40","28","40","22","90","0","0"
"27","27","2","7","35","0","701000103","50","701000203","50","701000303","20","701000403","9","2","150000","24","72","26","72","1","1200","6","240","29","48","28","48","22","108","0","0"
"28","28","2","8","40","0","701000104","6","701000204","6","701000304","3","701000404","2","2","500000","24","84","26","84","1","1400","6","280","29","56","28","56","22","126","0","0"
"29","29","2","9","45","0","701000104","12","701000204","12","701000304","6","701000404","3","2","800000","24","96","26","96","1","1600","6","320","29","64","28","64","22","144","0","0"
"210","210","2","10","50","0","701000104","20","701000204","20","701000304","10","701000404","5","2","1200000","24","108","26","108","1","1800","6","360","29","72","28","72","22","162","0","0"
"211","211","2","11","55","0","701000104","40","701000204","40","701000304","20","701000404","10","2","2000000","24","120","26","120","1","2000","6","400","29","80","28","80","22","180","0","0"
"212","212","2","12","60","95","701000104","80","701000204","80","701000304","40","701000404","20","2","2500000","24","132","26","132","1","2200","6","440","29","88","28","88","22","198","0","0"
"213","213","2","13","65","100","701000105","12","701000205","12","701000305","6","701000405","4","2","3000000","24","144","26","144","1","2400","6","480","29","96","28","96","22","216","0","0"
"214","214","2","14","70","105","701000105","24","701000205","24","701000305","12","701000405","8","2","3500000","24","156","26","156","1","2600","6","520","29","104","28","104","22","234","0","0"
