"Name","ErrorString"
"MonsterTableError","몬스터 테이블에 %d ID가 없습니다"
"TotemTableError","토템 테이블에 %d ID가 없습니다"
"NpcTableError","NPC 테이블에 %d ID가 없습니다"
"CinematicTableError","대화연출 테이블에 %d ID가 없습니다"
"LevelSequenceLoadFail","레벨 시퀀스 로드 실패 SequencePlay 테이블 확인해주세요 \r\n ID %d \r\n 경로 : %s"
"ResourceAssetLoadFail","리소스 로드를 실패하였습니다 데이터 확인해주세요 \r\n 경로 : %s"
"ShowEffectLoadFail","SHOWEFFECT 스크립트 이펙트 로드를 실패하였습니다 \r\n EffectID : %d"
"DoorObjectNotFound","DoorObject 를 찾을 수 없습니다 DoorObject ID 및 트리거 레벨 을 확인해주세요 \r\n DoorObjectID : %d"
"ScriptNotExist","존재하지 않는 스크립트 입니다. \r\n %s"
"MeshAsyncFailSyncSucess","비동기 로드 실패, 동기 로드는 성공 \r\n 테이블 ID %d \r\n 경로 : %s"
"MeshSyncLoadFail","동기 로드 실패 \r\n 테이블ID : %d \r\n 경로 : %s"
"DontDestroyTalkingNpc","대화 중에 NPC를 삭제 하시면 안됩니다."
"PhasingTriggerError","일반 레벨에서 위상 트리거 사용 하시면 안됩니다 : %s"
"AutoFlightIDError","자동 경공 테이블에 %d ID가 없습니다"
"AutoFlightPathError","자동 경공 경로에 문제가 있습니다 ID : %d"
"QuestLocationError","퀘스트 완료 좌표는 <자동 이동> 할 수 없으므로, 기획 데이터 확인해주세요."
"NavMeshError","네비메쉬에 문제가 있습니다.\r\n레벨 이름 : %s\r\n네비메쉬가 검색된 좌표\r\n%s\r\n%s\r\n%s"
"VerticesNumberError","커스터마이징 메쉬 버텍스 개수가 다릅니다\r\n%s\r\n%s"
"BGMTriggerEmpty","BGM 트리거에 BGM 사운드가 비어있습니다\r\n액터 이름 : %s"
"LocalSaveNull","로컬 세이브 데이터를 로드 하기 전에 사용 하면 안됩니다 순서 확인해주세요"
"PresetGroupIDError","커스터마이징 프리셋 그룹 아이디가 없습니다\r\nCustomizingPreset 테이블 확인해주세요\r\n그룹아이디 : %d"
