"Name","TrainingGroupID","TrainingGroup_NameSID","ClassId","TrainingGroup_Color","TrainingGroup_TabColor","TabOffID","TabOnID","SymbolIconID"
"1001","1001","5600001","1","0","0","2800018","2800118","2801018"
"1002","1002","5600002","1","1","0","2800019","2800119","2801019"
"1003","1003","5600003","1","2","0","2800020","2800120","2801020"
"1004","1004","5600004","1","3","0","2800021","2800121","2801021"
"1005","1005","5600005","1","0","1","2800022","2800122","2801022"
"1006","1006","5600006","1","1","1","2800023","2800123","2801023"
"1007","1007","5600007","1","2","1","2800024","2800124","2801024"
"1008","1008","5600008","1","3","1","2800025","2800125","2801025"
"2001","2001","5600001","2","0","0","2800018","2800118","2801018"
"2002","2002","5600002","2","1","0","2800019","2800119","2801019"
"2003","2003","5600003","2","2","0","2800020","2800120","2801020"
"2004","2004","5600004","2","3","0","2800021","2800121","2801021"
"2005","2005","5600005","2","0","1","2800022","2800122","2801022"
"2006","2006","5600006","2","1","1","2800023","2800123","2801023"
"2007","2007","5600007","2","2","1","2800024","2800124","2801024"
"2008","2008","5600008","2","3","1","2800025","2800125","2801025"
"3001","3001","5600001","3","0","0","2800018","2800118","2801018"
"3002","3002","5600002","3","1","0","2800019","2800119","2801019"
"3003","3003","5600003","3","2","0","2800020","2800120","2801020"
"3004","3004","5600004","3","3","0","2800021","2800121","2801021"
"3005","3005","5600005","3","0","1","2800022","2800122","2801022"
"3006","3006","5600006","3","1","1","2800023","2800123","2801023"
"3007","3007","5600007","3","2","1","2800024","2800124","2801024"
"3008","3008","5600008","3","3","1","2800025","2800125","2801025"
"4001","4001","5600001","4","0","0","2800018","2800118","2801018"
"4002","4002","5600002","4","1","0","2800019","2800119","2801019"
"4003","4003","5600003","4","2","0","2800020","2800120","2801020"
"4004","4004","5600004","4","3","0","2800021","2800121","2801021"
"4005","4005","5600005","4","0","1","2800022","2800122","2801022"
"4006","4006","5600006","4","1","1","2800023","2800123","2801023"
"4007","4007","5600007","4","2","1","2800024","2800124","2801024"
"4008","4008","5600008","4","3","1","2800025","2800125","2801025"
"5001","5001","5600001","5","0","0","2800018","2800118","2801018"
"5002","5002","5600002","5","1","0","2800019","2800119","2801019"
"5003","5003","5600003","5","2","0","2800020","2800120","2801020"
"5004","5004","5600004","5","3","0","2800021","2800121","2801021"
"5005","5005","5600005","5","0","1","2800022","2800122","2801022"
"5006","5006","5600006","5","1","1","2800023","2800123","2801023"
"5007","5007","5600007","5","2","1","2800024","2800124","2801024"
"5008","5008","5600008","5","3","1","2800025","2800125","2801025"
"6001","6001","5600001","6","0","0","2800018","2800118","2801018"
"6002","6002","5600002","6","1","0","2800019","2800119","2801019"
"6003","6003","5600003","6","2","0","2800020","2800120","2801020"
"6004","6004","5600004","6","3","0","2800021","2800121","2801021"
"6005","6005","5600005","6","0","1","2800022","2800122","2801022"
"6006","6006","5600006","6","1","1","2800023","2800123","2801023"
"6007","6007","5600007","6","2","1","2800024","2800124","2801024"
"6008","6008","5600008","6","3","1","2800025","2800125","2801025"
