"Name","CollectId","CollectNameSID","CollectStep","TrainingTotalLevel","TrainingTotalMaxLevel","AttributeType01","AttributeValue01","AttributeType02","AttributeValue02","AttributeType03","AttributeValue03","AttributeType04","AttributeValue04","AttributeType05","AttributeValue05","AttributeType06","AttributeValue06","AttributeType07","AttributeValue07","AttributeType08","AttributeValue08"
"1","1","5601001","1","8","15","40","50","42","50","41","50","43","50","89","300","82","300","84","300","93","300"
"2","2","5601002","2","16","23","119","30","50","30","52","30","48","30","120","30","51","30","53","30","49","30"
"3","3","5601003","3","24","31","44","25","45","25","32","60","33","60","34","60","35","60","38","20","39","20"
"4","4","5601004","4","32","39","1","1000","6","100","20","40","22","40","24","40","26","40","28","20","29","20"
"5","5","5601005","5","40","47","40","50","42","50","41","50","43","50","89","300","82","300","84","300","93","300"
"6","6","5601006","6","48","55","119","30","50","30","52","30","48","30","120","30","51","30","53","30","49","30"
"7","7","5601007","7","56","63","44","25","45","25","32","60","33","60","34","60","35","60","38","20","39","20"
"8","8","5601008","8","64","71","1","1000","6","100","20","40","22","40","24","40","26","40","28","20","29","20"
"9","9","5601009","9","72","79","40","50","42","50","41","50","43","50","89","300","82","300","84","300","93","300"
"10","10","5601010","10","80","87","119","30","50","30","52","30","48","30","120","30","51","30","53","30","49","30"
"11","11","5601011","11","88","95","44","25","45","25","32","60","33","60","34","60","35","60","38","20","39","20"
"12","12","5601012","12","96","103","1","1000","6","100","20","40","22","40","24","40","26","40","28","20","29","20"
"13","13","5601013","13","104","111","40","50","42","50","41","50","43","50","89","300","82","300","84","300","93","300"
"14","14","5601014","14","112","119","119","30","50","30","52","30","48","30","120","30","51","30","53","30","49","30"
"15","15","5601015","15","120","127","44","25","45","25","32","60","33","60","34","60","35","60","38","20","39","20"
"16","16","5601016","16","128","135","1","1000","6","100","20","40","22","40","24","40","26","40","28","20","29","20"
"17","17","5601017","17","136","143","40","50","42","50","41","50","43","50","89","300","82","300","84","300","93","300"
"18","18","5601018","18","144","151","119","30","50","30","52","30","48","30","120","30","51","30","53","30","49","30"
"19","19","5601019","19","152","159","44","25","45","25","32","60","33","60","34","60","35","60","38","20","39","20"
"20","20","5601020","20","160","167","1","1000","6","100","20","40","22","40","24","40","26","40","28","20","29","20"
"21","21","5601021","21","168","175","40","50","42","50","41","50","43","50","89","300","82","300","84","300","93","300"
"22","22","5601022","22","176","183","119","30","50","30","52","30","48","30","120","30","51","30","53","30","49","30"
"23","23","5601023","23","184","191","44","25","45","25","32","60","33","60","34","60","35","60","38","20","39","20"
"24","24","5601024","24","192","199","1","1000","6","100","20","40","22","40","24","40","26","40","28","20","29","20"
"25","25","5601025","25","200","207","40","50","42","50","41","50","43","50","89","300","82","300","84","300","93","300"
"26","26","5601026","26","208","215","119","30","50","30","52","30","48","30","120","30","51","30","53","30","49","30"
"27","27","5601027","27","216","223","44","25","45","25","32","60","33","60","34","60","35","60","38","20","39","20"
"28","28","5601028","28","224","231","1","1000","6","100","20","40","22","40","24","40","26","40","28","20","29","20"
"29","29","5601029","29","232","239","40","50","42","50","41","50","43","50","89","300","82","300","84","300","93","300"
"30","30","5601030","30","240","247","119","30","50","30","52","30","48","30","120","30","51","30","53","30","49","30"
"31","31","5601031","31","248","255","44","25","45","25","32","60","33","60","34","60","35","60","38","20","39","20"
"32","32","5601032","32","256","263","1","1000","6","100","20","40","22","40","24","40","26","40","28","20","29","20"
"33","33","5601033","33","264","271","40","50","42","50","41","50","43","50","89","300","82","300","84","300","93","300"
"34","34","5601034","34","272","279","119","30","50","30","52","30","48","30","120","30","51","30","53","30","49","30"
"35","35","5601035","35","280","287","44","25","45","25","32","60","33","60","34","60","35","60","38","20","39","20"
"36","36","5601036","36","288","295","1","1000","6","100","20","40","22","40","24","40","26","40","28","20","29","20"
"37","37","5601037","37","296","303","40","50","42","50","41","50","43","50","89","300","82","300","84","300","93","300"
"38","38","5601038","38","304","311","119","30","50","30","52","30","48","30","120","30","51","30","53","30","49","30"
"39","39","5601039","39","312","319","44","25","45","25","32","60","33","60","34","60","35","60","38","20","39","20"
"40","40","5601040","40","320","320","1","1000","6","100","20","40","22","40","24","40","26","40","28","20","29","20"
