"Name","UniqueID","TrainingStatusId","TrainingLevel","AttributeType","AttributeValue","Training_NeedCostId","Training_NeedCostCount","Training_NeedUse01Id","Training_NeedItem01Count","Training_NeedUse02Id","Training_NeedItem02Count","Training_Success","Training_Fail","Training_CriticalFail","CriticalFail_Down1Level","CriticalFail_Down2Level","CriticalFail_Down3Level","CriticalFail_Down4Level","CriticalFail_Down5Level","Slot_Bg_Grade"
"1010101","1010101","10101","1","40","50","11","1000","517000411","1","501000013","5","7000","3000","0","0","0","0","0","0","3"
"1010102","1010102","10101","2","40","100","11","1000","517000411","1","501000013","5","5000","5000","0","0","0","0","0","0","3"
"1010103","1010103","10101","3","40","150","11","1000","517000411","1","501000013","5","4000","5500","500","10000","0","0","0","0","3"
"1010104","1010104","10101","4","40","200","11","1000","517000411","1","501000013","5","3500","5500","1000","9000","1000","0","0","0","3"
"1010105","1010105","10101","5","40","250","11","10000","517000412","1","501000014","3","3000","4500","2500","8000","2000","0","0","0","4"
"1010106","1010106","10101","6","40","300","11","10000","517000412","1","501000014","3","2500","4500","3000","6000","3500","500","0","0","4"
"1010107","1010107","10101","7","40","350","11","10000","517000412","1","501000014","3","2000","4500","3500","6000","3500","500","0","0","4"
"1010108","1010108","10101","8","40","400","11","10000","517000412","1","501000014","3","1500","4500","4000","6000","3500","500","0","0","4"
"1010109","1010109","10101","9","40","450","11","50000","517000413","1","501000015","2","1000","4500","4500","6000","3500","500","0","0","5"
"1010110","1010110","10101","10","40","500","11","50000","517000413","1","501000015","2","500","4500","5000","6000","3500","500","0","0","5"
"1010201","1010201","10102","1","42","50","11","1000","517000411","1","501000023","5","7000","3000","0","0","0","0","0","0","3"
"1010202","1010202","10102","2","42","100","11","1000","517000411","1","501000023","5","5000","5000","0","0","0","0","0","0","3"
"1010203","1010203","10102","3","42","150","11","1000","517000411","1","501000023","5","4000","5500","500","10000","0","0","0","0","3"
"1010204","1010204","10102","4","42","200","11","1000","517000411","1","501000023","5","3500","5500","1000","9000","1000","0","0","0","3"
