"Name","TrainingStatusID","PhaseGroupId","ClassId","StatusId","TrainingGroupID","OrderNum","OpenConditionLevel","TrainingMaxLevel"
"10101","10101","101","1","40","1001","1","70","10"
"10102","10102","102","1","42","1001","2","70","10"
"10103","10103","103","1","41","1001","3","70","10"
"10104","10104","104","1","43","1001","4","70","10"
"10105","10105","105","1","89","1001","5","75","10"
"10106","10106","106","1","82","1001","6","75","10"
"10107","10107","107","1","84","1001","7","75","10"
"10108","10108","108","1","93","1001","8","75","10"
"10201","10201","201","1","119","1002","1","80","10"
"10202","10202","202","1","50","1002","2","80","10"
"10203","10203","203","1","52","1002","3","80","10"
"10204","10204","204","1","48","1002","4","80","10"
"10205","10205","205","1","120","1002","5","85","10"
"10206","10206","206","1","51","1002","6","85","10"
"10207","10207","207","1","53","1002","7","85","10"
"10208","10208","208","1","49","1002","8","85","10"
"10301","10301","301","1","44","1003","1","90","10"
"10302","10302","302","1","45","1003","2","90","10"
"10303","10303","303","1","32","1003","3","95","10"
"10304","10304","304","1","33","1003","4","95","10"
"10305","10305","305","1","34","1003","5","100","10"
"10306","10306","306","1","35","1003","6","100","10"
"10307","10307","307","1","38","1003","7","105","10"
"10308","10308","308","1","39","1003","8","105","10"
"10401","10401","401","1","1","1004","1","110","10"
"10402","10402","402","1","6","1004","2","110","10"
"10403","10403","403","1","20","1004","3","115","10"
"10404","10404","404","1","22","1004","4","115","10"
"10405","10405","405","1","24","1004","5","120","10"
"10406","10406","406","1","26","1004","6","120","10"
"10407","10407","407","1","28","1004","7","125","10"
"10408","10408","408","1","29","1004","8","125","10"
"10501","10501","501","1","40","1005","1","130","10"
"10502","10502","502","1","42","1005","2","130","10"
"10503","10503","503","1","41","1005","3","135","10"
"10504","10504","504","1","43","1005","4","135","10"
"10505","10505","505","1","89","1005","5","140","10"
"10506","10506","506","1","82","1005","6","140","10"
"10507","10507","507","1","84","1005","7","145","10"
"10508","10508","508","1","91","1005","8","145","10"
"10601","10601","601","1","119","1006","1","150","10"
"10602","10602","602","1","50","1006","2","150","10"
"10603","10603","603","1","52","1006","3","155","10"
"10604","10604","604","1","48","1006","4","155","10"
"10605","10605","605","1","120","1006","5","160","10"
"10606","10606","606","1","51","1006","6","160","10"
"10607","10607","607","1","53","1006","7","165","10"
"10608","10608","608","1","49","1006","8","165","10"
"10701","10701","701","1","44","1007","1","170","10"
"10702","10702","702","1","45","1007","2","170","10"
"10703","10703","703","1","32","1007","3","174","10"
"10704","10704","704","1","33","1007","4","174","10"
"10705","10705","705","1","34","1007","5","178","10"
"10706","10706","706","1","35","1007","6","178","10"
"10707","10707","707","1","38","1007","7","182","10"
"10708","10708","708","1","39","1007","8","182","10"
"10801","10801","801","1","1","1008","1","186","10"
"10802","10802","802","1","6","1008","2","186","10"
"10803","10803","803","1","20","1008","3","190","10"
"10804","10804","804","1","22","1008","4","190","10"
"10805","10805","805","1","24","1008","5","194","10"
"10806","10806","806","1","26","1008","6","194","10"
"10807","10807","807","1","28","1008","7","198","10"
"10808","10808","808","1","29","1008","8","198","10"
"20101","20101","101","2","40","2001","1","70","10"
"20102","20102","102","2","42","2001","2","70","10"
"20103","20103","103","2","41","2001","3","70","10"
"20104","20104","104","2","43","2001","4","70","10"
"20105","20105","105","2","89","2001","5","75","10"
"20106","20106","106","2","82","2001","6","75","10"
"20107","20107","107","2","84","2001","7","75","10"
"20108","20108","108","2","93","2001","8","75","10"
"20201","20201","201","2","119","2002","1","80","10"
"20202","20202","202","2","50","2002","2","80","10"
"20203","20203","203","2","52","2002","3","80","10"
"20204","20204","204","2","48","2002","4","80","10"
"20205","20205","205","2","120","2002","5","85","10"
"20206","20206","206","2","51","2002","6","85","10"
"20207","20207","207","2","53","2002","7","85","10"
"20208","20208","208","2","49","2002","8","85","10"
"20301","20301","301","2","44","2003","1","90","10"
"20302","20302","302","2","45","2003","2","90","10"
"20303","20303","303","2","32","2003","3","95","10"
"20304","20304","304","2","33","2003","4","95","10"
"20305","20305","305","2","34","2003","5","100","10"
"20306","20306","306","2","35","2003","6","100","10"
"20307","20307","307","2","38","2003","7","105","10"
"20308","20308","308","2","39","2003","8","105","10"
"20401","20401","401","2","1","2004","1","110","10"
"20402","20402","402","2","6","2004","2","110","10"
"20403","20403","403","2","20","2004","3","115","10"
"20404","20404","404","2","22","2004","4","115","10"
"20405","20405","405","2","24","2004","5","120","10"
"20406","20406","406","2","26","2004","6","120","10"
