"Name","StageGroupId","StageGroupName","LocationGroup","StageClearLevel1","StageRewardType1","StageRewardId1","StageRewardValue1","StageClearLevel2","StageRewardType2","StageRewardId2","StageRewardValue2","StageClearLevel3","StageRewardType3","StageRewardId3","StageRewardValue3","StageClearLevel4","StageRewardType4","StageRewardId4","StageRewardValue4","StageClearLevel5","StageRewardType5","StageRewardId5","StageRewardValue5"
"1001","1001","4401001","1","4","1","3","10","8","1","3","20","12","1","3","30","16","1","3","30","20","3","1","100"
"1002","1002","4401002","1","4","1","3","10","8","1","3","20","12","1","3","30","16","1","3","30","20","3","2","100"
"1003","1003","4401003","1","3","1","3","10","6","1","3","20","9","1","3","30","12","1","3","30","15","3","1","100"
"1004","1004","4401004","1","6","1","3","10","12","1","3","20","18","1","3","30","24","1","3","30","30","3","2","100"
"1005","1005","4401005","1","7","1","3","10","14","1","3","20","21","1","3","30","28","1","3","30","35","3","1","100"
"1006","1006","4401007","1","4","1","3","10","8","1","3","20","12","1","3","30","16","1","3","30","20","3","2","100"
"1007","1007","4401006","1","9","1","3","10","18","1","3","20","27","1","3","30","36","1","3","30","45","3","1","100"
"1008","1008","4401008","1","4","1","3","10","8","1","3","20","12","1","3","30","16","1","3","30","20","3","2","100"
"1009","1009","4401009","1","4","1","3","10","8","1","3","20","12","1","3","30","16","1","3","30","20","3","1","100"
"1010","1010","4401010","1","8","1","3","10","16","1","3","20","24","1","3","30","32","1","3","30","40","3","2","100"
"1011","1011","4401011","1","3","1","3","10","6","1","3","20","9","1","3","30","12","1","3","30","15","3","1","100"
"1012","1012","4401012","1","3","1","3","10","6","1","3","20","9","1","3","30","12","1","3","30","15","3","2","100"
"1013","1013","4401013","1","13","1","3","10","26","1","3","20","39","1","3","30","52","1","3","30","65","3","1","100"
"1014","1014","4401014","1","9","1","3","10","18","1","3","20","27","1","3","30","36","1","3","30","45","3","2","100"
"1015","1015","4401015","1","3","1","3","10","6","1","3","20","9","1","3","30","12","1","3","30","15","3","1","100"
"1016","1016","4401016","1","4","1","3","10","8","1","3","20","12","1","3","30","16","1","3","30","20","3","2","100"
"1017","1017","4401017","1","3","1","3","10","6","1","3","20","9","1","3","30","12","1","3","30","15","3","1","100"
"1018","1018","4401018","1","11","1","3","10","22","1","3","20","33","1","3","30","44","1","3","30","55","3","2","100"
"1019","1019","4401019","1","4","1","3","10","8","1","3","20","12","1","3","30","16","1","3","30","20","3","1","100"
"1020","1020","4401020","1","10","1","3","10","20","1","3","20","30","1","3","30","40","1","3","30","50","3","2","100"
"2001","2001","4402001","2","7","1","3","10","14","1","3","20","21","1","3","30","28","1","3","30","35","3","1","100"
"2002","2002","4402002","2","10","1","3","10","20","1","3","20","30","1","3","30","40","1","3","30","50","3","2","100"
"2003","2003","4402003","2","9","1","3","10","18","1","3","20","27","1","3","30","36","1","3","30","45","3","1","100"
"2004","2004","4402004","2","17","1","3","10","34","1","3","20","51","1","3","30","68","1","3","30","85","3","2","100"
"2005","2005","4402005","2","12","1","3","10","24","1","3","20","36","1","3","30","48","1","3","30","60","3","1","100"
"2006","2006","4402006","2","4","1","3","10","8","1","3","20","12","1","3","30","16","1","3","30","20","3","2","100"
"2007","2007","4402007","2","18","1","3","10","36","1","3","20","54","1","3","30","72","1","3","30","90","3","1","100"
"2008","2008","4402008","2","12","1","3","10","24","1","3","20","36","1","3","30","48","1","3","30","60","3","2","100"
"2009","2009","4402009","2","18","1","3","10","36","1","3","20","54","1","3","30","72","1","3","30","90","3","1","100"
"3001","3001","4403001","3","15","1","3","10","30","1","3","20","45","1","3","30","60","1","3","30","75","3","2","100"
"3002","3002","4403002","3","15","1","3","10","30","1","3","20","45","1","3","30","60","1","3","30","75","3","1","100"
"3003","3003","4403003","3","15","1","3","10","30","1","3","20","45","1","3","30","60","1","3","30","75","3","2","100"
"3004","3004","4403004","3","15","1","3","10","30","1","3","20","45","1","3","30","60","1","3","30","75","3","1","100"
"3005","3005","4403005","3","15","1","3","10","30","1","3","20","45","1","3","30","60","1","3","30","75","3","2","100"
"3006","3006","4403006","3","15","1","3","10","30","1","3","20","45","1","3","30","60","1","3","30","75","3","1","100"
"3007","3007","4403007","3","15","1","3","10","30","1","3","20","45","1","3","30","60","1","3","30","75","3","2","100"
"4001","4001","4404001","4","15","1","3","10","30","1","3","20","45","1","3","30","60","1","3","30","75","3","1","100"
"4002","4002","4404002","4","15","1","3","10","30","1","3","20","45","1","3","30","60","1","3","30","75","3","2","100"
"4003","4003","4404003","4","15","1","3","10","30","1","3","20","45","1","3","30","60","1","3","30","75","3","1","100"
"5001","5001","4405001","5","3","1","3","10","6","1","3","20","9","1","3","30","12","1","3","30","15","3","2","100"
"5002","5002","4405002","5","3","1","3","10","6","1","3","20","9","1","3","30","12","1","3","30","15","3","1","100"
