"Name","ColorId","HexColor","ColorName"
"111001","111001","#7C846A","0"
"111002","111002","#A02323","0"
"111003","111003","#797570","0"
"111004","111004","#5D6678","0"
"111005","111005","#A56738","0"
"111006","111006","#AC2F2D","0"
"111007","111007","#9F8C80","0"
"111008","111008","#A82B29","0"
"112001","112001","#DF1A44","0"
"112002","112002","#EB255C","0"
"112003","112003","#EB4E83","0"
"112004","112004","#F37BA1","0"
"112005","112005","#F5A2BE","0"
"112006","112006","#EC1D23","0"
"112007","112007","#EB3729","0"
"112008","112008","#F65359","0"
"112009","112009","#F08188","0"
"112010","112010","#F2AAAA","0"
"112011","112011","#EE382A","0"
"112012","112012","#F0572D","0"
"112013","112013","#FA7255","0"
"112014","112014","#FC947F","0"
"112015","112015","#FBB5A9","0"
"112016","112016","#F2631D","0"
"112017","112017","#EC7C33","0"
"112018","112018","#FD955A","0"
"112019","112019","#F6AF7D","0"
"112020","112020","#FCCBA7","0"
"112021","112021","#F17922","0"
"112022","112022","#F48E26","0"
"112023","112023","#FCA655","0"
"112024","112024","#FFBB7B","0"
"112025","112025","#FFD1A7","0"
"112026","112026","#F7930A","0"
"112027","112027","#F9A42D","0"
"112028","112028","#FCB454","0"
"112029","112029","#FBC783","0"
"112030","112030","#FADCAA","0"
"112031","112031","#FFA71B","0"
"112032","112032","#FBAE38","0"
"112033","112033","#F9C74B","0"
"112034","112034","#FCD979","0"
"112035","112035","#FEE4A8","0"
"112036","112036","#FFC50F","0"
"112037","112037","#FFCF42","0"
"112038","112038","#FFDA52","0"
"112039","112039","#FBE57E","0"
"112040","112040","#FAEBA4","0"
"112041","112041","#FFE002","0"
"112042","112042","#F7E61C","0"
"112043","112043","#FAED48","0"
"112044","112044","#FBF475","0"
"112045","112045","#FAF8A3","0"
"112046","112046","#F8EB10","0"
"112047","112047","#F9EB28","0"
"112048","112048","#F6E958","0"
"112049","112049","#FAF481","0"
"112050","112050","#FAF6A3","0"
"112051","112051","#BDD42C","0"
"112052","112052","#C9D930","0"
"112053","112053","#D2DD54","0"
"112054","112054","#DEE387","0"
"112055","112055","#E9ECA8","0"
"112056","112056","#8BC942","0"
"112057","112057","#9ECA3F","0"
"112058","112058","#AFD14C","0"
"112059","112059","#C1DA72","0"
"112060","112060","#D8E5A1","0"
"112061","112061","#0AAE4B","0"
"112062","112062","#39B248","0"
"112063","112063","#5FB73F","0"
"112064","112064","#83C46D","0"
"112065","112065","#A6D39C","0"
"112066","112066","#1CB565","0"
"112067","112067","#3BB974","0"
"112068","112068","#71BF95","0"
"112069","112069","#77C6A1","0"
"112070","112070","#A2D7C4","0"
"112071","112071","#169DC0","0"
"112072","112072","#11B3CF","0"
"112073","112073","#39C4D6","0"
"112074","112074","#6ECEE6","0"
"112075","112075","#9DD9E7","0"
"112076","112076","#0F7CBF","0"
"112077","112077","#1292CF","0"
"112078","112078","#3AA6D5","0"
"112079","112079","#72B7DB","0"
"112080","112080","#9FC8E1","0"
"112081","112081","#1260AB","0"
"112082","112082","#1D77BD","0"
