"Name","CommonId","Warrior","Magician","Taoist","Assassin","Berserker","DarkTaoist","ColletStatus","CalculateType"
"1","1","3000","3000","3000","3000","3000","3000","0","0"
"2","2","0","0","0","0","0","0","1","1"
"3","3","0","0","0","0","0","0","0","0"
"4","4","0","0","0","0","0","0","3","1"
"5","5","0","0","0","0","0","0","0","0"
"6","6","9000","9000","9000","9000","9000","9000","0","0"
"7","7","0","0","0","0","0","0","6","1"
"8","8","0","0","0","0","0","0","0","0"
"9","9","0","0","0","0","0","0","8","1"
"10","10","0","0","0","0","0","0","0","0"
"11","11","0","0","0","0","0","0","0","0"
"12","12","0","0","0","0","0","0","11","1"
"13","13","0","0","0","0","0","0","0","0"
"14","14","0","0","0","0","0","0","13","1"
"15","15","0","0","0","0","0","0","0","0"
"16","16","0","0","0","0","0","0","0","0"
"17","17","0","0","0","0","0","0","0","0"
"18","18","0","0","0","0","0","0","0","0"
"19","19","0","0","0","0","0","0","0","0"
"20","20","60000","0","30000","60000","30000","0","0","0"
"21","21","0","0","0","0","0","0","20","1"
"22","22","0","60000","30000","0","30000","60000","0","0"
"23","23","0","0","0","0","0","0","22","1"
"24","24","30000","30000","30000","30000","30000","30000","0","0"
"25","25","0","0","0","0","0","0","24","1"
"26","26","30000","30000","30000","30000","30000","30000","0","0"
"27","27","0","0","0","0","0","0","26","1"
"28","28","20000","20000","20000","20000","20000","20000","0","0"
"29","29","20000","20000","20000","20000","20000","20000","0","0"
"30","30","10000","10000","10000","10000","10000","10000","0","0"
"31","31","10000","10000","10000","10000","10000","10000","0","0"
"32","32","10000","10000","10000","10000","10000","10000","0","0"
"33","33","10000","10000","10000","10000","10000","10000","0","0"
"34","34","10000","10000","10000","10000","10000","10000","0","0"
"35","35","10000","10000","10000","10000","10000","10000","0","0"
"36","36","10000","10000","10000","10000","10000","10000","0","0"
"37","37","10000","10000","10000","10000","10000","10000","0","0"
"38","38","10000","10000","10000","10000","10000","10000","0","0"
"39","39","10000","10000","10000","10000","10000","10000","0","0"
"40","40","10000","10000","10000","10000","10000","10000","0","0"
"41","41","10000","10000","10000","10000","10000","10000","0","0"
"42","42","10000","10000","10000","10000","10000","10000","0","0"
"43","43","10000","10000","10000","10000","10000","10000","0","0"
"44","44","10000","10000","10000","10000","10000","10000","0","0"
"45","45","10000","10000","10000","10000","10000","10000","0","0"
"46","46","20000","20000","20000","20000","20000","20000","0","0"
"47","47","20000","20000","20000","20000","20000","20000","0","0"
"48","48","10000","10000","10000","10000","10000","10000","0","0"
"49","49","10000","10000","10000","10000","10000","10000","0","0"
"50","50","10000","10000","10000","10000","10000","10000","0","0"
"51","51","10000","10000","10000","10000","10000","10000","0","0"
"52","52","10000","10000","10000","10000","10000","10000","0","0"
"53","53","10000","10000","10000","10000","10000","10000","0","0"
"54","54","0","0","0","0","0","0","0","0"
"55","55","0","0","0","0","0","0","0","0"
"56","56","0","0","0","0","0","0","0","0"
"57","57","0","0","0","0","0","0","0","0"
"58","58","0","0","0","0","0","0","0","0"
"59","59","0","0","0","0","0","0","0","0"
"60","60","0","0","0","0","0","0","0","0"
"61","61","0","0","0","0","0","0","0","0"
"62","62","0","0","0","0","0","0","0","0"
"63","63","0","0","0","0","0","0","0","0"
"64","64","0","0","0","0","0","0","0","0"
"65","65","0","0","0","0","0","0","0","0"
"66","66","0","0","0","0","0","0","0","0"
"67","67","0","0","0","0","0","0","0","0"
"68","68","0","0","0","0","0","0","0","0"
"69","69","0","0","0","0","0","0","0","0"
"70","70","0","0","0","0","0","0","0","0"
"71","71","0","0","0","0","0","0","0","0"
"72","72","0","0","0","0","0","0","0","0"
"73","73","0","0","0","0","0","0","0","0"
"74","74","0","0","0","0","0","0","0","0"
"75","75","0","0","0","0","0","0","0","0"
"76","76","0","0","0","0","0","0","0","0"
