"Name","ContentsId","ClassId","ShowOnOff","DefaultBtnType","OpenConditionType","OpenConditionValue","PlanAlramType","PlanAlramValue","TutorialGroupId","LockOnOff","ServerVisitUseContents","ConquerServerUseContents","UnionZoneDungeonUseContents"
"101","101","0","0","3","1","1","0","0","0","0","1","1","1"
"102","102","0","0","3","1","1","0","0","0","0","1","1","1"
"103","103","0","1","3","2","100000300","0","0","0","0","1","1","1"
"104","104","0","1","3","2","100002350","0","0","0","0","1","1","1"
"105","105","0","0","3","2","100007400","0","0","0","0","1","1","1"
"106","106","0","0","3","2","100007400","0","0","0","0","1","1","1"
"120","120","0","1","3","2","100002950","0","0","0","0","1","1","1"
"132","132","0","0","1","2","100003900","0","0","0","0","1","1","1"
"133","133","0","0","1","2","101000650","0","0","0","0","1","1","1"
"140","140","0","1","2","2","100001300","0","0","140","0","1","1","1"
"141","141","0","0","3","1","1","0","0","0","0","1","1","1"
"142","142","0","1","2","2","100001950","0","0","142","0","1","1","1"
"143","143","0","1","2","2","101004800","0","0","143","0","1","1","1"
"150","150","0","0","3","1","1","0","0","0","0","1","1","1"
"160","160","0","1","1","2","101001100","0","0","0","0","1","1","1"
"170","170","0","0","1","2","101013460","0","0","0","0","1","1","1"
"180","180","0","0","1","2","101013746","0","0","0","0","1","1","1"
"190","190","0","0","1","1","200","0","0","0","0","1","1","1"
"200","200","0","0","3","2","100000040","0","0","0","0","1","1","1"
"220","220","0","0","3","1","1","0","0","0","0","1","1","1"
"230","230","0","0","3","1","10","0","0","0","0","1","1","1"
"231","231","0","0","3","1","10","0","0","0","0","1","1","0"
"232","232","0","0","3","1","1","0","0","0","0","1","1","0"
"233","233","0","0","3","1","1","0","0","0","0","0","1","0"
"240","240","0","0","3","1","10","0","0","0","0","1","1","0"
"241","241","0","0","3","1","10","0","0","0","0","1","1","0"
"242","242","0","0","3","1","10","0","0","0","0","1","1","0"
"243","243","0","0","3","1","20","0","0","0","0","0","0","0"
"250","250","0","0","3","1","1","0","0","0","0","1","1","1"
"260","260","0","0","1","1","1","0","0","0","0","1","1","1"
"270","270","0","0","1","1","160","0","0","0","0","1","1","1"
"280","280","0","0","1","2","101000100","0","0","0","0","0","1","1"
"300","300","0","0","1","2","100002600","0","0","0","0","0","0","1"
"310","310","0","0","1","1","10","0","0","0","0","1","1","1"
"1100","1100","0","0","3","1","1","0","0","0","0","1","1","1"
"1000","1000","0","0","3","1","1","0","0","0","0","1","1","1"
"1001","1001","0","0","3","1","1","0","0","0","0","1","1","1"
"1300","1300","0","0","1","2","101005700","0","0","0","0","0","0","1"
"1200","1200","0","1","2","2","101010550","0","0","0","0","1","1","1"
"1600","1600","0","1","2","2","101013746","0","0","0","0","1","1","1"
"5300","5300","0","1","2","2","100006650","0","0","0","0","1","1","1"
"1400","1400","0","1","3","1","1","0","0","0","0","1","1","1"
"1500","1500","0","1","3","1","1","0","0","0","0","1","1","1"
"1501","1501","0","1","2","1","16","0","0","0","0","1","1","1"
"1700","1700","0","1","2","2","101000600","0","0","0","0","1","1","1"
"1800","1800","0","1","2","2","101003280","0","0","0","0","1","1","1"
"1850","1850","0","1","2","1","70","0","0","0","0","1","1","1"
"1860","1860","0","1","2","1","90","0","0","0","0","1","1","1"
"3370","3370","0","1","2","2","101005750","0","0","0","0","1","1","1"
"3320","3320","0","1","2","2","101011800","0","0","0","0","1","1","1"
"3340","3340","0","1","2","2","102010300","0","0","0","0","1","1","1"
"3310","3310","0","0","2","1","200","0","0","0","0","1","1","1"
"3360","3360","0","0","2","2","101002600","0","0","0","0","1","1","1"
"3380","3380","0","1","2","2","100006600","0","0","0","0","1","1","1"
"3381","3381","0","0","2","2","100006600","0","0","0","0","1","1","1"
"3382","3382","0","0","2","2","100006600","0","0","0","0","1","1","1"
"3390","3390","0","0","2","1","10","0","0","0","0","1","1","1"
"3391","3391","0","0","2","1","1","0","0","0","0","1","1","1"
"2000","2000","0","1","2","2","100004760","0","0","0","0","1","1","1"
"2001","2001","0","0","2","2","100004760","0","0","0","0","1","1","1"
"2002","2002","0","0","2","2","100004760","0","0","0","0","1","1","1"
"2004","2004","0","0","2","2","100004760","0","0","0","0","1","1","1"
"1900","1900","0","1","2","2","101001700","0","0","0","0","1","1","1"
"1901","1901","0","0","2","2","101001700","0","0","0","0","1","1","1"
"1902","1902","0","0","1","1","200","0","0","0","0","1","1","1"
"2500","2500","0","0","3","1","1","0","0","0","0","1","1","0"
"2600","2600","0","1","2","1","200","0","0","0","1","1","1","1"
"2100","2100","0","1","2","1","200","0","0","0","1","1","1","1"
"4000","4000","0","1","2","1","20","0","0","0","0","0","1","0"
"2400","2400","0","1","2","2","101000770","0","0","0","0","1","1","0"
"2401","2401","0","1","2","2","101011100","0","0","0","0","1","1","0"
"2300","2300","0","1","2","2","101003000","0","0","0","0","0","1","0"
"4500","4500","0","1","2","2","101003300","0","0","0","0","0","1","1"
"4200","4200","0","1","2","2","101013750","0","0","0","0","0","0","0"
"4800","4800","0","1","2","2","102002300","0","0","0","0","1","2","0"
"4900","4900","0","1","2","1","32","0","0","0","0","1","2","0"
"4950","4950","0","1","2","1","95","0","0","0","0","2","1","0"
"3200","3200","0","1","2","1","20","0","0","0","0","0","0","0"
"3100","3100","0","1","2","1","30","0","0","0","0","0","0","0"
"3150","3150","0","1","2","1","90","0","0","0","0","0","0","0"
"4700","4700","0","0","2","1","50","0","0","0","0","0","0","0"
"2700","2700","0","0","2","1","1","0","0","0","0","1","1","0"
"2710","2710","0","1","2","1","1","0","0","0","0","1","1","0"
"2720","2720","0","0","2","1","10","0","0","0","0","0","0","0"
"2800","2800","0","0","2","1","1","0","0","0","0","1","1","0"
"2810","2810","0","0","2","1","1","0","0","0","0","1","1","0"
"2820","2820","0","0","2","1","1","0","0","0","0","1","1","0"
"5000","5000","0","0","2","1","55","0","0","0","1","0","0","0"
"2900","2900","0","1","2","1","1","0","0","0","1","0","0","0"
"2910","2910","0","1","2","1","1","0","0","0","1","0","0","0"
"2920","2920","0","1","2","1","1","0","0","0","1","0","0","0"
"2930","2930","0","1","2","1","1","0","0","0","0","0","0","0"
"2931","2931","0","1","2","1","1","0","0","0","0","0","0","0"
"2932","2932","0","1","2","1","1","0","0","0","0","0","0","0"
"2950","2950","0","0","2","1","1","0","0","0","0","0","0","0"
"2960","2960","0","0","2","1","1","0","0","0","0","0","0","0"
"2970","2970","0","1","2","1","1","0","0","0","0","1","0","0"
"2980","2980","0","0","2","1","1","0","0","0","0","0","1","0"
"2990","2990","0","0","2","1","1","0","0","0","0","0","0","0"
"3600","3600","0","0","3","1","5","0","0","0","0","0","1","1"
"3604","3604","0","0","3","1","5","0","0","0","0","0","2","1"
"3605","3605","0","0","3","1","5","0","0","0","0","0","1","1"
"3800","3800","0","0","3","1","1","0","0","0","0","0","0","0"
"3901","3901","0","0","2","1","10","0","0","0","0","1","0","0"
"3902","3902","0","0","2","1","10","0","0","0","0","1","0","0"
"3700","3700","0","0","3","1","1","0","0","0","0","1","1","1"
"3710","3710","0","0","3","1","1","0","0","0","0","1","1","1"
"3720","3720","0","0","3","1","1","0","0","0","0","1","1","1"
"3730","3730","0","0","3","1","1","0","0","0","0","1","1","1"
"4300","4300","0","0","2","1","1","0","0","0","0","0","0","0"
"5100","5100","0","0","1","1","1","0","0","0","0","1","1","1"
"5200","5200","0","0","1","1","1","0","0","0","0","1","1","1"
"5400","5400","0","1","2","2","102007730","0","0","0","0","1","1","0"
"7200","7200","0","1","2","1","90","0","0","0","0","1","1","0"
"5700","5700","0","1","3","1","1","0","0","0","0","0","0","0"
"2851","2851","0","1","2","1","1","0","0","0","0","0","0","0"
"2853","2853","0","1","2","1","1","0","0","0","0","0","0","0"
"5800","5800","0","1","2","1","1","0","0","0","0","0","0","0"
"5900","5900","0","1","2","2","101010100","0","0","0","0","0","0","0"
"6100","6100","0","1","2","1","10","0","0","0","0","1","1","1"
"6600","6600","0","1","2","1","20","0","0","0","0","1","1","1"
"6700","6700","0","0","3","1","20","0","0","0","0","1","1","1"
"6800","6800","0","0","2","1","1","0","0","0","0","0","0","0"
"6801","6801","0","0","3","1","1","0","0","0","0","0","0","0"
"6900","6900","0","1","2","1","50","0","0","0","0","1","0","0"
"5910","5910","0","1","2","1","40","0","0","0","0","0","0","0"
"6851","6851","0","1","2","1","0","0","0","0","0","0","0","0"
"5911","5911","0","1","2","1","40","0","0","0","0","0","0","0"
"5912","5912","0","1","2","1","40","0","0","0","0","0","0","0"
