"Name","ContributeId","ContributeGroup","ContributeGrade","ContributeMin","ContributeMax","ContributeGradeText","RewardType","RewardCnt","ContributeRewardType1","ContributeRewardTypeSub1","ContributeRewardTypeValue1","ContributeRewardType2","ContributeRewardTypeSub2","ContributeRewardTypeValue2","ContributeRewardType3","ContributeRewardTypeSub3","ContributeRewardTypeValue3","ContributeRewardType4","ContributeRewardTypeSub4","ContributeRewardTypeValue4","ContributeRewardType5","ContributeRewardTypeSub5","ContributeRewardTypeValue5","ContributeRewardType6","ContributeRewardTypeSub6","ContributeRewardTypeValue6","ContributeRewardType7","ContributeRewardTypeSub7","ContributeRewardTypeValue7","ContributeRewardType8","ContributeRewardTypeSub8","ContributeRewardTypeValue8","ContributeRewardType9","ContributeRewardTypeSub9","ContributeRewardTypeValue9","ContributeRewardType10","ContributeRewardTypeSub10","ContributeRewardTypeValue10"
"1","1","100","1","1","1","S","17","7000","4","(601202101,601202101,601202101,601202101,601202101,601202101)","1","4","(508200001,508200001,508200001,508200001,508200001,508200001)","5","4","(603200501,603200501,603200501,603200501,603200501,603200501)","15","4","(603200601,603200601,603200601,603200601,603200601,603200601)","15","4","(602202436,602202436,602202436,602202436,602202436,602202436)","3","1","(18)","720","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","2","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","10","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","35","0","(0)","0"
"2","2","100","2","2","5","A","17","6000","4","(601202101,601202101,601202101,601202101,601202101,601202101)","1","4","(508200001,508200001,508200001,508200001,508200001,508200001)","3","4","(603200501,603200501,603200501,603200501,603200501,603200501)","11","4","(603200601,603200601,603200601,603200601,603200601,603200601)","11","4","(602202436,602202436,602202436,602202436,602202436,602202436)","2","1","(18)","540","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","2","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","10","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","35","0","(0)","0"
"3","3","100","3","6","50","B","17","5000","4","(601202101,601202101,601202101,601202101,601202101,601202101)","1","4","(508200001,508200001,508200001,508200001,508200001,508200001)","2","4","(603200501,603200501,603200501,603200501,603200501,603200501)","6","4","(603200601,603200601,603200601,603200601,603200601,603200601)","6","4","(602202436,602202436,602202436,602202436,602202436,602202436)","1","1","(18)","180","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","2","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","10","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","35","0","(0)","0"
"4","4","200","1","1","1","S","17","7000","4","(601202101,601202101,601202101,601202101,601202101,601202101)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","3","4","(603200501,603200501,603200501,603200501,603200501,603200501)","18","4","(603200601,603200601,603200601,603200601,603200601,603200601)","18","4","(602202436,602202436,602202436,602202436,602202436,602202436)","3","1","(18)","1080","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","4","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","15","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","50","0","(0)","0"
"5","5","200","2","2","5","A","17","6000","4","(601202101,601202101,601202101,601202101,601202101,601202101)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","2","4","(603200501,603200501,603200501,603200501,603200501,603200501)","16","4","(603200601,603200601,603200601,603200601,603200601,603200601)","13","4","(602202436,602202436,602202436,602202436,602202436,602202436)","2","1","(18)","720","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","4","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","15","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","50","0","(0)","0"
"6","6","200","3","6","50","B","17","5000","4","(601202101,601202101,601202101,601202101,601202101,601202101)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","1","4","(603200501,603200501,603200501,603200501,603200501,603200501)","7","4","(603200601,603200601,603200601,603200601,603200601,603200601)","7","4","(602202436,602202436,602202436,602202436,602202436,602202436)","1","1","(18)","360","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","4","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","15","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","50","0","(0)","0"
"7","7","300","1","1","1","S","17","7000","4","(601202102,601202102,601202102,601202102,601202102,601202102)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","5","4","(603200501,603200501,603200501,603200501,603200501,603200501)","22","4","(603200601,603200601,603200601,603200601,603200601,603200601)","22","4","(602202436,602202436,602202436,602202436,602202436,602202436)","3","1","(18)","1440","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","6","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","20","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","65","0","(0)","0"
"8","8","300","2","2","5","A","17","6000","4","(601202102,601202102,601202102,601202102,601202102,601202102)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","3","4","(603200501,603200501,603200501,603200501,603200501,603200501)","15","4","(603200601,603200601,603200601,603200601,603200601,603200601)","15","4","(602202436,602202436,602202436,602202436,602202436,602202436)","2","1","(18)","1080","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","6","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","20","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","65","0","(0)","0"
"9","9","300","3","6","50","B","17","5000","4","(601202102,601202102,601202102,601202102,601202102,601202102)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","2","4","(603200501,603200501,603200501,603200501,603200501,603200501)","9","4","(603200601,603200601,603200601,603200601,603200601,603200601)","9","4","(602202436,602202436,602202436,602202436,602202436,602202436)","1","1","(18)","540","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","6","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","20","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","65","0","(0)","0"
"10","10","400","1","1","1","S","17","7000","4","(601202102,601202102,601202102,601202102,601202102,601202102)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","10","4","(603200501,603200501,603200501,603200501,603200501,603200501)","26","4","(603200601,603200601,603200601,603200601,603200601,603200601)","26","4","(602202436,602202436,602202436,602202436,602202436,602202436)","3","1","(18)","1440","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","8","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","25","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","80","0","(0)","0"
