"Name","CostumeId","PhaseGroupId","ClassId","CostumePartsType","LuxuryType","CostumeName","CostumeIcon","SlotIcon","ResourceMesh01Id","ResourceMesh02Id","CostumeColor01Id","CostumeColor02Id","DyeingChannel01","DyeingChannel02","SmeltingEffectId","Attribute01Type","Attribute01Value","Attribute02Type","Attribute02Value","PurchaseAbleLevel","PurchaseMoneyType","PurchaseMoneyId","PurchaseMoneyValue","PurchaseTagIcon","DiscountOpenTime","DiscountCloseTime","DiscountPercnetValue","DiscountMoneyValue","PaletteGroupId","PaletteGroupType","MainPaletteId","SubPaletteId","PresetGroupId","DyeingCostType","DyeingCostId","DyeingCostValue","BasicType","NewProduct","GoodsId","ShopProduct"
"101001","101001","1001","1","1","0","1710101","1210101","0","311001","0","0","0","0","0","0","20","5","22","5","1","1","4","400","0","0","0","0","0","0","1","1031001","0","1005","1","4","200","0","0","0","0"
"101002","101002","1002","1","1","0","1710102","1210102","0","311002","0","0","0","0","0","0","20","5","22","5","1","1","4","400","0","0","0","0","0","0","1","1031001","0","1005","1","4","200","0","0","0","0"
"101003","101003","1003","1","1","0","1710103","1210103","0","311003","0","0","0","0","0","0","20","5","22","5","1","1","4","400","0","0","0","0","0","0","1","1031001","0","1005","1","4","200","0","0","0","0"
"101004","101004","1004","1","1","0","1710104","1210104","0","311004","0","0","0","0","0","0","20","5","22","5","1","1","4","400","0","0","0","0","0","0","1","1031001","0","1005","1","4","200","0","0","0","0"
"101005","101005","1005","1","1","0","1710105","1210105","0","311005","0","0","0","0","0","0","20","5","22","5","1","2","1811000002","1","0","0","0","0","0","0","1","1031001","0","1005","1","4","200","0","0","1001400","1"
"101006","101006","1006","1","1","0","1710106","1210106","0","311006","0","0","0","0","0","0","20","5","22","5","1","2","1800110009","1","0","0","0","0","0","0","1","1031001","0","1101","1","4","200","0","0","1001508","1"
"101007","101007","1007","1","1","0","1710107","1210107","0","311007","0","0","0","0","0","0","20","5","22","5","1","2","1788022146","1","0","0","0","0","0","0","1","1031001","0","1102","1","4","200","0","0","1002126","1"
"101008","101008","1008","1","1","0","1710108","1210108","0","311008","0","0","0","0","0","0","20","5","22","5","1","2","1804302652","1","0","0","0","0","0","0","1","1031001","0","1103","1","4","200","0","0","0","1"
"101009","101009","1009","1","1","0","1710109","1210109","0","311009","0","0","0","0","0","0","20","5","22","5","1","2","1804302658","1","0","0","0","0","0","0","1","1031001","0","1104","1","4","200","0","0","0","1"
"102001","102001","2001","1","2","0","1710201","1210201","0","312001","0","0","0","0","0","0","28","5","0","0","1","1","4","400","0","0","0","0","0","0","1","1031001","0","1005","1","4","200","0","0","0","0"
"102002","102002","2002","1","2","0","1710202","1210202","0","312002","0","0","0","0","0","0","28","5","0","0","1","1","4","400","0","0","0","0","0","0","1","1031001","0","1005","1","4","200","0","0","0","0"
"102003","102003","2003","1","2","0","1710203","1210203","0","312003","0","0","0","0","0","0","28","5","0","0","1","1","4","400","0","0","0","0","0","0","1","1031001","0","1005","1","4","200","0","0","0","0"
"102004","102004","2004","1","2","0","1710204","1210204","0","312004","0","0","0","0","0","0","28","5","0","0","1","1","4","400","0","0","0","0","0","0","1","1031001","0","1005","1","4","200","0","0","0","0"
