"Name","CostumeItemId","NeedItem01Id","NeedItem01Count","NeedItem02Id","NeedItem02Count","NeedItem03Id","NeedItem03Count","NeedItem04Id","NeedItem04Count","NeedItem05Id","NeedItem05Count","NeedItem06Id","NeedItem06Count"
"10101","10101","110101001","0","110101002","0","110211001","0","110211002","0","110211003","0","110311001","0"
"10102","10102","110101001","6","110101002","6","110211001","15","110211002","15","110211003","15","110311001","3"
"10103","10103","110101001","12","110101002","12","110211001","30","110211002","30","110211003","30","110311001","6"
"10201","10201","110102001","2","110102002","2","110212001","5","110212002","5","110212003","5","110312002","1"
"10202","10202","110102001","6","110102002","6","110212001","15","110212002","15","110212003","15","110312002","3"
"10203","10203","110102001","12","110102002","12","110212001","30","110212002","30","110212003","30","110312002","6"
"10301","10301","110103001","2","110103002","2","110213001","5","110213002","5","110213003","5","110313003","1"
"10302","10302","110103001","6","110103002","6","110213001","15","110213002","15","110213003","15","110313003","3"
"10303","10303","110103001","12","110103002","12","110213001","30","110213002","30","110213003","30","110313003","6"
"10401","10401","110104001","2","110104002","2","110214001","5","110214002","5","110214003","5","110314004","1"
"10402","10402","110104001","6","110104002","6","110214001","15","110214002","15","110214003","15","110314004","3"
"10403","10403","110104001","12","110104002","12","110214001","30","110214002","30","110214003","30","110314004","6"
"10501","10501","110105001","2","110105002","2","110215001","5","110215002","5","110215003","5","110315005","1"
"10502","10502","110105001","6","110105002","6","110215001","15","110215002","15","110215003","15","110315005","3"
"10503","10503","110105001","12","110105002","12","110215001","30","110215002","30","110215003","30","110315005","6"
"10601","10601","110106001","2","110106002","2","110216001","5","110216002","5","110216003","5","110316006","1"
"10602","10602","110106001","6","110106002","6","110216001","15","110216002","15","110216003","15","110316006","3"
"10603","10603","110106001","12","110106002","12","110216001","30","110216002","30","110216003","30","110316006","6"
"20101","20101","110101001","0","110101002","0","110221001","0","110221002","0","110221003","0","110321001","0"
"20102","20102","110101001","6","110101002","6","110221001","15","110221002","15","110221003","15","110321001","3"
"20103","20103","110101001","12","110101002","12","110221001","30","110221002","30","110221003","30","110321001","6"
"20201","20201","110102001","2","110102002","2","110222001","5","110222002","5","110222003","5","110322002","1"
"20202","20202","110102001","6","110102002","6","110222001","15","110222002","15","110222003","15","110322002","3"
"20203","20203","110102001","12","110102002","12","110222001","30","110222002","30","110222003","30","110322002","6"
"20301","20301","110103001","2","110103002","2","110223001","5","110223002","5","110223003","5","110323003","1"
"20302","20302","110103001","6","110103002","6","110223001","15","110223002","15","110223003","15","110323003","3"
"20303","20303","110103001","12","110103002","12","110223001","30","110223002","30","110223003","30","110323003","6"
"20501","20501","110104001","2","110104002","2","110224001","5","110224002","5","110224003","5","110325005","1"
"20502","20502","110104001","6","110104002","6","110224001","15","110224002","15","110224003","15","110325005","3"
"20503","20503","110104001","12","110104002","12","110224001","30","110224002","30","110224003","30","110325005","6"
