"Name","RowId","PaletteGroupId","Number","Color01Id","Color02Id"
"1","1","903001","1","561006","0"
"2","2","903001","2","561007","0"
"3","3","903001","3","561008","0"
"4","4","903001","4","561009","0"
"5","5","903001","5","561010","0"
"6","6","903001","6","561016","0"
"7","7","903001","7","561017","0"
"8","8","903001","8","561018","0"
"9","9","903001","9","561019","0"
"10","10","903001","10","561020","0"
"11","11","903001","11","562026","0"
"12","12","903001","12","562027","0"
"13","13","903001","13","562028","0"
"14","14","903001","14","562029","0"
"15","15","903001","15","562030","0"
"16","16","903001","16","562046","0"
"17","17","903001","17","562047","0"
"18","18","903001","18","562048","0"
"19","19","903001","19","562049","0"
"20","20","903001","20","562050","0"
"21","21","903002","1","561001","0"
"22","22","903002","2","561002","0"
"23","23","903002","3","561003","0"
"24","24","903002","4","561004","0"
"25","25","903002","5","561005","0"
"26","26","903002","6","561011","0"
"27","27","903002","7","561012","0"
"28","28","903002","8","561013","0"
"29","29","903002","9","561014","0"
"30","30","903002","10","561015","0"
"31","31","903002","11","562021","0"
"32","32","903002","12","562022","0"
"33","33","903002","13","562023","0"
"34","34","903002","14","562024","0"
"35","35","903002","15","562025","0"
"36","36","903002","16","562041","0"
"37","37","903002","17","562042","0"
"38","38","903002","18","562043","0"
"39","39","903002","19","562044","0"
"40","40","903002","20","562045","0"
"41","41","903003","1","561001","0"
"42","42","903003","2","561002","0"
"43","43","903003","3","561003","0"
"44","44","903003","4","561011","0"
"45","45","903003","5","561012","0"
"46","46","903003","6","561013","0"
"47","47","903003","7","561021","0"
"48","48","903003","8","561022","0"
"49","49","903003","9","561023","0"
"50","50","903003","10","561031","0"
"51","51","903003","11","561032","0"
"52","52","903003","12","561033","0"
"53","53","903003","13","561041","0"
"54","54","903003","14","561042","0"
"55","55","903003","15","561043","0"
"56","56","903003","16","561044","0"
"57","57","903004","1","562001","0"
"58","58","903004","2","562002","0"
"59","59","903004","3","562003","0"
"60","60","903004","4","562011","0"
"61","61","903004","5","562012","0"
"62","62","903004","6","562013","0"
"63","63","903004","7","562021","0"
"64","64","903004","8","562022","0"
"65","65","903004","9","562023","0"
"66","66","903004","10","562031","0"
"67","67","903004","11","562032","0"
"68","68","903004","12","562033","0"
"69","69","903004","13","562041","0"
"70","70","903004","14","562042","0"
"71","71","903004","15","562043","0"
"72","72","903004","16","562044","0"
"73","73","1031001","1","112001","0"
"74","74","1031001","2","112002","0"
"75","75","1031001","3","112003","0"
"76","76","1031001","4","112004","0"
"77","77","1031001","5","112005","0"
"78","78","1031001","6","112006","0"
"79","79","1031001","7","112007","0"
"80","80","1031001","8","112008","0"
"81","81","1031001","9","112009","0"
"82","82","1031001","10","112010","0"
"83","83","1031001","11","112011","0"
"84","84","1031001","12","112012","0"
"85","85","1031001","13","112013","0"
"86","86","1031001","14","112014","0"
"87","87","1031001","15","112015","0"
"88","88","1031001","16","112016","0"
"89","89","1031001","17","112017","0"
"90","90","1031001","18","112018","0"
"91","91","1031001","19","112019","0"
"92","92","1031001","20","112020","0"
"93","93","1031001","21","112021","0"
"94","94","1031001","22","112022","0"
"95","95","1031001","23","112023","0"
"96","96","1031001","24","112024","0"
"97","97","1031001","25","112025","0"
"98","98","1031001","26","112026","0"
"99","99","1031001","27","112027","0"
"100","100","1031001","28","112028","0"
"101","101","1031001","29","112029","0"
"102","102","1031001","30","112030","0"
"103","103","1031001","31","112031","0"
"104","104","1031001","32","112032","0"
