"Name","RowId","PresetGroupId","OrderNum","MainColorNumber","MainColorBrightness","SubColorNumber","SubColorBrightness"
"1","1","1001","1","126","100","126","100"
"2","2","1001","2","127","100","127","100"
"3","3","1001","3","128","100","128","100"
"4","4","1001","4","129","100","129","100"
"5","5","1001","5","130","100","130","100"
"6","6","1001","6","131","100","131","100"
"7","7","1001","7","132","100","132","100"
"8","8","1001","8","133","100","133","100"
"9","9","1001","9","134","100","134","100"
"10","10","1001","10","135","100","135","100"
"11","11","1001","11","136","100","136","100"
"12","12","1001","12","137","100","137","100"
"13","13","1001","13","138","100","138","100"
"14","14","1001","14","139","100","139","100"
"15","15","1001","15","140","100","140","100"
"16","16","1001","16","141","100","141","100"
"17","17","1001","17","142","100","142","100"
"18","18","1001","18","143","100","143","100"
"19","19","1001","19","144","100","144","100"
"20","20","1001","20","145","100","145","100"
"21","21","1002","1","126","100","126","100"
"22","22","1002","2","127","100","127","100"
"23","23","1002","3","128","100","128","100"
"24","24","1002","4","129","100","129","100"
"25","25","1002","5","130","100","130","100"
"26","26","1002","6","131","100","131","100"
"27","27","1002","7","132","100","132","100"
"28","28","1002","8","133","100","133","100"
"29","29","1002","9","134","100","134","100"
"30","30","1002","10","135","100","135","100"
"31","31","1002","11","136","100","136","100"
"32","32","1002","12","137","100","137","100"
"33","33","1002","13","138","100","138","100"
"34","34","1002","14","139","100","139","100"
"35","35","1002","15","140","100","140","100"
"36","36","1002","16","141","100","141","100"
"37","37","1002","17","142","100","142","100"
"38","38","1002","18","143","100","143","100"
"39","39","1002","19","144","100","144","100"
"40","40","1002","20","145","100","145","100"
"41","41","1003","1","126","100","126","100"
"42","42","1003","2","127","100","127","100"
"43","43","1003","3","128","100","128","100"
"44","44","1003","4","129","100","129","100"
"45","45","1003","5","130","100","130","100"
"46","46","1003","6","131","100","131","100"
"47","47","1003","7","132","100","132","100"
"48","48","1003","8","133","100","133","100"
"49","49","1003","9","134","100","134","100"
"50","50","1003","10","135","100","135","100"
"51","51","1003","11","136","100","136","100"
"52","52","1003","12","137","100","137","100"
"53","53","1003","13","138","100","138","100"
"54","54","1003","14","139","100","139","100"
"55","55","1003","15","140","100","140","100"
"56","56","1003","16","141","100","141","100"
"57","57","1003","17","142","100","142","100"
"58","58","1003","18","143","100","143","100"
"59","59","1003","19","144","100","144","100"
"60","60","1003","20","145","100","145","100"
"61","61","1004","1","126","100","126","100"
"62","62","1004","2","127","100","127","100"
