"Name","UniqueID","ClassID","CustomizingType","String","ValueType","Value","ValueInversion"
"1","1","1","1","프리셋","2","(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20)","0"
"2","2","1","2","머리모양","2","(210000,210001,210002,210003,210004,210005,210006,210007)","0"
"3","3","1","3","머리색","2","(261001,261002,261003,261004,261005,261006,261007,261008,261009,261010,261011,261012,261013,261014,261015,261016,261017,261018,261019,261020,261021,261022,261023,261024,261025,261026,261027,261028,261029,261030,261031,261032,261033,261034,261035,261036,261037,261038,261039,261040,261041,261042,261043,261044,261045,261046,261047,261048,261049,261050,261051,261052,261053,261054,261055,261056,261057,261058,261059,261060,261061,261062,261063,261064)","0"
"4","4","1","4","얼굴","2","(215000,215001,215002,215003,215004)","0"
"5","5","1","5","피부색","2","(262001,262002,262003,262004,262005,262006,262007,262008,262009,262010,262011,262012,262013,262014,262015,262016,262017,262018,262019,262020,262021,262022,262023,262024,262025,262026,262027,262028,262029,262030,262031,262032,262033,262034,262035,262036,262037,262038,262039,262040,262041,262042,262043,262044,262045,262046,262047,262048,262049,262050,262051,262052)","0"
"6","6","1","6"," 눈동자색상","2","(263001,263002,263003,263004,263005,263006,263007,263008,263009,263010,263011,263012,263013,263014,263015,263016,263017,263018,263019,263020,263021,263022,263023,263024,263025,263026,263027,263028,263029,263030,263031,263032,263033,263034,263035,263036,263037,263038,263039,263040,263041,263042,263043,263044,263045,263046,263047,263048,263049,263050,263051,263052)","0"
"7","7","1","7","입술색상","2","(266001,266002,266003,266004,266005,266006,266007,266008,266009,266010,266011,266012,266013,266014,266015,266016,266017,266018,266019,266020,266021,266022,266023,266024,266025,266026,266027)","0"
"8","8","1","8","눈화장","2","(264001,264002,264003,264004,264005,264006,264007,264008,264009,264010,264011,264012,264013,264014,264015,264016,264017,264018,264019,264020,264021,264022,264023,264024,264025,264026,264027,264028)","0"
"9","9","1","9","볼터치","2","(265001)","0"
"10","10","1","10","피부광택","1","(1001)","1"
"11","11","1","11","입술광택","1","(1002)","1"
"12","12","1","12","점위치_x","1","(1003)","1"
"13","13","1","13","점위치_y","1","(1004)","0"
"14","14","1","14","점농도","1","(1005)","0"
"15","15","1","15","눈동자회전(위아래)","1","(60)","0"
"16","16","1","16","눈위치(높이)","1","(1)","0"
"17","17","1","17","눈위치(간격)","1","(2)","0"
"18","18","1","18","눈전체크기","1","(3)","0"
"19","19","1","19","눈회전","1","(4)","0"
"20","20","1","20","눈크기(위아래)","1","(5)","0"
"21","21","1","21","눈동자크기","1","(6)","0"
"22","22","1","22","눈썹(높이)","1","(7)","0"
"23","23","1","23","눈섭위치(간격)","1","(8)","0"
"24","24","1","24","눈썹(기울기)","1","(9)","0"
"25","25","1","25","눈썹(모양)","1","(10)","0"
"26","26","1","26","눈썹(두께)","1","(11)","0"
"27","27","1","27","L_눈윗라인01_x","1","(12)","1"
"28","28","1","28","L_눈윗라인01_y","1","(13)","0"
"29","29","1","29","L_눈윗라인02_x","1","(14)","1"
"30","30","1","30","L_눈윗라인02_y","1","(15)","0"
"31","31","1","31","L_눈아랫라인_x","1","(16)","1"
"32","32","1","32","L_눈아랫라인_y","1","(17)","1"
"33","33","1","33","L_앞트임_x","1","(18)","1"
"34","34","1","34","L_앞트임_y","1","(19)","0"
"35","35","1","35","L_뒷트임_x","1","(20)","1"
"36","36","1","36","L_뒷트임_y","1","(21)","0"
"37","37","1","37","애교살","1","(22)","0"
"38","38","1","38","코위치(위아래)","1","(23)","1"
"39","39","1","39","코끝높이","1","(24)","0"
"40","40","1","40","코끝위치","1","(25)","1"
"41","41","1","41","코등위치","1","(26)","1"
"42","42","1","42","코너비","1","(27)","0"
"43","43","1","43","콧방울너비","1","(28)","0"
"44","44","1","44","콧등너비","1","(29)","0"
"45","45","1","45","입위치(위아래)","1","(30)","0"
"46","46","1","46","눈썹 깊이","1","(31)","0"
"47","47","1","47","입크기(좌우)","1","(32)","0"
"48","48","1","48","윗입술넓이","1","(33)","0"
"49","49","1","49","윗입술벌림","1","(34)","0"
"50","50","1","50","아랫입술넓이","1","(35)","0"
"51","51","1","51","아랫입술벌림","1","(36)","0"
"52","52","1","52","입꼬리위치(위아래)","1","(37)","1"
"53","53","1","53","입돌출","1","(38)","0"
"54","54","1","54","윗 입술 모음","1","(39)","0"
"55","55","1","55","아랫 입술 모음","1","(40)","0"
"56","56","1","56","눈썹길이","1","(41)","0"
"57","57","1","57","콧방울높이","1","(42)","0"
