"Name","세트 이름","아이템 목록"
"1","장비 제작 재료","(903200004,903200003,903200002,903200001,904200004,904200003,904200002,904200001,905200004,905200003,905200002,905200001,906200004,906200003,906200002,906200001,907200004,907200003,907200002,907200001,908200004,908200003,908200002,908200001,905200006,905200005,905200008,905200007,905200010,905200009,902200205,902200204,902200203,902200202,901200505,901200504,901200503,901200502,901200501,901200804,901200803,901200802,901200801,901200800,901200605,901200604,901200603,901200602,901200601,901200904,901200903,901200902,901200901,901200900,902200304,902200303,902200302,902200301,901200705,901200704,901200703,901200702,901200701,901201004,901201003,901201002,901201001,901201000,1301201590,1301201589,1301201588,1301201536,1301201594,1301201593,1301201592,1301201591,1301201708,1301201707,1301201706,1301201705,902200703,902200702,902200701,902200803,902200802,902200801,902200903,902200902,902200901)"
"2","장비 강화 재료","(523200004,523200003,523200002,523200001,508200004,508200003,508200002,508200001,508200008,508200007,508200006,508200005,525200004,525200003,525200002,525200001,502920003,502920002,502920001,502920006,502920005,502920004,503020003,503020002,503020001,502720004,502720003,502720002,502720001,502820004,502820003,502820002,502820001,502120003,502120002,502120001,521200001,901201005,901201006,901201008)"
"3","수련재료","(517200105,517200104,517200103,517200102,517200101,517200205,517200204,517200203,517200202,517200201,517200305,517200304,517200303,517200302,517200301,517200405,517200404,517200403,517200402,517200401,501200050,501200049,501200048,501200047,501200046,516200001,516200002,516200003,516200004,516200005,516200006,516300001,516300002,516400001,516400002,516500001,516500002,501200015,501200014,501200013,501200012,501200011,501200025,501200024,501200023,501200022,501200021,501200045,501200044,501200043,501200042,501200041,901200106,901200105,901200104,901200103,901200102,901300102,901400102,901200101,901200206,901200205,901200204,901200203,901200202,901200201,901200306,901200305,901200304,901200303,901200302,901200301,517200410,517200409,517200408,517200407,517200406,517200413,517200412,517200411,701200105,701200104,701200103,701200102,701200101,701200205,701200204,701200203,701200202,701200201,701200305,701200304,701200303,701200302,701200301,701200405,701200404,701200403,701200402,701200401,1301201638,502620001,502620002,502620003,502620004,502620005)"
"4","입장권","(140520001,601201604,601201603,601201602,601201601,140420003,140420002,140420001,1802200016,1802209001,1407200001)"
"5","정령석","(1701200003,1701200005,1701200006,1701200011,1701200014,1701200018,1701200001,1701200002,1701200007,1701200008,1701200009,1701200010,1701200012,1701200015,1701200023,1701200025,1701200032,1701200033,1701200004,1701200013,1701200016,1701200019,1701200020,1701200022,1701200026,1701200027,1701200028,1701200029,1701200030,1701200034,1701200035,1701200036,1701200037,1701200038,1701200039,1701200017,1701200021,1701200024,1701200031,1701200040,1701200041,1701200042,1701200043,1701200044,1701200045,1701200046,1701200047,1701200048,1701200049,1701200050,1701200051,1701200052,1701200053,1701200054,1701200055,1701200056,1701200057,1701200058,1701200059,1701200060,1701200061)"
"6","일반 보패","(210210073,210210074,210210075,210210076,210210077,210210078,210210079,210210080,210210081,210210082,210210083,210210084,210210085,210210086,210210087,210210088,210210089,210210090,210210091,210210092,210210093,210210094,210210095,210210096,210210100,210210049,210210050,210210051,210210052,210210053,210210054,210210055,210210056,210210057,210210058,210210059,210210060,210210061,210210062,210210063,210210064,210210065,210210066,210210067,210210068,210210069,210210070,210210071,210210072,210210099,210210025,210210026,210210027,210210028,210210029,210210030,210210031,210210032,210210033,210210034,210210035,210210036,210210037,210210038,210210039,210210040,210210041,210210042,210210043,210210044,210210045,210210046,210210047,210210048,210210098,210210001,210210002,210210003,210210004,210210005,210210006,210210007,210210008,210210009,210210010,210210011,210210012,210210013,210210014,210210015,210210016,210210017,210210018,210210019,210210020,210210021,210210022,210210023,210210024,210210097)"
"7","특수 보패","(220210021,220210022,220210023,220210024,220210025,220210026,220210027,220210028,220210029,220210030,220210031,220210032,220210033,220210034,220210035,220210036,220210037,220210038,220210039,220210040,220210001,220210002,220210003,220210004,220210005,220210006,220210007,220210008,220210009,220210010,220210011,220210012,220210013,220210014,220210015,220210016,220210017,220210018,220210019,220210020)"
"8","마석","(801200009,802200009,803200009,804200009,805200009,806200009,807200009,809200009,808200009,801200005,802200005,803200005,804200005,805200005,806200005,807200005,809200005,808200004,801200008,802200008,803200008,804200008,805200008,806200008,807200008,809200008,808200008,801200004,802200004,803200004,804200004,805200004,806200004,807200004,809200004,808200003,801200007,802200007,803200007,804200007,805200007,806200007,807200007,809200007,808200007,801200003,802200003,803200003,804200003,805200003,806200003,807200003,809200003,808200002,801200006,802200006,803200006,804200006,805200006,806200006,807200006,809200006,808200006,801200002,802200002,803200002,804200002,805200002,806200002,807200002,809200002,808200001)"
"9","특수 정령보물","(1702220120,1702220121,1702220122,1702220123,1702220124,1702220130,1702220138,1702220140,1702220142,1702220144,1702220146,1702220148,1702200120,1702200121,1702200122,1702200123,1702200124,1702200130,1702200131,1702200132,1702200133,1702200134,1702200135,1702200136,1702200138,1702200140,1702200142,1702200144,1702200146,1702200148,1702200058,1702200059,1702200060,1702200061,1702200062,1702220089,1702220090,1702220091,1702220092,1702220093,1702220129,1702220137,1702220139,1702220141,1702220143,1702220145,1702220147,1702200089,1702200090,1702200091,1702200092,1702200093,1702200129,1702200137,1702200139,1702200141,1702200143,1702200145,1702200147,1702200027,1702200028,1702200029,1702200030,1702200031)"
"10","일반 정령보물(영웅~전설)","(1702220094,1702220095,1702220096,1702220097,1702220098,1702220099,1702220100,1702220101,1702220102,1702220103,1702220104,1702220105,1702220106,1702220107,1702220108,1702220109,1702220110,1702220111,1702220112,1702220113,1702220114,1702220115,1702220116,1702220117,1702220118,1702220119,1702220128,1702220155,1702220156,1702220161,1702200094,1702200095,1702200096,1702200097,1702200098,1702200099,1702200100,1702200101,1702200102,1702200103,1702200104,1702200105,1702200106,1702200107,1702200108,1702200109,1702200110,1702200111,1702200112,1702200113,1702200114,1702200115,1702200116,1702200117,1702200118,1702200119,1702200128,1702200155,1702200156,1702200161,1702220063,1702220064,1702220065,1702220066,1702220067,1702220068,1702220069,1702220070,1702220071,1702220072,1702220073,1702220074,1702220075,1702220076,1702220077,1702220078,1702220079,1702220080,1702220081,1702220082,1702220083,1702220084,1702220085,1702220086,1702220087,1702220088,1702220153,1702220154,1702220160,1702200063,1702200064,1702200065,1702200066,1702200067,1702200068,1702200069,1702200070,1702200071,1702200072,1702200073,1702200074,1702200075,1702200076,1702200077,1702200078,1702200079,1702200080,1702200081,1702200082,1702200083,1702200084,1702200085,1702200086,1702200087,1702200088,1702200127,1702200153,1702200154,1702200160)"
