"Name","RewardBoxGroupID","IsPossibleDuplicate","RewardBoxTotalCount","BoxDropChance_A","BoxDropChance_B","BoxDropCount_Max_A","BoxDropCount_Max_B","ObjectId_A","ObjectId_B","ObjectId_C","DropPositionGroupId_A","DropPositionGroupId_B","DropPositionGroupId_C"
"1000","1000","0","0","0","0","0","0","(0)","(0)","(0)","0","0","0"
"0","1101","1","5","100000","100000","4","1","(300100101)","(300100102)","(0)","5","3","0"
"1102","1102","1","5","100000","100000","4","1","(300100201)","(300100202)","(0)","5","3","0"
"1103","1103","1","5","100000","100000","4","1","(300100301)","(300100302)","(0)","5","3","0"
"1201","1201","1","5","100000","100000","4","1","(301100101)","(301100102)","(0)","5","3","0"
"1202","1202","1","5","100000","100000","4","1","(301100201)","(301100202)","(0)","5","3","0"
"1203","1203","1","5","100000","100000","4","1","(301100301)","(301100302)","(0)","5","3","0"
"1204","1204","1","5","100000","100000","4","1","(301100401)","(301100402)","(0)","5","3","0"
"1205","1205","1","5","100000","100000","4","1","(301100501)","(301100502)","(0)","5","3","0"
"1206","1206","1","5","100000","100000","4","1","(301100601)","(301100602)","(0)","5","3","0"
"1010000","1010000","0","0","0","0","0","0","(0)","(0)","(0)","0","0","0"
"1010301","1010301","1","1","100000","0","1","0","(311012113)","(0)","(0)","5","0","0"
"1010302","1010302","1","1","100000","0","1","0","(311012123)","(0)","(0)","5","0","0"
"1010303","1010303","1","1","100000","0","1","0","(311012133)","(0)","(0)","5","0","0"
"1010304","1010304","1","1","100000","0","1","0","(311012143)","(0)","(0)","5","0","0"
"1010305","1010305","1","1","100000","0","1","0","(311012153)","(0)","(0)","5","0","0"
"1010501","1010501","1","2","100000","100000","1","1","(311012213)","(311012214)","(0)","5","3","0"
"1010502","1010502","1","2","100000","100000","1","1","(311012223)","(311012224)","(0)","5","3","0"
"1010503","1010503","1","2","100000","100000","1","1","(311012233)","(311012234)","(0)","5","3","0"
"1011001","1011001","1","3","100000","100000","2","1","(311012313)","(311012314)","(0)","5","3","0"
"1011002","1011002","1","3","100000","100000","2","1","(311012323)","(311012324)","(0)","5","3","0"
"1011003","1011003","1","3","100000","100000","2","1","(311012333)","(311012334)","(0)","5","3","0"
"1020301","1020301","1","1","100000","0","1","0","(311022113)","(0)","(0)","5","0","0"
"1020302","1020302","1","1","100000","0","1","0","(311022123)","(0)","(0)","5","0","0"
"1020303","1020303","1","1","100000","0","1","0","(311022133)","(0)","(0)","5","0","0"
"1020304","1020304","1","1","100000","0","1","0","(311022143)","(0)","(0)","5","0","0"
"1020305","1020305","1","1","100000","0","1","0","(311022153)","(0)","(0)","5","0","0"
"1020501","1020501","1","2","100000","100000","1","1","(311022213)","(311022214)","(0)","5","3","0"
"1020502","1020502","1","2","100000","100000","1","1","(311022223)","(311022224)","(0)","5","3","0"
"1020503","1020503","1","2","100000","100000","1","1","(311022233)","(311022234)","(0)","5","3","0"
"1021001","1021001","1","3","100000","100000","2","1","(311022313)","(311022314)","(0)","5","3","0"
"1021002","1021002","1","3","100000","100000","2","1","(311022323)","(311022324)","(0)","5","3","0"
"1021003","1021003","1","3","100000","100000","2","1","(311022333)","(311022334)","(0)","5","3","0"
"1030301","1030301","1","1","100000","0","1","0","(311032113)","(0)","(0)","5","0","0"
"1030302","1030302","1","1","100000","0","1","0","(311032123)","(0)","(0)","5","0","0"
"1030303","1030303","1","1","100000","0","1","0","(311032133)","(0)","(0)","5","0","0"
"1030304","1030304","1","1","100000","0","1","0","(311032143)","(0)","(0)","5","0","0"
"1030305","1030305","1","1","100000","0","1","0","(311032153)","(0)","(0)","5","0","0"
"1030501","1030501","1","2","100000","100000","1","1","(311032213)","(311032214)","(0)","5","3","0"
"1030502","1030502","1","2","100000","100000","1","1","(311032223)","(311032224)","(0)","5","3","0"
"1030503","1030503","1","2","100000","100000","1","1","(311032233)","(311032234)","(0)","5","3","0"
"1031001","1031001","1","3","100000","100000","2","1","(311032313)","(311032314)","(0)","5","3","0"
"1031002","1031002","1","3","100000","100000","2","1","(311032323)","(311032324)","(0)","5","3","0"
"1031003","1031003","1","3","100000","100000","2","1","(311032333)","(311032334)","(0)","5","3","0"
"1040301","1040301","1","1","100000","0","1","0","(311042113)","(0)","(0)","5","0","0"
"1040302","1040302","1","1","100000","0","1","0","(311042123)","(0)","(0)","5","0","0"
"1040303","1040303","1","1","100000","0","1","0","(311042133)","(0)","(0)","5","0","0"
"1040304","1040304","1","1","100000","0","1","0","(311042143)","(0)","(0)","5","0","0"
"1040305","1040305","1","1","100000","0","1","0","(311042153)","(0)","(0)","5","0","0"
"1040501","1040501","1","2","100000","100000","1","1","(311042213)","(311042214)","(0)","5","3","0"
"1040502","1040502","1","2","100000","100000","1","1","(311042223)","(311042224)","(0)","5","3","0"
"1040503","1040503","1","2","100000","100000","1","1","(311042233)","(311042234)","(0)","5","3","0"
"1041001","1041001","1","3","100000","100000","2","1","(311042313)","(311042314)","(0)","5","3","0"
"1041002","1041002","1","3","100000","100000","2","1","(311042323)","(311042324)","(0)","5","3","0"
"1041003","1041003","1","3","100000","100000","2","1","(311042333)","(311042334)","(0)","5","3","0"
"1050301","1050301","1","1","100000","0","1","0","(311052113)","(0)","(0)","5","0","0"
"1050302","1050302","1","1","100000","0","1","0","(311052123)","(0)","(0)","5","0","0"
"1050303","1050303","1","1","100000","0","1","0","(311052133)","(0)","(0)","5","0","0"
