"Name","DropPositionId","DropPositionGroupId","Position"
"5","5","1","(X=0.000000,Y=0.000000,Z=0.000000)"
"6","6","2","(X=250.000000,Y=-250.000000,Z=0.000000)"
"7","7","2","(X=250.000000,Y=250.000000,Z=0.000000)"
"8","8","2","(X=-250.000000,Y=250.000000,Z=0.000000)"
"9","9","2","(X=-250.000000,Y=-250.000000,Z=0.000000)"
"10","10","3","(X=520,Y=12,Z=0)"
"11","11","3","(X=-520,Y=-12,Z=0)"
"12","12","3","(X=12,Y=-520,Z=0)"
"13","13","3","(X=-12,Y=520,Z=0)"
"14","14","3","(X=457,Y=-249,Z=0)"
"15","15","3","(X=-457,Y=249,Z=0)"
"16","16","3","(X=-249,Y=-457,Z=0)"
"17","17","3","(X=249,Y=457,Z=0)"
"18","18","3","(X=444,Y=270,Z=0)"
"19","19","3","(X=-444,Y=-270,Z=0)"
"20","20","3","(X=270,Y=-444,Z=0)"
"21","21","3","(X=-270,Y=444,Z=0)"
"22","22","3","(X=0,Y=1080,Z=0)"
"23","23","3","(X=0,Y=-1080,Z=0)"
"24","24","3","(X=1080,Y=0,Z=0)"
"25","25","3","(X=-1080,Y=0,Z=0)"
"26","26","3","(X=-539,Y=935,Z=0)"
"27","27","3","(X=539,Y=-935,Z=0)"
"28","28","3","(X=935,Y=539,Z=0)"
"29","29","3","(X=-935,Y=-539,Z=0)"
"30","30","3","(X=-369,Y=1014,Z=0)"
"31","31","3","(X=369,Y=-1014,Z=0)"
"32","32","3","(X=1014,Y=369,Z=0)"
"33","33","3","(X=-1014,Y=-369,Z=0)"
"34","34","3","(X=369,Y=1014,Z=0)"
"35","35","3","(X=-369,Y=-1014,Z=0)"
"36","36","3","(X=1014,Y=-369,Z=0)"
"37","37","3","(X=-1014,Y=369,Z=0)"
"38","38","3","(X=187,Y=1063,Z=0)"
"39","39","3","(X=-187,Y=-1063,Z=0)"
"40","40","3","(X=1063,Y=-187,Z=0)"
"41","41","3","(X=-1063,Y=187,Z=0)"
"42","42","3","(X=-187,Y=1063,Z=0)"
"43","43","3","(X=187,Y=-1063,Z=0)"
"44","44","3","(X=1063,Y=187,Z=0)"
"45","45","3","(X=-1063,Y=-187,Z=0)"
"46","46","3","(X=-539,Y=-935,Z=0)"
"47","47","3","(X=-935,Y=539,Z=0)"
"48","48","3","(X=935,Y=-539,Z=0)"
"49","49","3","(X=539,Y=935,Z=0)"
"50","50","3","(X=-694,Y=-827,Z=0)"
"51","51","3","(X=-827,Y=694,Z=0)"
"52","52","3","(X=827,Y=-694,Z=0)"
"53","53","3","(X=694,Y=827,Z=0)"
"54","54","3","(X=-694,Y=827,Z=0)"
"55","55","3","(X=694,Y=-827,Z=0)"
"56","56","3","(X=827,Y=694,Z=0)"
"57","57","3","(X=-827,Y=-694,Z=0)"
"58","58","4","(X=-166,Y=1463,Z=0)"
"59","59","4","(X=166,Y=-1463,Z=0)"
"60","60","4","(X=1463,Y=166,Z=0)"
"61","61","4","(X=-1463,Y=-166,Z=0)"
"62","62","4","(X=-876,Y=1183,Z=0)"
"63","63","4","(X=876,Y=-1183,Z=0)"
"64","64","4","(X=1183,Y=876,Z=0)"
"65","65","4","(X=-1183,Y=-876,Z=0)"
"66","66","4","(X=-657,Y=1317,Z=0)"
"67","67","4","(X=657,Y=-1317,Z=0)"
"68","68","4","(X=1317,Y=657,Z=0)"
"69","69","4","(X=-1317,Y=-657,Z=0)"
"70","70","4","(X=342,Y=1432,Z=0)"
"71","71","4","(X=-342,Y=-1432,Z=0)"
"72","72","4","(X=1432,Y=-342,Z=0)"
"73","73","4","(X=-1432,Y=342,Z=0)"
"74","74","4","(X=88,Y=1469,Z=0)"
"75","75","4","(X=-88,Y=-1469,Z=0)"
"76","76","4","(X=1469,Y=-88,Z=0)"
"77","77","4","(X=-1469,Y=88,Z=0)"
"78","78","4","(X=-418,Y=1412,Z=0)"
"79","79","4","(X=418,Y=-1412,Z=0)"
"80","80","4","(X=1412,Y=418,Z=0)"
"81","81","4","(X=-1412,Y=-418,Z=0)"
"82","82","4","(X=-586,Y=-1350,Z=0)"
"83","83","4","(X=-1350,Y=586,Z=0)"
"84","84","4","(X=1350,Y=-586,Z=0)"
"85","85","4","(X=586,Y=1350,Z=0)"
"86","86","4","(X=-812,Y=-1228,Z=0)"
"87","87","4","(X=-1228,Y=812,Z=0)"
"88","88","4","(X=1228,Y=-812,Z=0)"
"89","89","4","(X=812,Y=1228,Z=0)"
"90","90","4","(X=-1068,Y=1013,Z=0)"
"91","91","4","(X=1068,Y=-1013,Z=0)"
"92","92","4","(X=1013,Y=1068,Z=0)"
"93","93","4","(X=-1013,Y=-1068,Z=0)"
"94","94","4","(X=900,Y=127,Z=0)"
"95","95","4","(X=-900,Y=-127,Z=0)"
"96","96","4","(X=127,Y=-900,Z=0)"
"97","97","4","(X=-127,Y=900,Z=0)"
"98","98","4","(X=843,Y=-338,Z=0)"
"99","99","4","(X=-843,Y=338,Z=0)"
"100","100","4","(X=-338,Y=-843,Z=0)"
"101","101","4","(X=338,Y=843,Z=0)"
"102","102","4","(X=716,Y=561,Z=0)"
"103","103","4","(X=-716,Y=-561,Z=0)"
"104","104","4","(X=561,Y=-716,Z=0)"
"105","105","4","(X=-561,Y=716,Z=0)"
"106","106","5","(X=189,Y=1286,Z=0)"
"107","107","5","(X=-189,Y=-1286,Z=0)"
"108","108","5","(X=1286,Y=-189,Z=0)"
"109","109","5","(X=-1286,Y=189,Z=0)"
"110","110","5","(X=-478,Y=1208,Z=0)"
"111","111","5","(X=478,Y=-1208,Z=0)"
"112","112","5","(X=1208,Y=478,Z=0)"
"113","113","5","(X=-1208,Y=-478,Z=0)"
"114","114","5","(X=-261,Y=1272,Z=0)"
"115","115","5","(X=261,Y=-1272,Z=0)"
"116","116","5","(X=1272,Y=261,Z=0)"
"117","117","5","(X=-1272,Y=-261,Z=0)"
"118","118","5","(X=617,Y=1144,Z=0)"
"119","119","5","(X=-617,Y=-1144,Z=0)"
"120","120","5","(X=1144,Y=-617,Z=0)"
