"Name","PieTypeRewardBoxGroupId","RewardBoxDropCount","RewardBoxDropChance","DROP_REWARD_OBJECTGROUPID","DropPositionGroupId"
"11","1001","50","1","1001","10103"
"12","1002","60","1","1002","10201"
"13","1003","60","1","1003","10202"
"15","1004","150","1","1004","10101"
"16","1005","50","1","1005","10102"
"17","1101","12","1","1101","10304"
"18","1102","14","1","1102","10304"
"19","1103","16","1","1103","10304"
"20","1104","18","1","1104","10305"
"21","1105","18","1","1105","10305"
"22","1201","12","1","1201","10301"
"23","1202","12","1","1202","10302"
"24","1203","14","1","1203","10303"
"25","1204","14","1","1204","10301"
"26","1205","16","1","1205","10302"
"27","1206","16","1","1206","10303"
"28","1207","16","1","1207","10301"
"29","1208","18","1","1208","10302"
"30","1209","18","1","1209","10303"
"31","1210","18","1","1210","10301"
"32","1211","30","1","1211","1211"
"33","1212","30","1","1212","1212"
"34","2001","10","1","10101","5"
"35","2002","10","1","10102","5"
"36","2003","10","1","10103","5"
"37","2004","10","1","10104","5"
"38","2005","10","1","10105","5"
"39","2006","10","1","10106","5"
"40","2007","10","1","10107","5"
"41","2008","10","1","10108","5"
"42","2009","10","1","10109","5"
"43","2010","10","1","10110","5"
"44","2011","10","1","10111","5"
"45","2012","10","1","10112","5"
"46","2013","10","1","10113","5"
"47","3001","5","1","3001","13001"
"48","3002","5","1","3002","13001"
"49","3003","5","1","3003","13001"
"50","3004","5","1","3004","13001"
"51","3005","10","1","3005","13001"
"52","3006","10","1","3006","13001"
"53","20110","30","1","20110","10701"
"54","20120","30","1","20120","10701"
"55","20130","30","1","20130","10701"
"56","30100","3","1","30100","10801"
"57","30200","4","1","30200","10801"
"58","30300","5","1","30300","10801"
"59","30400","50","1","30400","10801"
"60","30500","12","1","30500","10901"
"61","30600","5","1","30600","10801"
"62","30700","15","1","30700","10801"
"63","30800","3","1","30800","10801"
"64","30900","3","1","30900","10801"
"65","31000","3","1","31000","10801"
"66","31100","4","1","31100","10801"
"67","31200","4","1","31200","10801"
"68","31300","5","1","31300","10801"
"69","31400","15","1","31400","10801"
"70","31500","5","1","31500","10801"
"71","31600","15","1","31600","10801"
"72","31700","5","1","31700","10801"
"73","31800","15","1","31800","10801"
"74","31900","5","1","31900","10801"
"75","32000","15","1","32000","10801"
"76","30110","3","1","30110","10801"
"77","30210","4","1","30210","10801"
"78","30310","5","1","30310","10801"
"79","30410","50","1","30410","10801"
"80","30510","12","1","30510","10901"
"81","30610","5","1","30610","10801"
"82","30710","15","1","30710","10801"
"83","30810","3","1","30810","10801"
"84","30910","3","1","30910","10801"
"85","31010","3","1","31010","10801"
"86","31110","4","1","31110","10801"
"87","31210","4","1","31210","10801"
"88","31310","5","1","31310","10801"
"89","31410","15","1","31410","10801"
"90","31510","5","1","31510","10801"
"91","31610","15","1","31610","10801"
"92","31710","5","1","31710","10801"
"93","31810","15","1","31810","10801"
"94","31910","5","1","31910","10801"
"95","32010","15","1","32010","10801"
"96","30120","3","1","30120","10801"
"97","30220","4","1","30220","10801"
"98","30320","5","1","30320","10801"
"99","30420","50","1","30420","10801"
"100","30520","12","1","30520","10901"
"101","30620","5","1","30620","10801"
"102","30720","15","1","30720","10801"
"103","30820","3","1","30820","10801"
"104","30920","3","1","30920","10801"
"105","31020","3","1","31020","10801"
"106","31120","4","1","31120","10801"
"107","31220","4","1","31220","10801"
"108","31320","5","1","31320","10801"
"109","31420","15","1","31420","10801"
"110","31520","5","1","31520","10801"
"111","31620","15","1","31620","10801"
"112","31720","5","1","31720","10801"
"113","31820","15","1","31820","10801"
"114","31920","5","1","31920","10801"
"115","32020","15","1","32020","10801"
"116","30130","3","1","30130","10801"
"117","30230","4","1","30230","10801"
"118","30330","5","1","30330","10801"
"119","30430","50","1","30430","10801"
"120","30530","12","1","30530","10901"
"121","30630","5","1","30630","10801"
"122","30730","15","1","30730","10801"
"123","30830","3","1","30830","10801"
"124","30930","3","1","30930","10801"
"125","31030","3","1","31030","10801"
"126","31130","4","1","31130","10801"
"127","31230","4","1","31230","10801"
"128","31330","5","1","31330","10801"
"129","31430","15","1","31430","10801"
"130","31530","5","1","31530","10801"
"131","31630","15","1","31630","10801"
"132","31730","5","1","31730","10801"
"133","31830","15","1","31830","10801"
"134","31930","5","1","31930","10801"
"135","32030","15","1","32030","10801"
"136","32130","50","1","32130","10801"
"137","40100","18","1","40100","10302"
"138","50100","18","1","50100","10305"
"139","50110","36","1","50110","10305"
"140","1010301","2","1","1010301","10002"
"141","1010302","2","1","1010302","10001"
"142","1010303","2","1","1010303","10004"
"143","1010304","2","1","1010304","10003"
"144","1010305","2","1","1010305","10009"
"145","1010501","2","1","1010501","10006"
"146","1010501","3","1","1010501","10006"
"147","1010501","4","1","1010501","10006"
"148","1010502","2","1","1010502","10005"
"149","1010502","3","1","1010502","10005"
"150","1010502","4","1","1010502","10005"
"151","1010503","2","1","1010503","10010"
"152","1010503","3","1","1010503","10010"
"153","1010503","4","1","1010503","10010"
"154","1011001","3","1","1011001","10007"
"155","1011001","4","1","1011001","10007"
"156","1011001","5","1","1011001","10007"
"157","1011002","3","1","1011002","10008"
"158","1011002","4","1","1011002","10008"
"159","1011002","5","1","1011002","10008"
"160","1011003","3","1","1011003","10011"
"161","1011003","4","1","1011003","10011"
"162","1011003","5","1","1011003","10011"
"163","1020301","2","1","1020301","10002"
"164","1020302","2","1","1020302","10001"
"165","1020303","2","1","1020303","10004"
"166","1020304","2","1","1020304","10003"
"167","1020305","2","1","1020305","10009"
"168","1020501","2","1","1020501","10006"
"169","1020501","3","1","1020501","10006"
"170","1020501","4","1","1020501","10006"
"171","1020502","2","1","1020502","10005"
"172","1020502","3","1","1020502","10005"
"173","1020502","4","1","1020502","10005"
"174","1020503","2","1","1020503","10010"
"175","1020503","3","1","1020503","10010"
"176","1020503","4","1","1020503","10010"
"177","1021001","3","1","1021001","10007"
"178","1021001","4","1","1021001","10007"
"179","1021001","5","1","1021001","10007"
"180","1021002","3","1","1021002","10008"
"181","1021002","4","1","1021002","10008"
"182","1021002","5","1","1021002","10008"
"183","1021003","3","1","1021003","10011"
"184","1021003","4","1","1021003","10011"
"185","1021003","5","1","1021003","10011"
"186","1030301","2","1","1030301","10002"
"187","1030302","2","1","1030302","10001"
"188","1030303","2","1","1030303","10004"
"189","1030304","2","1","1030304","10003"
"190","1030305","2","1","1030305","10009"
"191","1030501","2","1","1030501","10006"
"192","1030501","3","1","1030501","10006"
"193","1030501","4","1","1030501","10006"
"194","1030502","2","1","1030502","10005"
"195","1030502","3","1","1030502","10005"
"196","1030502","4","1","1030502","10005"
"197","1030503","2","1","1030503","10010"
"198","1030503","3","1","1030503","10010"
"199","1030503","4","1","1030503","10010"
"200","1031001","3","1","1031001","10007"
"201","1031001","4","1","1031001","10007"
"202","1031001","5","1","1031001","10007"
"203","1031002","3","1","1031002","10008"
"204","1031002","4","1","1031002","10008"
"205","1031002","5","1","1031002","10008"
"206","1031003","3","1","1031003","10011"
"207","1031003","4","1","1031003","10011"
"208","1031003","5","1","1031003","10011"
"209","1040301","2","1","1040301","10002"
"210","1040302","2","1","1040302","10001"
"211","1040303","2","1","1040303","10004"
"212","1040304","2","1","1040304","10003"
"213","1040305","2","1","1040305","10009"
"214","1040501","2","1","1040501","10006"
"215","1040501","3","1","1040501","10006"
"216","1040501","4","1","1040501","10006"
"217","1040502","2","1","1040502","10005"
"218","1040502","3","1","1040502","10005"
"219","1040502","4","1","1040502","10005"
"220","1040503","2","1","1040503","10010"
"221","1040503","3","1","1040503","10010"
"222","1040503","4","1","1040503","10010"
"223","1041001","3","1","1041001","10007"
"224","1041001","4","1","1041001","10007"
"225","1041001","5","1","1041001","10007"
"226","1041002","3","1","1041002","10008"
"227","1041002","4","1","1041002","10008"
"228","1041002","5","1","1041002","10008"
"229","1041003","3","1","1041003","10011"
"230","1041003","4","1","1041003","10011"
"231","1041003","5","1","1041003","10011"
"232","1050301","2","1","1050301","10002"
"233","1050302","2","1","1050302","10001"
"234","1050303","2","1","1050303","10004"
"235","1050304","2","1","1050304","10003"
"236","1050305","2","1","1050305","10009"
"237","1050501","2","1","1050501","10006"
"238","1050501","3","1","1050501","10006"
"239","1050501","4","1","1050501","10006"
"240","1050502","2","1","1050502","10005"
"241","1050502","3","1","1050502","10005"
"242","1050502","4","1","1050502","10005"
"243","1050503","2","1","1050503","10010"
"244","1050503","3","1","1050503","10010"
"245","1050503","4","1","1050503","10010"
"246","1051001","3","1","1051001","10007"
"247","1051001","4","1","1051001","10007"
"248","1051001","5","1","1051001","10007"
"249","1051002","3","1","1051002","10008"
"250","1051002","4","1","1051002","10008"
"251","1051002","5","1","1051002","10008"
"252","1051003","3","1","1051003","10011"
"253","1051003","4","1","1051003","10011"
"254","1051003","5","1","1051003","10011"
"255","1060301","2","1","1060301","10002"
"256","1060302","2","1","1060302","10001"
"257","1060303","2","1","1060303","10004"
"258","1060304","2","1","1060304","10003"
"259","1060305","2","1","1060305","10009"
"260","1060501","2","1","1060501","10006"
"261","1060501","3","1","1060501","10006"
"262","1060501","4","1","1060501","10006"
"263","1060502","2","1","1060502","10005"
"264","1060502","3","1","1060502","10005"
"265","1060502","4","1","1060502","10005"
"266","1060503","2","1","1060503","10010"
"267","1060503","3","1","1060503","10010"
"268","1060503","4","1","1060503","10010"
"269","1061001","3","1","1061001","10007"
"270","1061001","4","1","1061001","10007"
"271","1061001","5","1","1061001","10007"
"272","1061002","3","1","1061002","10008"
"273","1061002","4","1","1061002","10008"
"274","1061002","5","1","1061002","10008"
"275","1061003","3","1","1061003","10011"
"276","1061003","4","1","1061003","10011"
"277","1061003","5","1","1061003","10011"
"278","1070301","2","1","1070301","10002"
"279","1070301","3","1","1070301","10002"
"280","1070301","4","1","1070301","10002"
"281","1070302","2","1","1070302","10001"
"282","1070302","3","1","1070302","10001"
"283","1070302","4","1","1070302","10001"
"284","1070303","2","1","1070303","10004"
"285","1070303","3","1","1070303","10004"
"286","1070303","4","1","1070303","10004"
"287","1070304","2","1","1070304","10003"
"288","1070304","3","1","1070304","10003"
"289","1070304","4","1","1070304","10003"
"290","1070305","2","1","1070305","10009"
"291","1070305","3","1","1070305","10009"
"292","1070305","4","1","1070305","10009"
"293","1070501","3","1","1070501","10006"
"294","1070501","4","1","1070501","10006"
"295","1070501","5","1","1070501","10006"
"296","1070502","3","1","1070502","10005"
"297","1070502","4","1","1070502","10005"
"298","1070502","5","1","1070502","10005"
"299","1070503","3","1","1070503","10010"
"300","1070503","4","1","1070503","10010"
"301","1070503","5","1","1070503","10010"
"302","1071001","4","1","1071001","10007"
"303","1071001","5","1","1071001","10007"
"304","1071001","6","1","1071001","10007"
"305","1071002","4","1","1071002","10008"
"306","1071002","5","1","1071002","10008"
"307","1071002","6","1","1071002","10008"
"308","1071003","4","1","1071003","10011"
"309","1071003","5","1","1071003","10011"
"310","1071003","6","1","1071003","10011"
"311","1080301","2","1","1080301","10002"
"312","1080301","3","1","1080301","10002"
"313","1080301","4","1","1080301","10002"
"314","1080302","2","1","1080302","10001"
"315","1080302","3","1","1080302","10001"
"316","1080302","4","1","1080302","10001"
"317","1080303","2","1","1080303","10004"
"318","1080303","3","1","1080303","10004"
"319","1080303","4","1","1080303","10004"
"320","1080304","2","1","1080304","10003"
"321","1080304","3","1","1080304","10003"
"322","1080304","4","1","1080304","10003"
"323","1080305","2","1","1080305","10009"
"324","1080305","3","1","1080305","10009"
"325","1080305","4","1","1080305","10009"
"326","1080501","3","1","1080501","10006"
"327","1080501","4","1","1080501","10006"
"328","1080501","5","1","1080501","10006"
"329","1080502","3","1","1080502","10005"
"330","1080502","4","1","1080502","10005"
"331","1080502","5","1","1080502","10005"
"332","1080503","3","1","1080503","10010"
"333","1080503","4","1","1080503","10010"
"334","1080503","5","1","1080503","10010"
"335","1081001","4","1","1081001","10007"
"336","1081001","5","1","1081001","10007"
"337","1081001","6","1","1081001","10007"
