"Name","Drop_Reward_Object_GroupID","ObjectID","Object_Drop_Chance","Object_Drop_Datum_Point","Object_Drop_Datum_Point_Range"
"13","1001","0","0","2","2200"
"14","1001","0","0","2","2200"
"15","1001","301201003","58","2","2200"
"16","1001","301201004","30","2","2200"
"17","1001","301201005","12","2","2200"
"18","1002","0","0","2","2200"
"19","1002","0","0","2","2200"
"20","1002","301301003","500","2","2200"
"21","1002","301301004","333","2","2200"
"22","1002","301301005","167","2","2200"
"23","1003","0","0","2","2300"
"24","1003","0","0","2","2300"
"25","1003","301311003","500","2","2300"
"26","1003","301311004","333","2","2300"
"27","1003","301311005","167","2","2300"
"28","1004","301211011","60","2","17500"
"29","1004","301211012","35","2","17500"
"30","1004","301211013","5","2","17500"
"31","1005","301211003","64","2","4500"
"32","1005","301211004","30","2","4500"
"33","1005","301211005","6","2","4500"
"34","1101","0","0","2","1600"
"35","1101","0","0","2","1600"
"36","1101","300100101","90","2","1600"
"37","1101","300100102","8","2","1600"
"38","1101","300100103","2","2","1600"
"39","1102","0","0","2","1600"
"40","1102","0","0","2","1600"
"41","1102","300100201","90","2","1600"
"42","1102","300100202","8","2","1600"
"43","1102","300100203","2","2","1600"
"44","1103","0","0","2","1600"
"45","1103","0","0","2","1600"
"46","1103","300100301","90","2","1600"
"47","1103","300100302","8","2","1600"
"48","1103","300100303","2","2","1600"
"49","1104","0","0","2","1600"
"50","1104","0","0","2","1600"
"51","1104","300100401","90","2","1600"
"52","1104","300100402","8","2","1600"
"53","1104","300100403","2","2","1600"
"54","1105","0","0","2","1600"
"55","1105","0","0","2","1600"
"56","1105","300100501","90","2","1600"
"57","1105","300100502","8","2","1600"
"58","1105","300100503","2","2","1600"
"59","1201","0","0","2","1600"
"60","1201","0","0","2","1600"
"61","1201","301100101","90","2","1600"
"62","1201","301100102","8","2","1600"
"63","1201","301100103","2","2","1600"
"64","1202","0","0","2","1600"
"65","1202","0","0","2","1600"
"66","1202","301100201","90","2","1600"
"67","1202","301100202","8","2","1600"
"68","1202","301100203","2","2","1600"
"69","1203","0","0","2","1600"
"70","1203","0","0","2","1600"
"71","1203","301100301","90","2","1600"
"72","1203","301100302","8","2","1600"
"73","1203","301100303","2","2","1600"
"74","1204","0","0","2","1600"
"75","1204","0","0","2","1600"
"76","1204","301100401","90","2","1600"
"77","1204","301100402","8","2","1600"
"78","1204","301100403","2","2","1600"
"79","1205","0","0","2","1600"
"80","1205","0","0","2","1600"
"81","1205","301100501","90","2","1600"
"82","1205","301100502","8","2","1600"
"83","1205","301100503","2","2","1600"
"84","1206","0","0","2","1600"
"85","1206","0","0","2","1600"
"86","1206","301100601","90","2","1600"
"87","1206","301100602","8","2","1600"
"88","1206","301100603","2","2","1600"
"89","1207","0","0","2","1600"
"90","1207","0","0","2","1600"
"91","1207","301100701","90","2","1600"
"92","1207","301100702","8","2","1600"
"93","1207","301100703","2","2","1600"
"94","1208","0","0","2","1600"
"95","1208","0","0","2","1600"
"96","1208","301100801","90","2","1600"
"97","1208","301100802","8","2","1600"
"98","1208","301100803","2","2","1600"
"99","1209","0","0","2","1600"
"100","1209","0","0","2","1600"
"101","1209","301100901","90","2","1600"
"102","1209","301100902","8","2","1600"
"103","1209","301100903","2","2","1600"
"104","1210","0","0","2","1600"
"105","1210","0","0","2","1600"
"106","1210","301101001","90","2","1600"
"107","1210","301101002","8","2","1600"
"108","1210","301101003","2","2","1600"
"109","1211","0","0","2","2300"
"110","1211","0","0","2","2300"
"111","1211","300100601","90","2","2300"
"112","1211","300100602","8","2","2300"
"113","1211","300100603","2","2","2300"
"114","1212","0","0","2","2300"
"115","1212","0","0","2","2300"
"116","1212","300100701","90","2","2300"
"117","1212","300100702","8","2","2300"
"118","1212","300100703","2","2","2300"
"119","3001","350070101","0","2","2000"
"120","3001","350070102","0","2","2000"
"121","3001","350070103","100","2","2000"
"122","3001","350070104","0","2","2000"
"123","3001","350070105","0","2","2000"
"124","3002","350070201","0","2","2000"
"125","3002","350070202","0","2","2000"
"126","3002","350070203","100","2","2000"
"127","3002","350070204","0","2","2000"
"128","3002","350070205","0","2","2000"
"129","3003","350070301","0","2","2000"
"130","3003","350070302","0","2","2000"
"131","3003","350070303","100","2","2000"
"132","3003","350070304","0","2","2000"
"133","3003","350070305","0","2","2000"
"134","3004","350070401","0","2","2000"
"135","3004","350070402","0","2","2000"
"136","3004","350070403","100","2","2000"
"137","3004","350070404","0","2","2000"
"138","3004","350070405","0","2","2000"
"139","3005","350070501","0","2","2000"
"140","3005","350070502","0","2","2000"
"141","3005","350070503","100","2","2000"
"142","3005","350070504","0","2","2000"
"143","3005","350070505","0","2","2000"
"144","3006","350070604","100","2","2000"
"145","10101","303001013","33","0","0"
"146","10101","303001014","33","0","0"
"147","10101","303001015","34","0","0"
"148","10102","303001016","33","0","0"
"149","10102","303001017","33","0","0"
"150","10102","303001018","34","0","0"
"151","10103","303001019","33","0","0"
"152","10103","303001020","33","0","0"
"153","10103","303001021","34","0","0"
"154","10104","303001022","33","0","0"
"155","10104","303001023","33","0","0"
"156","10104","303001024","34","0","0"
"157","10105","303001025","33","0","0"
"158","10105","303001026","33","0","0"
"159","10105","303001027","34","0","0"
"160","10106","303001028","33","0","0"
"161","10106","303001029","33","0","0"
"162","10106","303001030","34","0","0"
"163","10107","303001031","33","0","0"
"164","10107","303001032","33","0","0"
"165","10107","303001033","34","0","0"
"166","10108","303001034","33","0","0"
"167","10108","303001035","33","0","0"
"168","10108","303001036","34","0","0"
"169","10109","303001037","33","0","0"
"170","10109","303001038","33","0","0"
"171","10109","303001039","34","0","0"
"172","10110","303001040","33","0","0"
"173","10110","303001041","33","0","0"
"174","10110","303001042","34","0","0"
"175","10111","303001043","33","0","0"
"176","10111","303001044","33","0","0"
"177","10111","303001045","34","0","0"
"178","10112","303001046","33","0","0"
"179","10112","303001047","33","0","0"
"180","10112","303001048","34","0","0"
"181","10113","303001049","33","0","0"
"182","10113","303001050","33","0","0"
"183","10113","303001051","34","0","0"
"184","20110","350100103","65","2","3000"
"185","20110","350100104","25","2","3000"
"186","20110","350100105","10","2","3000"
"187","20120","350100203","65","2","3000"
"188","20120","350100204","25","2","3000"
"189","20120","350100205","10","2","3000"
"190","20130","350100303","65","2","3000"
"191","20130","350100304","25","2","3000"
"192","20130","350100305","10","2","3000"
"193","30100","600300200","67","2","5500"
"194","30100","600300201","30","2","5500"
"195","30100","600300202","3","2","5500"
"196","30200","600300300","67","2","5500"
"197","30200","600300301","30","2","5500"
"198","30200","600300302","3","2","5500"
"199","30300","600300400","67","2","5000"
"200","30300","600300401","30","2","5000"
"201","30300","600300402","3","2","5000"
"202","30400","600300100","58","2","8200"
"203","30400","600300101","30","2","8200"
"204","30400","600300102","12","2","8200"
"205","30500","600200100","50","2","9000"
"206","30500","600200101","25","2","9000"
"207","30500","600200102","10","2","9000"
"208","30500","600200103","8","2","9000"
"209","30500","600200104","7","2","9000"
"210","30600","600301200","90","2","900"
"211","30600","600301201","8","2","900"
"212","30600","600301202","2","2","900"
"213","30700","600301300","60","2","900"
"214","30700","600301301","28","2","900"
"215","30700","600301302","12","2","900"
"216","30800","600300500","67","2","5100"
"217","30800","600300501","30","2","5100"
"218","30800","600300502","3","2","5100"
"219","30900","600300600","67","2","6000"
"220","30900","600300601","30","2","6000"
"221","30900","600300602","3","2","6000"
"222","31000","600300700","67","2","6000"
"223","31000","600300701","30","2","6000"
"224","31000","600300702","3","2","6000"
"225","31100","600300800","67","2","6000"
"226","31100","600300801","30","2","6000"
"227","31100","600300802","3","2","6000"
"228","31200","600300900","67","2","6000"
"229","31200","600300901","30","2","6000"
"230","31200","600300902","3","2","6000"
"231","31300","600301000","67","2","4000"
"232","31300","600301001","30","2","4000"
"233","31300","600301002","3","2","4000"
"234","31400","600301100","67","2","4000"
"235","31400","600301101","30","2","4000"
"236","31400","600301102","3","2","4000"
"237","31500","600302000","67","2","4000"
"238","31500","600302001","30","2","4000"
"239","31500","600302002","3","2","4000"
"240","31600","600302100","67","2","4000"
"241","31600","600302101","30","2","4000"
"242","31600","600302102","3","2","4000"
"243","31700","600303000","67","2","4000"
"244","31700","600303001","30","2","4000"
"245","31700","600303002","3","2","4000"
"246","31800","600304100","67","2","4000"
"247","31800","600304101","30","2","4000"
"248","31800","600304102","3","2","4000"
"249","31900","600305000","67","2","4000"
"250","31900","600305001","30","2","4000"
"251","31900","600305002","3","2","4000"
"252","32000","600306100","67","2","4000"
"253","32000","600306101","30","2","4000"
"254","32000","600306102","3","2","4000"
"255","30110","600300210","67","2","5500"
"256","30110","600300211","30","2","5500"
"257","30110","600300212","3","2","5500"
"258","30210","600300310","67","2","5500"
"259","30210","600300311","30","2","5500"
"260","30210","600300312","3","2","5500"
"261","30310","600300410","67","2","5000"
"262","30310","600300411","30","2","5000"
"263","30310","600300412","3","2","5000"
"264","30410","600300110","58","2","8200"
"265","30410","600300111","30","2","8200"
"266","30410","600300112","12","2","8200"
"267","30510","600200110","50","2","9000"
"268","30510","600200111","25","2","9000"
"269","30510","600200112","10","2","9000"
"270","30510","600200113","8","2","9000"
"271","30510","600200114","7","2","9000"
"272","30610","600301210","90","2","900"
"273","30610","600301211","8","2","900"
"274","30610","600301212","2","2","900"
