"Name","DGShopId","DGShopGroup","DGShopGroupName","DGShopNo","DGShopItemId","DGShopItemCnt","DGShopItemBuyCostType","DGShopItemBuyCostTypeSub","DGShopItemBuyCostValue"
"1","1","1","3550003","8","501200013","1","1","20","400"
"2","2","1","0","9","501200023","1","1","20","400"
"3","3","1","0","10","501200043","1","1","20","400"
"4","4","1","0","11","517200103","1","1","20","600"
"5","5","1","0","12","517200203","1","1","20","600"
"6","6","1","0","13","517200303","1","1","20","600"
"7","7","1","0","14","517200403","1","1","20","600"
"8","8","1","0","15","501200012","1","1","20","100"
"9","9","1","0","16","501200022","1","1","20","100"
"10","10","1","0","17","501200042","1","1","20","100"
"11","11","1","0","18","517200102","1","1","20","200"
"12","12","1","0","19","517200202","1","1","20","200"
"13","13","1","0","20","517200302","1","1","20","200"
"14","14","1","0","21","517200402","1","1","20","200"
"15","15","1","0","1","501200014","1","1","20","800"
"16","16","1","0","2","501200024","1","1","20","800"
"17","17","1","0","3","501200044","1","1","20","800"
"18","18","1","0","4","517200104","1","1","20","1200"
"19","19","1","0","5","517200204","1","1","20","1200"
"20","20","1","0","6","517200304","1","1","20","1200"
"21","21","1","0","7","517200404","1","1","20","1200"
"24","24","2","3550002","4","603201001","1","1","20","33000"
"25","25","2","0","5","603200102","1","1","20","4000"
"26","26","2","0","6","603200502","1","1","20","12000"
"27","27","2","0","7","603200602","1","1","20","19000"
"28","28","2","0","1","603200103","1","1","20","22000"
"29","29","2","0","2","603200503","1","1","20","45000"
"30","30","2","0","3","603200603","1","1","20","45000"
"31","31","3","5100023","1","902200503","1","1","20","4000"
"22","22","3","0","2","601200164","1","1","20","3000"
"23","23","3","0","3","601200165","1","1","20","3000"
"32","32","3","0","4","601202668","1","1","20","200000"
"33","33","3","0","5","601202669","1","1","20","2000000"
