"Name","EffectId","Class","MainType","SubType","FileName","AniName","EffectType","LoopType","StartTarget","EndTarget","StartSocket","StartPos","EndSocket","EndPos","Attach","EWScaleX","EWScaleY"
"110501","110501","0","0","0","ParticleSystem'/Game/Effect/Common/System/Portal/P_Portal_Ship01_LOCK.P_Portal_Ship01_LOCK'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220101","220101","0","0","0","ParticleSystem'/Game/Effect/Common/System/Battle/P_Target_Decal_Arrow.P_Target_Decal_Arrow'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220102","220102","0","0","0","ParticleSystem'/Game/Effect/Common/System/Battle/P_Target_Decal_Basic.P_Target_Decal_Basic'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220104","220104","0","0","0","ParticleSystem'/Game/Effect/Common/System/Battle/P_Target_Decal_Red.P_Target_Decal_Red'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220401","220401","0","0","0","ParticleSystem'/Game/Effect/Common/System/Levelup/P_sys_levelup_01.P_sys_levelup_01'","0","0","0","0","0","spine01","(0,0,0)","0","(0,0,0)","1","1","1"
"220610","220610","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_01.P_Object_Spread_01'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220611","220611","0","0","0","ParticleSystem'/Game/Effect/Common/System/Arrow/P_System_LockOnLine_01.P_System_LockOnLine_01'","0","0","0","0","0","0","(0,0,0)","0","(0,0,0)","1","1","1"
"220620","220620","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_02.P_Object_Spread_02'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220621","220621","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_03.P_Object_Spread_03'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220622","220622","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_04.P_Object_Spread_04'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220623","220623","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_05.P_Object_Spread_05'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220624","220624","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_01_1.P_Object_Spread_01_1'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220626","220626","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_02_1.P_Object_Spread_02_1'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220628","220628","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_03_1.P_Object_Spread_03_1'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220629","220629","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_03_2.P_Object_Spread_03_2'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220630","220630","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_04_1.P_Object_Spread_04_1'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220632","220632","0","0","0","ParticleSystem'/Game/Effect/Common/System/Collect/P_Object_Spread_05_1.P_Object_Spread_05_1'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220634","220634","0","0","0","ParticleSystem'/Game/Effect/Mon_Finish/Object/ObjMon_ChestOpen_03/P_ObjMon_ChestOpen03_01.P_ObjMon_ChestOpen03_01'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220635","220635","0","0","0","ParticleSystem'/Game/Effect/Mon_Finish/Object/ObjMon_Dumbul01/P_ObjMon_Dumbul10_01.P_ObjMon_Dumbul10_01'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
"220636","220636","0","0","0","ParticleSystem'/Game/Effect/Mon_Finish/Object/ObjMon_Mineral/P_ObjMon_Mineral10_01.P_ObjMon_Mineral10_01'","0","0","0","0","0","Root","(0,0,0)","0","(0,0,0)","1","1","1"
