"Name","EffectId","FileName","AniName","EWScaleX","EWScaleY"
"1000000","1000000","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_ButtonRound_Release.WE_ButtonRound_Release_C","Ani_Common_Btn_Round_Effect","1","1"
"1000100","1000100","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_ButtonSquare_Release.WE_ButtonSquare_Release_C","Ani_Common_Btn_Square_Effect","1","1"
"1000101","1000101","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_ButtonSquare_Attention.WE_ButtonSquare_Attention_C","0","1","1"
"1000102","1000102","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_ButtonSpecial_Receive.WE_ButtonSpecial_Receive'","0","1","1"
"1000200","1000200","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Tab_Goods_Release.WE_Tab_Goods_Release_C","Ani_Tab_Goods_Release","1","1"
"1000300","1000300","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Tab_Horizon_Release.WE_Tab_Horizon_Release_C","Ani_Contens_MenuSlot_Newflash","1","1"
"1000400","1000400","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Tab_Vertical_Release.WE_Tab_Vertical_Release_C","Ani_Tab_Vertical_Release","1","1"
"1000401","1000401","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Tab_Vertical_Selected.WE_Tab_Vertical_Selected_C","Ani_Tab_Vertical_Selected","1","1"
"1010001","1010001","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Auto_Upgrade_Success_Blue.WE_Auto_Upgrade_Success_Blue_C","Ani_Auto_Upgrade_Success","1","1"
"1010002","1010002","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Auto_Upgrade_Fail_Blue.WE_Auto_Upgrade_Fail_Blue_C","Ani_Auto_Upgrade_Fail","1","1"
"1010003","1010003","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Auto_Upgrade_Success_Red.WE_Auto_Upgrade_Success_Red_C","Ani_Auto_Upgrade_Success_Red","1","1"
"1010004","1010004","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Auto_Upgrade_Fail_Red.WE_Auto_Upgrade_Fail_Red_C","Ani_Auto_Upgrade_Fail_Red","1","1"
"1010005","1010005","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Auto_Upgrade_Broken.WE_Auto_Upgrade_Broken_C","Ani_Auto_Upgrade_Broken","1","1"
"1010111","1010111","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Registered_circle_Gain_Grade03.WE_Slot_Registered_circle_Gain_Grade03_C","Ani_Slot_Registered_circle_Gain_Grade03","1","1"
"1010112","1010112","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Registered_circle_Gain_Grade03.WE_Slot_Registered_circle_Gain_Grade03_C","Ani_Slot_Registered_circle_Gain_Grade03","1","1"
"1010113","1010113","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Registered_circle_Gain_Grade03.WE_Slot_Registered_circle_Gain_Grade03_C","Ani_Slot_Registered_circle_Gain_Grade03","1","1"
"1010114","1010114","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Registered_circle_Gain_Grade04.WE_Slot_Registered_circle_Gain_Grade04_C","Ani_Slot_Registered_circle_Gain_Grade04","1","1"
"1010115","1010115","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Registered_circle_Gain_Grade05.WE_Slot_Registered_circle_Gain_Grade05_C","Ani_Slot_Registered_circle_Gain_Grade05","1","1"
"1010121","1010121","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Inventory_Square_Gain_Grade03.WE_Slot_Inventory_Square_Gain_Grade03_C","Ani_Slot_Inventory_Square_Gain_Grade03","1","1"
"1010122","1010122","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Inventory_Square_Gain_Grade03.WE_Slot_Inventory_Square_Gain_Grade03_C","Ani_Slot_Inventory_Square_Gain_Grade03","1","1"
"1010123","1010123","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Inventory_Square_Gain_Grade03.WE_Slot_Inventory_Square_Gain_Grade03_C","Ani_Slot_Inventory_Square_Gain_Grade03","1","1"
"1010124","1010124","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Inventory_Square_Gain_Grade04.WE_Slot_Inventory_Square_Gain_Grade04_C","Ani_Slot_Inventory_Square_Gain_Grade04","1","1"
"1010125","1010125","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Inventory_Square_Gain_Grade05.WE_Slot_Inventory_Square_Gain_Grade05_C","Ani_Slot_Inventory_Square_Gain_Grade05","1","1"
"1010200","1010200","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Item_Slot_Circle_Reinforce_Attention.WE_Item_Slot_Circle_Reinforce_Attention_C","Ani_Effect_Reinforce_Attention","1","1"
"1010201","1010201","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Item_Slot_Circle_Transfer_Selected.WE_Item_Slot_Circle_Transfer_Selected_C","0","1","1"
"1013000","1013000","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Event_Benediction_Blue.WE_Slot_Event_Benediction_Blue","0","1","1"
"1013001","1013001","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Event_Benediction_Red.WE_Slot_Event_Benediction_Red","0","1","1"
"1013002","1013002","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_Slot_Event_Benediction_Yellow.WE_Slot_Event_Benediction_Yellow","0","1","1"
"1020022","1020022","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_AutoBtn_Release.WE_AutoBtn_Release_C","Ani_Contens_MenuSlot_Newflash","1","1"
"1020023","1020023","WidgetBlueprint'/Game/UI/UMGBP/Effect/WE_Release/WE_AutoBtn_Working.WE_AutoBtn_Working_C","Ani_Meditation_On","1","1"
