"Name","EdID","StageID","StageSort","StageNameID","StageNoteID","LevelType","LevelValue","RecommendedPerson","DirectWarpType","ArrivalLocation","StageThumbnail","EventNoticeID","EventThumbnail","EventDetail","EventDetailInfo","EventDataID","BossMonsterID","BossGenType","CombatPowerType"
"1","1","200022010","1","442001","3210001","0","18","2","1","30101","430026","3210001","640119","0","1","121010201","121010201","1","1"
"2","2","200022020","2","442002","3210002","0","21","2","1","30201","430018","3210002","640184","0","1","121011202","121011202","1","1"
"3","3","200022021","3","442003","3210003","0","23","2","1","30301","430019","3210003","640183","0","1","121012202","121012202","1","1"
"4","4","200022030","4","442004","3210004","0","26","2","1","30401","430020","3210004","640254","0","1","121013401","121013401","1","1"
"5","5","200022031","5","442005","3210005","0","28","2","1","30501","430021","3210005","640182","0","1","121014301","121014301","1","1"
"6","6","200022040","6","442006","3210006","0","31","2","1","30601","430023","3210006","640204","0","1","121015401","121015401","1","1"
"7","7","200022041","7","442007","3210007","0","33","2","1","30701","430024","3210007","640242","0","1","121016501","121016501","1","1"
"8","8","200022042","8","442008","3210008","0","35","2","1","30801","430025","3210008","640111","0","1","121017501","121017501","1","1"
"9","9","200022110","9","442023","3210023","0","42","2","1","32301","430049","3210023","640146","0","1","121029301","121032301","1","1"
"10","10","200022050","10","442009","3210009","0","48","2","1","30901","430028","3210009","640188","0","1","121018501","121018501","1","1"
"11","11","200022051","11","442010","3210010","0","50","2","1","31001","430027","3210010","640243","0","1","121019501","121019501","1","1"
"12","12","200022070","12","442012","3210012","0","57","2","1","31201","430013","3210012","640146","0","1","121021501","121021501","1","1"
"13","13","200022071","13","442013","3210013","0","59","2","1","31301","430014","3210013","640149","0","1","121022501","121022501","1","1"
"14","14","200022072","14","442014","3210014","0","61","2","1","31401","430015","3210014","640242","0","1","121023501","121023501","1","1"
"15","15","200022080","15","442015","3210015","0","65","2","1","31501","430016","3210015","640256","0","1","121024501","121024501","1","1"
"16","16","200022081","16","442016","3210016","0","67","2","1","31601","430017","3210016","640205","0","1","121025501","121025501","1","1"
"17","17","200022120","17","442024","3210024","0","71","2","1","32401","430050","3210024","640161","0","1","121030301","121033301","1","1"
"18","18","200022100","18","442020","3210020","0","77","2","1","32001","430046","3210020","640106","0","1","121029301","121029301","1","1"
"19","19","200022101","19","442021","3210021","0","79","2","1","32101","430047","3210021","640242","0","1","121030301","121030301","1","1"
"20","20","200022102","20","442022","3210022","0","81","2","1","32201","430048","3210022","640154","0","1","121031301","121031301","1","1"
"21","21","200022130","21","442025","3210025","0","86","2","1","32501","430051","3210025","640174","0","1","121031301","121034301","1","1"
"22","22","200022090","22","442017","3210017","0","91","2","1","31701","430043","3210017","640201","0","1","121026501","121026501","1","1"
"23","23","200022091","23","442018","3210018","0","93","2","1","31801","430044","3210018","640248","0","1","121027501","121027501","1","1"
"24","24","200022092","24","442019","3210019","0","96","2","1","31901","430045","3210019","640174","0","1","121028501","121028501","1","1"
