"Name","Id","EventType","TimeAble","TimeLinkData","StartDate","EndDate","LinkDataTableName","LinkDataId"
"3","3","4","1","0","2020-12-15 13:00:00","2021-01-06 00:00:00","3","(9000)"
"5","5","4","1","0","2020-12-15 13:00:00","2021-02-24 00:00:00","3","(9001)"
"6","6","4","1","0","2020-12-15 13:00:00","2021-02-24 00:00:00","3","(9002)"
"8","8","4","1","0","2020-12-15 13:00:00","2021-03-17 00:00:00","3","(9010)"
"9","9","4","1","0","2020-12-15 13:00:00","2021-03-17 00:00:00","3","(9011)"
"10","10","4","1","0","2020-12-15 13:00:00","2021-04-30 23:59:59","3","(9012)"
"11","11","4","1","0","2020-12-15 13:00:00","2021-04-30 23:59:59","3","(9013)"
"13","13","4","1","0","2020-12-15 13:00:00","2021-05-18 00:00:00","3","(9014)"
"14","14","4","1","0","2020-12-15 13:00:00","2121-05-18 00:00:00","3","(6001)"
"15","15","4","1","0","2020-12-15 13:00:00","2121-05-18 00:00:00","3","(6002)"
"16","16","5","1","0","2021-05-05 00:00:01","2022-05-04 23:59:59","0","(0)"
"17","17","4","1","0","2021-05-05 00:00:01","2021-06-01 23:59:59","3","(9015)"
"18","18","4","1","0","2021-05-05 00:00:01","2021-06-15 23:59:59","3","(9016)"
"19","19","6","0","0","0","0","2","(10004)"
"21","21","4","1","0","2020-12-15 13:00:00","2021-07-13 23:59:59","3","(9017)"
"22","22","4","1","0","2020-12-15 13:00:00","2021-07-13 23:59:59","3","(9018)"
"23","23","4","1","0","2020-12-15 13:00:00","2021-07-20 23:59:59","3","(9019)"
"24","24","3","1","0","2020-12-15 13:00:00","2021-12-13 15:59:59","2","(10006)"
"25","25","4","1","0","2020-12-15 13:00:00","2021-12-27 15:59:59","3","(9020)"
"26","26","4","1","0","2020-12-15 13:00:00","2021-12-20 15:59:59","3","(9021)"
"27","27","3","1","0","2021-12-27 15:59:59","2022-01-10 15:59:59","2","(10007)"
"28","28","4","1","0","2021-12-27 15:59:59","2022-01-17 15:59:59","3","(9022)"
"29","29","4","1","0","2021-12-20 15:59:59","2022-01-17 15:59:59","3","(9023)"
"30","30","4","1","0","2021-12-20 15:59:59","2022-01-17 15:59:59","3","(9024)"
"31","31","4","1","0","2022-01-01 15:59:59","2222-05-18 00:00:00","3","(5070)"
"32","32","3","1","0","2022-06-01 15:59:59","2022-06-27 15:59:59","2","(10008)"
"33","33","4","1","0","2022-06-01 15:59:59","2022-07-04 15:59:59","3","(9025)"
"34","34","3","1","0","2022-08-01 15:59:59","2022-09-05 15:59:59","2","(10009)"
"35","35","4","1","0","2022-08-01 15:59:59","2022-09-12 15:59:59","3","(9026)"
"46","46","7","0","101","0","0","2","(10015,10016)"
"36","36","3","1","0","2022-11-01 15:59:59","2023-01-09 15:59:59","2","(10010)"
"37","37","4","1","0","2022-11-01 15:59:59","2023-01-16 15:59:59","3","(9027)"
"38","38","3","1","0","2022-11-01 15:59:59","2023-02-20 15:59:59","2","(10011)"
"39","39","4","1","0","2022-11-01 15:59:59","2023-02-27 15:59:59","3","(9028)"
"40","40","3","1","0","2022-11-01 15:59:59","2023-03-20 15:59:59","2","(10012)"
"41","41","4","1","0","2022-11-01 15:59:59","2023-03-27 15:59:59","3","(9029)"
"42","42","3","1","0","2022-11-01 15:59:59","2023-05-01 15:59:59","2","(10013)"
"43","43","4","1","0","2022-11-01 15:59:59","2023-05-08 15:59:59","3","(9030)"
"44","44","3","1","0","2022-11-01 15:59:59","2023-06-26 15:59:59","2","(10017)"
"45","45","4","1","0","2022-11-01 15:59:59","2023-07-03 15:59:59","3","(9031)"
"47","47","3","1","0","2022-11-01 15:59:59","2023-07-10 15:59:59","2","(10018)"
"48","48","4","1","0","2023-07-03 15:59:59","2023-07-17 15:59:59","3","(9032)"
"49","49","3","1","0","2022-11-01 15:59:59","2023-07-24 15:59:59","2","(10019)"
"50","50","4","1","0","2023-07-10 15:59:59","2023-07-31 15:59:59","3","(9033)"
"51","51","3","1","0","2022-11-01 15:59:59","2023-09-04 15:59:59","2","(10020)"
"52","52","4","1","0","2022-11-01 15:59:59","2023-09-11 15:59:59","3","(9034)"
"53","53","3","1","0","2023-10-16 16:00:01","2023-10-30 15:59:59","2","(10021)"
"54","54","3","1","0","2023-10-30 16:00:01","2023-11-13 15:59:59","2","(10022)"
"55","55","4","1","0","2023-10-30 16:00:01","2023-11-20 15:59:59","3","(9035)"
