"Name","TimelineID","TimelineType","TimelineGroupID","WeekCheck","GenSun","GenMon","GenTue","GenWed","GenThu","GenFri","GenSat","StartMO","StartDD","StartHH","StartMI","DeleteDelayTime","EndMO","EndDD","EndHH","EndMI","Days_1StartTime","Days_1EndTime","Days_2StartTime","Days_2EndTime","Days_3StartTime","Days_3EndTime","Days_4StartTime","Days_4EndTime","Days_5StartTime","Days_5EndTime","Days_6StartTime","Days_6EndTime","Days_7StartTime","Days_7EndTime","Iterate","AlarmMessage","AlarmRangeValue","AlarmWidget","AlarmWidget_Message1","AlarmWidget_Message2","AlarmWidget_Message3","SpawnBossID","SpawnBossStage","SpawnBossPosID","MonsterSpawnChance"
"1","1","1","0","0","0","0","0","0","0","0","0","7","6","10","0","0","7","6","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000"
"2","2","1","0","0","0","0","0","0","0","0","0","7","16","13","0","0","7","16","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10000"
"3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0:00","1:00","0:00","1:00","0:00","1:00","0:00","1:00","0:00","1:00","0:00","1:00","0:00","1:00","1","0","0","0","0","0","0","0","0","0","10000"
"4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1:00","2:00","1:00","2:00","1:00","2:00","1:00","2:00","1:00","2:00","1:00","2:00","1:00","2:00","1","0","0","0","0","0","0","0","0","0","10000"
"5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2:00","3:00","2:00","3:00","2:00","3:00","2:00","3:00","2:00","3:00","2:00","3:00","2:00","3:00","1","0","0","0","0","0","0","0","0","0","10000"
"6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3:00","4:00","3:00","4:00","3:00","4:00","3:00","4:00","3:00","4:00","3:00","4:00","3:00","4:00","1","0","0","0","0","0","0","0","0","0","10000"
"7","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4:00","5:00","4:00","5:00","4:00","5:00","4:00","5:00","4:00","5:00","4:00","5:00","4:00","5:00","1","0","0","0","0","0","0","0","0","0","10000"
"8","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5:00","6:00","5:00","6:00","5:00","6:00","5:00","6:00","5:00","6:00","5:00","6:00","5:00","6:00","1","0","0","0","0","0","0","0","0","0","10000"
"9","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6:00","7:00","6:00","7:00","6:00","7:00","6:00","7:00","6:00","7:00","6:00","7:00","6:00","7:00","1","0","0","0","0","0","0","0","0","0","10000"
"10","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7:00","8:00","7:00","8:00","7:00","8:00","7:00","8:00","7:00","8:00","7:00","8:00","7:00","8:00","1","0","0","0","0","0","0","0","0","0","10000"
"11","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8:00","9:00","8:00","9:00","8:00","9:00","8:00","9:00","8:00","9:00","8:00","9:00","8:00","9:00","1","0","0","0","0","0","0","0","0","0","10000"
"12","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9:00","10:00","9:00","10:00","9:00","10:00","9:00","10:00","9:00","10:00","9:00","10:00","9:00","10:00","1","0","0","0","0","0","0","0","0","0","10000"
"13","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10:00","11:00","10:00","11:00","10:00","11:00","10:00","11:00","10:00","11:00","10:00","11:00","10:00","11:00","1","0","0","0","0","0","0","0","0","0","10000"
"14","14","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11:00","12:00","11:00","12:00","11:00","12:00","11:00","12:00","11:00","12:00","11:00","12:00","11:00","12:00","1","0","0","0","0","0","0","0","0","0","10000"
"15","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12:00","13:00","12:00","13:00","12:00","13:00","12:00","13:00","12:00","13:00","12:00","13:00","12:00","13:00","1","0","0","0","0","0","0","0","0","0","10000"
"16","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13:00","14:00","13:00","14:00","13:00","14:00","13:00","14:00","13:00","14:00","13:00","14:00","13:00","14:00","1","0","0","0","0","0","0","0","0","0","10000"
"17","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14:00","15:00","14:00","15:00","14:00","15:00","14:00","15:00","14:00","15:00","14:00","15:00","14:00","15:00","1","0","0","0","0","0","0","0","0","0","10000"
"18","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15:00","16:00","15:00","16:00","15:00","16:00","15:00","16:00","15:00","16:00","15:00","16:00","15:00","16:00","1","0","0","0","0","0","0","0","0","0","10000"
"19","19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16:00","17:00","16:00","17:00","16:00","17:00","16:00","17:00","16:00","17:00","16:00","17:00","16:00","17:00","1","0","0","0","0","0","0","0","0","0","10000"
"20","20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17:00","18:00","17:00","18:00","17:00","18:00","17:00","18:00","17:00","18:00","17:00","18:00","17:00","18:00","1","0","0","0","0","0","0","0","0","0","10000"
"21","21","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18:00","19:00","18:00","19:00","18:00","19:00","18:00","19:00","18:00","19:00","18:00","19:00","18:00","19:00","1","0","0","0","0","0","0","0","0","0","10000"
