"Name","ItemId","GroupId"
"200101018","200101018","1"
"200102018","200102018","1"
"200103018","200103018","1"
"200104018","200104018","1"
"200105018","200105018","1"
"200101019","200101019","1"
"200102019","200102019","1"
"200103019","200103019","1"
"200104019","200104019","1"
"200105019","200105019","1"
"301101018","301101018","1"
"301102018","301102018","1"
"301103018","301103018","1"
"301104018","301104018","1"
"301105018","301105018","1"
"301101019","301101019","1"
"301102019","301102019","1"
"301103019","301103019","1"
"301104019","301104019","1"
"301105019","301105019","1"
"302101018","302101018","1"
"302102018","302102018","1"
"302103018","302103018","1"
"302104018","302104018","1"
"302105018","302105018","1"
"302101019","302101019","1"
"302102019","302102019","1"
"302103019","302103019","1"
"302104019","302104019","1"
"302105019","302105019","1"
"303101018","303101018","1"
"303102018","303102018","1"
"303103018","303103018","1"
"303104018","303104018","1"
"303105018","303105018","1"
"303101019","303101019","1"
"303102019","303102019","1"
"303103019","303103019","1"
"303104019","303104019","1"
"303105019","303105019","1"
"304101018","304101018","1"
"304102018","304102018","1"
"304103018","304103018","1"
"304104018","304104018","1"
"304105018","304105018","1"
"304101019","304101019","1"
"304102019","304102019","1"
"304103019","304103019","1"
"304104019","304104019","1"
"304105019","304105019","1"
"401101018","401101018","1"
"401101019","401101019","1"
"402101018","402101018","1"
"402101019","402101019","1"
"403101018","403101018","1"
"403101019","403101019","1"
"801100004","801100004","2"
"802100004","802100004","2"
"803100004","803100004","2"
"804100004","804100004","2"
"805100004","805100004","2"
"806100004","806100004","2"
"807100004","807100004","2"
"200101026","200101026","3"
"200102026","200102026","3"
"200103026","200103026","3"
"200104026","200104026","3"
"200105026","200105026","3"
"301101026","301101026","3"
"301102026","301102026","3"
"301103026","301103026","3"
"301104026","301104026","3"
"301105026","301105026","3"
"302101026","302101026","3"
"302102026","302102026","3"
"302103026","302103026","3"
"302104026","302104026","3"
"302105026","302105026","3"
"303101026","303101026","3"
"303102026","303102026","3"
"303103026","303103026","3"
"303104026","303104026","3"
"303105026","303105026","3"
"304101026","304101026","3"
"304102026","304102026","3"
"304103026","304103026","3"
"304104026","304104026","3"
"304105026","304105026","3"
"401101026","401101026","3"
"403101026","403101026","3"
"402101026","402101026","3"
"801100005","801100005","4"
"802100005","802100005","4"
"803100005","803100005","4"
"804100005","804100005","4"
"805100005","805100005","4"
"806100005","806100005","4"
"807100005","807100005","4"
"210110049","210110049","5"
"210110050","210110050","5"
"210110051","210110051","5"
"210110052","210110052","5"
"210110053","210110053","5"
"210110054","210110054","5"
"210110055","210110055","5"
"210110056","210110056","5"
"210110057","210110057","5"
"210110058","210110058","5"
"210110059","210110059","5"
"210110060","210110060","5"
"210110061","210110061","5"
"210110062","210110062","5"
"210110063","210110063","5"
"210110064","210110064","5"
"210110065","210110065","5"
"210110066","210110066","5"
"210110067","210110067","5"
"210110068","210110068","5"
"210110069","210110069","5"
"210110070","210110070","5"
"210110071","210110071","5"
"210110072","210110072","5"
"210110073","210110073","6"
"210110074","210110074","6"
"210110075","210110075","6"
"210110076","210110076","6"
"210110077","210110077","6"
"210110078","210110078","6"
"210110079","210110079","6"
"210110080","210110080","6"
"210110081","210110081","6"
"210110082","210110082","6"
"210110083","210110083","6"
"210110084","210110084","6"
"210110085","210110085","6"
"210110086","210110086","6"
"210110087","210110087","6"
"210110088","210110088","6"
"210110089","210110089","6"
"210110090","210110090","6"
"210110091","210110091","6"
"210110092","210110092","6"
"210110093","210110093","6"
"210110094","210110094","6"
"210110095","210110095","6"
"210110096","210110096","6"
