"Name","FameId","Level","ReqExp"
"1001","1001","1","100"
"1002","1002","2","200"
"1003","1003","3","400"
"1004","1004","4","600"
"1005","1005","5","800"
"1006","1006","6","1000"
"1007","1007","7","1200"
"1008","1008","8","1400"
"1009","1009","9","1600"
"1010","1010","10","1800"
"1011","1011","11","2000"
"1012","1012","12","2200"
"1013","1013","13","2400"
"1014","1014","14","2600"
"1015","1015","15","2800"
"1016","1016","16","3000"
"1017","1017","17","3200"
"1018","1018","18","3400"
"1019","1019","19","3600"
"1020","1020","20","3800"
"1021","1021","21","4000"
"1022","1022","22","4200"
"1023","1023","23","4400"
"1024","1024","24","4600"
"1025","1025","25","4800"
"1026","1026","26","5000"
"1027","1027","27","5200"
"1028","1028","28","5400"
"1029","1029","29","5600"
"1030","1030","30","5800"
