"Name","GroupId","ListGroupId","GroupRate","기존","변경","확률 차이"
"1","1000001","10000001","949990","969990","949990","-2.000%"
"2","1000001","10000002","49000","29000","49000","2.000%"
"3","1000001","10000003","1000","1000","1000","0.000%"
"4","2000001","20000001","949990","969990","949990","-2.000%"
"5","2000001","20000002","49000","29000","49000","2.000%"
"6","2000001","20000003","1000","1000","1000","0.000%"
"7","3000001","30000001","949990","969990","949990","-2.000%"
"8","3000001","30000002","49000","29000","49000","2.000%"
"9","3000001","30000003","1000","1000","1000","0.000%"
"10","4000001","40000001","949990","969990","949990","-2.000%"
"11","4000001","40000002","49000","29000","49000","2.000%"
"12","4000001","40000003","1000","1000","1000","0.000%"
"13","5000001","50000001","949990","969990","949990","-2.000%"
"14","5000001","50000002","49000","29000","49000","2.000%"
"15","5000001","50000003","1000","1000","1000","0.000%"
"16","6000001","60000001","949990","969990","949990","-2.000%"
"17","6000001","60000002","49000","29000","49000","2.000%"
"18","6000001","60000003","1000","1000","1000","0.000%"
"19","1100001","11000001","950000","970000","950000","-2.000%"
"20","1100001","11000002","49000","29000","49000","2.000%"
"21","1100001","11000003","1000","1000","1000","0.000%"
"22","1100002","11100001","950000","970000","950000","-2.000%"
"23","1100002","11100002","49000","29000","49000","2.000%"
"24","1100002","11100003","1000","1000","1000","0.000%"
"25","1100003","11200001","950000","970000","950000","-2.000%"
"26","1100003","11200002","49000","29000","49000","2.000%"
"27","1100003","11200003","1000","1000","1000","0.000%"
"28","1100004","12000001","950000","970000","950000","-2.000%"
"29","1100004","12000002","49000","29000","49000","2.000%"
"30","1100004","12000003","1000","1000","1000","0.000%"
"31","1100005","12100001","950000","970000","950000","-2.000%"
"32","1100005","12100002","49000","29000","49000","2.000%"
"33","1100005","12100003","1000","1000","1000","0.000%"
"34","1100006","12200001","950000","970000","950000","-2.000%"
"35","1100006","12200002","49000","29000","49000","2.000%"
"36","1100006","12200003","1000","1000","1000","0.000%"
"37","1100007","13000001","950000","970000","950000","-2.000%"
"38","1100007","13000002","49000","29000","49000","2.000%"
"39","1100007","13000003","1000","1000","1000","0.000%"
"40","1100008","13100001","950000","970000","950000","-2.000%"
"41","1100008","13100002","49000","29000","49000","2.000%"
"42","1100008","13100003","1000","1000","1000","0.000%"
"43","1100009","13200001","950000","970000","950000","-2.000%"
"44","1100009","13200002","49000","29000","49000","2.000%"
"45","1100009","13200003","1000","1000","1000","0.000%"
"46","1200000","21000000","1000000","0","0","0.000%"
"47","1200001","22000000","1000000","0","0","0.000%"
"48","1200002","23000000","950000","0","0","0.000%"
"49","1200002","23000001","50000","0","0","0.000%"
"50","1200003","23100000","950000","0","0","0.000%"
"51","1200003","23100001","50000","0","0","0.000%"
"52","1200004","24000000","950000","0","0","0.000%"
"53","1200004","24000001","50000","0","0","0.000%"
"54","1200010","25000001","1000000","0","0","0.000%"
"55","1200011","25000002","1000000","0","0","0.000%"
"56","1200012","25000003","1000000","0","0","0.000%"
"57","1200013","25000004","1000000","0","0","0.000%"
"58","1200014","25000005","1000000","0","0","0.000%"
"59","1200005","23000002","1000000","0","0","0.000%"
"60","1200006","23100002","1000000","0","0","0.000%"
"61","1200007","24000002","1000000","0","0","0.000%"
"78","1400020","27000020","1000000","0","0","0.000%"
"79","1400021","27000021","1000000","0","0","0.000%"
"80","1400022","27000022","1000000","0","0","0.000%"
"81","1400023","27000023","1000000","0","0","0.000%"
"82","1500001","28000001","1000000","0","0","0.000%"
"83","1500002","28000002","1000000","0","0","0.000%"
"84","1500003","28000003","1000000","0","0","0.000%"
"85","1500004","28000004","1000000","0","0","0.000%"
"86","1500005","28000005","1000000","0","0","0.000%"
"87","1500006","28000006","1000000","0","0","0.000%"
"88","1600001","29000001","949990","969990","949990","-2.000%"
"89","1600001","29000002","49000","29000","49000","2.000%"
"90","1600001","29000003","1000","1000","1000","0.000%"
"91","1600002","29000004","1000000","0","0","0.000%"
"92","7000001","70000001","949990","969990","949990","-2.000%"
"93","7000001","70000002","49000","29000","49000","2.000%"
"94","7000001","70000003","1000","1000","1000","0.000%"
"95","8000001","80000001","949990","969990","949990","-2.000%"
"96","8000001","80000002","49000","29000","49000","2.000%"
"97","8000001","80000003","1000","1000","1000","0.000%"
"98","1500007","70000003","1000000","0","0","0.000%"
"99","1500008","80000003","1000000","0","0","0.000%"
"100","9000001","90000001","900000","0","0","0.000%"
"101","9000001","90000002","99000","0","0","0.000%"
"102","9000001","90000003","990","0","0","0.000%"
"103","9000001","90000004","10","0","0","0.000%"
"104","9100001","91000001","900000","0","0","0.000%"
"105","9100001","91000002","99000","0","0","0.000%"
"106","9100001","91000003","990","0","0","0.000%"
"107","9100001","91000004","10","0","0","0.000%"
"108","9200001","92000001","900000","0","0","0.000%"
"109","9200001","92000002","99000","0","0","0.000%"
"110","9200001","92000003","1000","0","0","0.000%"
"111","9300001","93000001","949990","969990","949990","-2.000%"
"112","9300001","93000002","49000","29000","49000","2.000%"
"113","9300001","93000003","1000","1000","1000","0.000%"
"114","9400001","94000001","949980","969980","949980","-2.000%"
"115","9400001","94000002","49000","29000","49000","2.000%"
"116","9400001","94000003","1000","1000","1000","0.000%"
"117","9400001","94000004","20","20","20","0.000%"
"118","9500001","95000001","949990","969990","949990","-2.000%"
"119","9500001","95000002","49000","29000","49000","2.000%"
"120","9500001","95000003","1000","1000","1000","0.000%"
"121","1500009","95000003","1000000","0","0","0"
"122","9000002","90000003","1000000","0","0","0"
"123","9100002","91000003","1000000","0","0","0"
"124","9200002","92000003","1000000","0","0","0"
"125","9300002","93000003","1000000","0","0","0"
"126","1000001","10000004","10","0","0","0"
"127","2000001","20000004","10","0","0","0"
"128","3000001","30000004","10","0","0","0"
"129","5000001","50000004","10","0","0","0"
"130","7000001","70000004","10","0","0","0"
"131","8000001","80000004","10","0","0","0"
"132","9500001","95000004","10","0","0","0"
"133","4000001","40000004","10","0","0","0"
"134","6000001","60000004","10","0","0","0"
"135","1600001","29000005","10","0","0","0"
"136","9300001","93000004","10","0","0","0"
"137","9600001","93000005","1000000","0","0","0"
