"Name","Id","EventId","GachaType","NameId","BuyItemId","BuyItemValue","MoneyId","MoneyValue","BuyItemId_Many","BuyItemValue_Many","MoneyValue_Many","GroupId","GroupId_UIList","GetValue","CountType","Count","Time","DayMaxValue","MileageValue","MileageValue_Many","EventMileageValue","EventMileageValue_Many","EventMileageCost","EventMileageReward","EventGacha_DailyCount","Level_Limited","DirectionType","SubType","BG_OnOff","BG_PointGetGrade","BG_PointGetOnce","BG_PointResetType","BG_PointResetGrade","BG_PointChangeCount","BG_SummonCountMax","BG_GroupId","BG_PointPlusCount","BG_DirectionType","BG_TitleId","BG_NameId","BG_ToolTipId","EventContentsId","PetId","EndTime","Fixed_OnOff","StartDate","EndDate","LimitType","CountValue","BpType","Description","BuyItemId_100","Gacha_stop_Item","Gacha_stop_Grade","EventRateUP","ResultGradeOnOff","ResultGradeMin","ResultGradeMax"
"10001","10001","0","3","1046510","602200601","1","4","120","602200601","10","1200","1000001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","3","0","1","3","1","1","4","1000","100","1500001","0","3","2500009","1046510","128","0","0","0","0","0","0","0","0","0","0","602200601","0","0","0","1","2","5"
"10002","10002","0","4","1046511","602200602","1","4","120","602200602","10","1200","2000001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","3","0","1","3","1","1","4","1000","100","1500003","0","3","2500009","1046511","128","0","0","0","0","0","0","0","0","0","0","602200602","0","0","0","1","2","5"
"10003","10003","0","2","1046512","602200603","1","4","120","602200603","10","1200","3000001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","3","0","1","3","1","1","4","1000","100","1500002","0","3","2500009","1046512","128","0","0","0","0","0","0","0","0","0","0","602200603","0","0","0","1","2","5"
"10004","10004","0","0","1046513","602200604","1","4","120","602200604","10","1200","4000001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","1","0","1","3","1","1","4","1000","100","1500004","0","1","2500009","1046513","128","0","0","0","0","0","0","0","0","0","0","602200604","0","0","0","1","2","5"
"10005","10005","0","1","1046514","602200605","1","4","120","602200605","10","1200","5000001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","2","0","1","3","1","1","4","1000","100","1500005","0","2","2500009","1046514","128","0","0","0","0","0","0","0","0","0","0","602200605","0","0","0","1","2","5"
"10006","10006","0","5","1046683","602200606","1","4","100","602200606","10","1000","6000001","0","1","0","0","0","999999999","200","2000","0","0","0","0","0","0","3","0","1","3","1","1","4","1000","100","1500006","0","3","2500009","1046683","128","0","0","0","0","0","0","0","0","0","0","602200606","0","0","0","1","2","5"
"10007","10007","0","100","1046605","0","0","0","0","0","0","0","1100001","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046605","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10008","10008","0","101","1046606","0","0","0","0","0","0","0","1100002","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046606","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10009","10009","0","102","1046607","0","0","0","0","0","0","0","1100003","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046607","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10010","10010","0","103","1046614","0","0","0","0","0","0","0","1100004","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","2500009","1046614","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10011","10011","0","104","1046615","0","0","0","0","0","0","0","1100005","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","2500009","1046615","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10012","10012","0","105","1046616","0","0","0","0","0","0","0","1100006","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","2500009","1046616","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10013","10013","0","106","1046617","0","0","0","0","0","0","0","1100007","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","2","2500009","1046617","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10014","10014","0","107","1046618","0","0","0","0","0","0","0","1100008","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","2","2500009","1046618","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10015","10015","0","108","1046619","0","0","0","0","0","0","0","1100009","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","2","2500009","1046619","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10022","10022","0","200","1046713","0","0","0","0","0","0","0","1200000","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","2500009","1046713","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10023","10023","0","201","1046714","0","0","0","0","0","0","0","1200001","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","2","2500009","1046714","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10024","10024","0","202","1046715","0","0","0","0","0","0","0","1200002","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046715","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10025","10025","0","203","1046716","0","0","0","0","0","0","0","1200003","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046716","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10026","10026","0","204","1046717","0","0","0","0","0","0","0","1200004","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046717","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10100","10100","0","205","1046717","0","0","0","0","0","0","0","1200010","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046717","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10101","10101","0","206","1046717","0","0","0","0","0","0","0","1200011","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046717","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10102","10102","0","207","1046717","0","0","0","0","0","0","0","1200012","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046717","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10103","10103","0","208","1046717","0","0","0","0","0","0","0","1200013","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","2500009","1046717","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10104","10104","0","209","1046717","0","0","0","0","0","0","0","1200014","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","2","2500009","1046717","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10027","10027","0","210","1046717","0","0","0","0","0","0","0","1200005","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046717","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10028","10028","0","211","1046717","0","0","0","0","0","0","0","1200006","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046717","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
