"Name","ListGroupId","ItemId","Value","ItemRate"
"10001","10000001","(903200001,903200001,903200001,903200001,903200001,903200001)","1","1000000"
"10002","10000002","(903200002,903200002,903200002,903200002,903200002,903200002)","1","1000000"
"10003","10000003","(903200003,903200003,903200003,903200003,903200003,903200003)","1","1000000"
"10004","20000001","(904200001,904200001,904200001,904200001,904200001,904200001)","1","1000000"
"10005","20000002","(904200002,904200002,904200002,904200002,904200002,904200002)","1","1000000"
"10006","20000003","(904200003,904200003,904200003,904200003,904200003,904200003)","1","1000000"
"10007","30000001","(905200001,905200001,905200001,905200001,905200001,905200001)","1","1000000"
"10008","30000002","(905200002,905200002,905200002,905200002,905200002,905200002)","1","1000000"
"10009","30000003","(905200003,905200003,905200003,905200003,905200003,905200003)","1","1000000"
"10010","40000001","(1701200001,1701200001,1701200001,1701200001,1701200001,1701200001)","1","83334"
"10011","40000001","(1701200002,1701200002,1701200002,1701200002,1701200002,1701200002)","1","83334"
"10012","40000001","(1701200003,1701200003,1701200003,1701200003,1701200003,1701200003)","1","83334"
"10013","40000001","(1701200005,1701200005,1701200005,1701200005,1701200005,1701200005)","1","83334"
"10014","40000001","(1701200006,1701200006,1701200006,1701200006,1701200006,1701200006)","1","83333"
"10015","40000001","(1701200008,1701200008,1701200008,1701200008,1701200008,1701200008)","1","83333"
"10016","40000001","(1701200010,1701200010,1701200010,1701200010,1701200010,1701200010)","1","83333"
"10017","40000001","(1701200011,1701200011,1701200011,1701200011,1701200011,1701200011)","1","83333"
"10018","40000001","(1701200014,1701200014,1701200014,1701200014,1701200014,1701200014)","1","83333"
"10019","40000001","(1701200016,1701200016,1701200016,1701200016,1701200016,1701200016)","1","83333"
"10020","40000001","(1701200018,1701200018,1701200018,1701200018,1701200018,1701200018)","1","83333"
"10021","40000001","(1701200023,1701200023,1701200023,1701200023,1701200023,1701200023)","1","83333"
"10022","40000002","(1701200004,1701200004,1701200004,1701200004,1701200004,1701200004)","1","76924"
"10023","40000002","(1701200007,1701200007,1701200007,1701200007,1701200007,1701200007)","1","76923"
"10024","40000002","(1701200009,1701200009,1701200009,1701200009,1701200009,1701200009)","1","76923"
"10025","40000002","(1701200012,1701200012,1701200012,1701200012,1701200012,1701200012)","1","76923"
"10026","40000002","(1701200013,1701200013,1701200013,1701200013,1701200013,1701200013)","1","76923"
"10027","40000002","(1701200015,1701200015,1701200015,1701200015,1701200015,1701200015)","1","76923"
"10028","40000002","(1701200019,1701200019,1701200019,1701200019,1701200019,1701200019)","1","76923"
"10029","40000002","(1701200020,1701200020,1701200020,1701200020,1701200020,1701200020)","1","76923"
"10030","40000002","(1701200022,1701200022,1701200022,1701200022,1701200022,1701200022)","1","76923"
"10031","40000002","(1701200025,1701200025,1701200025,1701200025,1701200025,1701200025)","1","76923"
"10032","40000002","(1701200030,1701200030,1701200030,1701200030,1701200030,1701200030)","1","76923"
"10033","40000002","(1701200032,1701200032,1701200032,1701200032,1701200032,1701200032)","1","76923"
"10034","40000002","(1701200033,1701200033,1701200033,1701200033,1701200033,1701200033)","1","76923"
"10035","40000003","(1701200021,1701200021,1701200021,1701200021,1701200021,1701200021)","1","43479"
"10036","40000003","(1701200026,1701200026,1701200026,1701200026,1701200026,1701200026)","1","43479"
"10037","40000003","(1701200027,1701200027,1701200027,1701200027,1701200027,1701200027)","1","43479"
"10038","40000003","(1701200028,1701200028,1701200028,1701200028,1701200028,1701200028)","1","43479"
"10039","40000003","(1701200029,1701200029,1701200029,1701200029,1701200029,1701200029)","1","43479"
"10040","40000003","(1701200034,1701200034,1701200034,1701200034,1701200034,1701200034)","1","43479"
"10041","40000003","(1701200035,1701200035,1701200035,1701200035,1701200035,1701200035)","1","43478"
"10042","40000003","(1701200037,1701200037,1701200037,1701200037,1701200037,1701200037)","1","43478"
"10043","40000003","(1701200038,1701200038,1701200038,1701200038,1701200038,1701200038)","1","43478"
"10044","40000003","(1701200039,1701200039,1701200039,1701200039,1701200039,1701200039)","1","43478"
"10045","40000003","(1701200044,1701200044,1701200044,1701200044,1701200044,1701200044)","1","43478"
"10046","40000003","(1701200045,1701200045,1701200045,1701200045,1701200045,1701200045)","1","43478"
"10047","40000003","(1701200047,1701200047,1701200047,1701200047,1701200047,1701200047)","1","43478"
"10048","40000003","(1701200048,1701200048,1701200048,1701200048,1701200048,1701200048)","1","43478"
