"Name","KeyId","KeyType","NameSid","DefaultKey","ActionName","DeadValleyType","OpenContentsType","UIOpened","OpenQuestId","DisableStageType","DisableInstanceDungeon","DisableKeyId"
"1","1040001","1","1040001","(""W"")","MoveUp","1","0","(101)","0","(0)","0","1"
"2","1040005","1","1040005","(""LeftShift"")","Avoid","1","150","(101)","0","(0)","0","1"
"3","1040002","1","1040002","(""A"")","MoveLeft","1","0","(101)","0","(0)","0","1"
"4","1040006","1","1040006","(""SpaceBar"")","KeySpace","1","140","(101)","100001300","(0)","0","1"
"5","1040003","1","1040003","(""D"")","MoveRight","1","0","(101)","0","(0)","0","1"
"6","1040007","1","1040007","(""V"")","WallJump","1","142","(101)","100001950","(0)","0","1"
"7","1040004","1","1040004","(""S"")","MoveDown","1","0","(101)","0","(0)","0","1"
"8","1040008","1","1040008","(""G"")","Dash","1","143","(101)","101004800","(0)","0","1"
"9","1040009","2","1040009","(""One"")","Skill01","1","101","(101)","0","(0)","0","1"
"52","1040052","2","1040052","(""SkillExtendSlot01"")","SkillExtend01","1","0","(101)","0","(0)","0","1"
"11","1040010","2","1040010","(""Two"")","Skill02","1","102","(101)","0","(0)","0","1"
"53","1040053","2","1040053","(""SkillExtendSlot02"")","SkillExtend02","1","0","(101)","0","(0)","0","1"
"13","1040011","2","1040011","(""Three"")","Skill03","1","103","(101)","100000300","(0)","0","1"
"54","1040054","2","1040054","(""SkillExtendSlot03"")","SkillExtend03","1","0","(101)","100000300","(0)","0","1"
"15","1040012","2","1040012","(""Four"")","Skill04","1","104","(101)","100002350","(0)","0","1"
"55","1040055","2","1040055","(""SkillExtendSlot04"")","SkillExtend04","1","0","(101)","100002350","(0)","0","1"
"17","1040013","2","1040013","(""Five"")","Skill05","1","105","(101)","100007400","(0)","0","1"
"56","1040056","2","1040056","(""SkillExtendSlot05"")","SkillExtend05","1","0","(101)","100007400","(0)","0","1"
"19","1040014","2","1040014","(""Six"")","Skill06","1","106","(101)","100007400","(0)","0","1"
"57","1040057","2","1040057","(""SkillExtendSlot06"")","SkillExtend06","1","0","(101)","100007400","(0)","0","1"
"10","1040015","2","1040015","(""F"")","Attack","1","101","(101)","0","(0)","0","1"
"12","1040016","2","1040016","(""R"")","SpecialSkill","1","120","(101)","100002950","(0)","0","1"
"14","1040017","2","1040017","(""Tab"")","LockOn","1","0","(101)","100000040","(0)","0","1"
"16","1040018","2","1040018","(""Tilde"")","SkillDeckChange","1","1500","(101)","101000650","(0)","0","1"
"18","1040019","2","1040019","(""B"")","AutoBattle","1","132","(101)","100003900","(0)","0","1"
"20","1040020","2","1040020","(""N"")","AutoCollect","1","132","(101)","100003900","(0)","0","1"
"21","1040021","3","1040021","(""Eight"")","Quick01","0","0","(101)","0","(300,130)","0","1"
"22","1040024","3","1040024","(""Hyphen"")","SlotChange","0","0","(101)","101000650","(300,130)","0","1"
"23","1040022","3","1040022","(""Nine"")","Quick02","0","0","(101)","0","(300,130)","0","1"
"24","1040025","3","1040025","(""C"")","QuickSetting","0","0","(101)","101000650","(300,130)","0","1"
"25","1040023","3","1040023","(""Zero"")","Quick03","1","0","(101)","0","(0)","0","1"
"26","1040026","4","1040026","(""F1"")","MyInfo","0","260","(101,1000,1300,1900)","0","(300,130)","0","1"
"27","1040027","4","1040027","(""F2"")","Post","0","250","(101,1000,1300,1900)","0","(300,130)","0","1"
"28","1040028","4","1040028","(""F3"")","Event","0","300","(101,1000,1300,1900)","100002600","(300,130)","0","1"
"29","1040029","4","1040029","(""F4"")","Shop","0","3600","(101,1000,1300,1900)","0","(300,130)","0","1"
"30","1040030","4","1040030","(""F5"")","Guild","0","2700","(101,1000,1300,1900)","0","(300,130)","0","1"
"31","1040031","4","1040031","(""F6"")","Mission","0","2400","(101,1000,1300,1900)","101000770","(300,130)","0","1"
"32","1040032","4","1040032","(""F7"")","Equip","0","1000","(101,1000,1300,1900)","0","(300,130)","1","1"
"33","1040033","4","1040033","(""F8"")","Alarm","0","0","(101,1000,1300,1900)","0","(300,130)","0","1"
"34","1040034","4","1040034","(""F9"")","Menu","0","0","(101,1000,1300,1900)","0","(300,130)","0","1"
"35","1040035","5","1040035","(""F10"")","Map","1","0","(101,1000,1300,1900)","100000040","(0)","0","1"
"36","1040040","5","1040040","(""Q"")","Quest","0","0","(101,1000,1300,1900)","0","(300,130)","0","1"
"37","1040036","5","1040036","(""P"")","Party","0","230","(101,1000,1300,1900)","0","(300,130)","1","1"
"38","1040044","5","1040044","(""Enter"")","Chat","1","0","(101,1000,1300,1900)","0","(0)","0","1"
"39","1040041","5","1040041","(""Z"")","Camera","1","0","(101)","0","(0)","0","1"
"40","1040037","5","1040037","(""O"")","PartySearch","0","0","(101)","0","(300,130)","1","1"
"41","1040042","5","1040042","(""X"")","Ride","0","0","(101)","101013746","(300,130,103,110,130)","0","1"
"42","1040038","5","1040038","(""E"")","Act","1","0","(101)","0","(0)","0","1"
"43","1040043","0","1040043","(""Escape"")","DeviceBack","1","0","(0)","0","(0)","0","1"
"44","1040039","5","1040039","(""LeftAlt"")","KeyView","0","0","(101)","0","(300,130)","0","1"
"45","1040045","2","1040045","(""PageUp"")","PreviousTarget","1","0","(101)","0","(0)","0","1"
"46","1040046","2","1040046","(""PageDown"")","NextTarget","1","0","(101)","0","(0)","0","1"
"47","1040047","2","1040047","(""Comma"")","MagicStoneDeckChange","0","0","(101)","101001700","(300,130)","1","1"
"48","1040048","2","1040048","(""Period"")","PetDeckChange","0","0","(101)","100006650","(300,130)","1","1"
"58","1040058","2","1040058","(""Semicolon"")","MysticalPieceDeckChange","0","0","(101)","0","(300,130)","1","1"
"0","1040059","2","1040059","(""Apostrophe"")","MagicOrbDeckChange","0","0","(101)","0","(300,130)","1","1"
"49","1040049","2","1040049","(""H"")","PKModeChange","0","0","(101)","0","(300,130)","0","1"
"50","1040050","2","1040050","(""U"")","OnlyUserTargetChange","0","0","(101)","0","(300,130)","0","1"
"51","1040051","1","1040051","(""T"")","FastRun","1","0","(101)","101001100","(0)","0","1"
"60","1040060","2","1040060","(""LeftControl"",""One"")","AllDeckChange1","0","0","(101)","100006650","(300,130)","1","2"
"61","1040061","2","1040061","(""LeftControl"",""Two"")","AllDeckChange2","0","0","(101)","100006650","(300,130)","1","2"
"62","1040062","2","1040062","(""LeftControl"",""Three"")","AllDeckChange3","0","0","(101)","100006650","(300,130)","1","2"
"63","1040063","2","1040063","(""LeftControl"",""Four"")","AllDeckChange4","0","0","(101)","100006650","(300,130)","1","2"
"64","1040064","2","1040064","(""LeftControl"",""Five"")","AllDeckChange5","0","0","(101)","100006650","(300,130)","1","2"
"65","1040065","2","1040065","(""LeftControl"",""Six"")","AllDeckChange6","0","0","(101)","100006650","(300,130)","1","2"
"66","1040066","2","1040066","(""LeftControl"",""Seven"")","AllDeckChange7","0","0","(101)","100006650","(300,130)","1","2"
"67","1040067","2","1040067","(""LeftControl"",""Eight"")","AllDeckChange8","0","0","(101)","100006650","(300,130)","1","2"
"68","1040068","2","1040068","(""LeftControl"",""Nine"")","AllDeckChange9","0","0","(101)","100006650","(300,130)","1","2"
"69","1040069","2","1040069","(""LeftControl"",""Zero"")","AllDeckChange10","0","0","(101)","100006650","(300,130)","1","2"
