"UID","Name","GameOptionKey","DefaultSettingType","DefaultSettingValueCommon","DefaultSettingValuePCW","DefaultSettingValuePCM","DefaultSettingValuePCT","DefaultSettingValuePCA","DefaultSettingValuePCZ","DefaultSettingValuePCD","OptionStorageType","MinimumValue","MaximumValue"
"1","1","G_AutoBattleFunction","1","0","0","0","0","0","0","0","0","0","2"
"2","2","G_AutoBattleRange","1","2","2","2","2","2","2","2","2","0","2"
"3","3","G_AutoSkill","1","0","0","0","0","0","0","0","2","0","1"
"4","4","G_LeaderCenteredBattle","1","0","0","0","0","0","0","0","2","0","1"
"5","5","G_AutoReturnOnDeath","1","0","0","0","0","0","0","0","2","0","1"
"6","6","G_AutoLockOn","1","0","0","0","0","0","0","0","2","0","1"
"7","7","G_AutoCounterAttack","1","1","1","1","1","1","1","1","2","0","1"
"8","8","G_QuickSlotAutoPotion_0","1","1","1","1","1","1","1","1","2","0","1"
"9","9","G_QuickSlotAutoPotion_1","1","1","1","1","1","1","1","1","2","0","1"
"10","10","G_QuickSlotAutoPotion_2","1","0","0","0","0","0","0","0","2","0","1"
"11","11","G_AutoPotionHpPercent","1","70","70","70","70","70","70","70","2","0","100"
"12","12","G_AutoPotionMpPercent","1","60","60","60","60","60","60","60","2","0","100"
"13","13","G_QuickSlotAutoEquip","1","0","0","0","0","0","0","0","2","0","2"
"14","14","G_GuildMarkOption","1","0","0","0","0","0","0","0","2","0","1"
"15","15","G_UserMarkOption","1","0","0","0","0","0","0","0","2","0","1"
"16","16","G_MyNameOption","1","2","2","2","2","2","2","2","2","0","2"
"17","17","G_UserNameOption","1","2","2","2","2","2","2","2","2","0","2"
"18","18","G_MonNameOption","1","1","1","1","1","1","1","1","2","0","2"
"19","19","G_EffectVisual","1","2","2","2","2","2","2","2","2","0","2"
"20","20","G_SleepModeStartTime","1","3","3","3","3","3","3","3","2","0","3"
"21","21","G_UnSleepModeWhenAttacked","1","1","1","1","1","1","1","1","2","0","1"
"22","22","G_PartyUIAutoVisible","1","1","1","1","1","1","1","1","2","0","1"
"23","23","G_BuddyRequestAutoReject","1","0","0","0","0","0","0","0","2","0","1"
"24","24","G_BuddyLoginNotice","1","1","1","1","1","1","1","1","2","0","1"
"25","25","G_ComplateQuestSort","1","1","1","1","1","1","1","1","2","0","1"
"26","26","G_WorldChatItemAsk","1","1","1","1","1","1","1","1","2","0","1"
"27","27","G_Simple","2","3","3","3","3","3","3","3","1","0","3"
"28","28","G_ScreenEffect","2","2","2","2","2","2","2","2","1","0","2"
"29","29","G_Texture","2","2","2","2","2","2","2","2","1","0","2"
"30","30","G_Resolution","2","2","2","2","2","2","2","2","1","0","2"
"31","31","G_FrameSpeed","2","2","2","2","2","2","2","2","1","0","2"
"32","32","G_Visual","2","2","2","2","2","2","2","2","1","0","2"
"33","33","G_SkillEffect","2","2","2","2","2","2","2","2","1","0","2"
"34","34","G_MasterVolume","1","90","90","90","90","90","90","90","1","0","100"
"35","35","G_BGMVolume","1","70","70","70","70","70","70","70","1","0","100"
"36","36","G_SFXVolume","1","80","80","80","80","80","80","80","1","0","100"
"37","37","G_VoiceVolume","1","90","90","90","90","90","90","90","1","0","100"
"38","38","G_AmbientVolume","1","70","70","70","70","70","70","70","1","0","100"
"39","39","G_QuickSlotInvenSort","1","0","0","0","0","0","0","0","2","0","1"
"40","40","G_QuickSlotInvenOrder","1","0","0","0","0","0","0","0","2","0","1"
"41","41","G_ARejectParty","0","0","0","0","0","0","0","0","2","0","1"
"42","42","G_ARejectSquad","0","0","0","0","0","0","0","0","2","0","1"
"43","43","G_CameraShakeScale","2","2","2","2","2","2","2","2","2","0","2"
"44","44","G_AutoPlayUseSkill","1","0","0","0","0","0","0","0","2","0","1"
"45","45","G_StageSectorVisible","1","1","0","0","0","0","0","0","1","0","1"
"46","46","G_ComboCounterViewable","1","0","0","0","0","0","0","0","2","0","1"
"47","47","G_ItemFilterJunkItemFirst","1","1","1","1","1","1","1","1","2","0","1"
"48","48","G_ItemFilterItemGrade01","1","0","0","0","0","0","0","0","2","0","1"
"49","49","G_ItemFilterItemGrade02","1","0","0","0","0","0","0","0","2","0","1"
"50","50","G_ItemFilterItemGrade03","1","0","0","0","0","0","0","0","2","0","1"
"51","51","G_HideGuildGiftName ","0","0","0","0","0","0","0","0","2","0","1"
"52","52","G_PartyBattleTargetShare","1","0","0","0","0","0","0","0","2","0","1"
"53","53","G_BattleTargetType","1","0","0","0","0","0","0","0","2","0","3"
"54","54","G_TargetBossMon","1","0","0","0","0","0","0","0","2","0","3"
"55","55","G_TargetNormalMon","1","2","2","2","2","2","2","2","2","0","3"
"56","56","G_TargetEnemyGuild","1","1","1","1","1","1","1","1","2","0","3"
"57","57","G_TargetEnemyUser","1","0","0","0","0","0","0","0","2","0","3"
"58","58","G_TargetmyGuild","1","3","3","3","3","3","3","3","2","0","3"
"59","59","G_TargetmyParty","1","3","3","3","3","3","3","3","2","0","3"
"60","60","G_TradeItemAsk","1","1","1","1","1","1","1","1","2","0","1"
"61","61","G_MiniMap","1","1","1","1","1","1","1","1","1","0","1"
"62","62","G_GatherPopUp","1","1","1","1","1","1","1","1","1","0","1"
"63","63","G_CharacterAlarm","1","1","1","1","1","1","1","1","2","0","1"
"64","64","G_QuestAlarm","1","1","1","1","1","1","1","1","2","0","1"
"65","65","G_GreatBuildingAlarm","1","1","1","1","1","1","1","1","2","0","1"
"66","66","G_ContentsOpenAlarm","1","1","1","1","1","1","1","1","2","0","1"
"67","67","G_ChattingRenderOpacity","5","5","5","5","5","5","5","5","1","0","5"
"68","68","G_PushAllAlarm","1","1","1","1","1","1","1","1","2","0","1"
"69","69","G_PushNightAlarm","1","1","1","1","1","1","1","1","2","0","1"
"88","88","G_Shadow","2","3","3","3","3","3","3","3","1","0","3"
"89","89","G_HeadLineMessageType_2","1","1","1","1","1","1","1","1","2","0","1"
"90","90","G_Pet","0","2","0","0","0","0","0","0","1","0","2"
"91","91","G_Battle_AutoCamera","1","1","1","1","1","1","1","1","2","0","1"
"92","92","G_QuickSlotAutoPotion_3","1","0","0","0","0","0","0","0","2","0","1"
"93","93","G_QuickSlotAutoPotion_4","1","0","0","0","0","0","0","0","2","0","1"
"94","94","G_QuickSlotAutoPotion_5","1","0","0","0","0","0","0","0","2","0","1"
"95","95","G_QuickSlotAutoPotion_6","1","0","0","0","0","0","0","0","2","0","1"
"96","96","G_QuickSlotAutoPotion_7","1","0","0","0","0","0","0","0","2","0","1"
"97","97","G_QuickSlotAutoPotion_8","1","0","0","0","0","0","0","0","2","0","1"
"98","98","G_MyGuildMark","1","0","0","0","0","0","0","0","2","0","1"
"99","99","G_MyAllianceGuildMark","1","0","0","0","0","0","0","0","2","0","1"
"100","100","G_OtherGuildMark","1","0","0","0","0","0","0","0","2","0","1"
"101","101","G_TargetEnemyGuildWar","1","0","0","0","0","0","0","0","2","0","3"
"102","102","G_PKAlarm","1","1","1","1","1","1","1","1","1","0","1"
"103","103","G_SkillDarkChange","1","1","1","1","1","1","1","1","2","0","1"
"104","104","G_SkillCameraZoom","1","1","1","1","1","1","1","1","2","0","1"
"105","105","G_CameraMode","1","0","0","0","0","0","0","0","2","0","2"
"106","106","G_ItemSmelting_Break_Hero","0","1","1","1","1","1","1","1","3","0","1"
"107","107","G_CharacterMaxLevelAlarm","1","1","1","1","1","1","1","1","2","0","1"
"108","108","G_ExpBoosterMaxLevelAlarm","1","1","1","1","1","1","1","1","2","0","1"
"109","109","G_CostumeTitleOption","1","1","1","1","1","1","1","1","2","0","1"
"110","110","G_FastUnsealingStart","1","1","0","0","0","0","0","0","1","0","1"
"111","111","G_HUDAutoResizing","1","0","0","0","0","0","0","0","1","0","1"
"112","112","G_PingVisible","1","1","1","1","1","1","1","1","1","0","1"
"113","113","G_PKAutoReverse","1","0","0","0","0","0","0","0","2","0","1"
"114","114","G_TicketAutoCharge_UseGold","1","0","0","0","0","0","0","0","1","0","1"
"115","115","G_PartyAutoStart","1","1","1","1","1","1","1","1","2","0","1"
"116","116","G_ASSASSIN_MODE_Change","1","0","1","1","1","1","1","1","2","0","1"
"117","117","G_ItemFilterTrade","1","0","0","0","0","0","0","0","2","0","1"
"118","118","G_HudSkillSetExtend","1","0","0","0","0","0","0","0","1","0","1"
"119","119","G_StorageTotalTransfer","1","0","0","0","0","0","0","0","1","0","1"
"120","120","G_ItemGetEffectSet","1","0","0","0","0","0","0","0","1","0","2"
"121","121","G_SubWeaponDisable","0","0","0","0","0","0","0","0","2","0","1"
"122","122","G_MagicOrb_Regist_Manual","1","1","1","1","1","1","1","1","1","0","1"
"123","123","G_MagicOrb_AutoRegist_Grade02","1","1","1","1","1","1","1","1","2","0","1"
"124","124","G_MagicOrb_AutoRegist_Grade03","1","1","1","1","1","1","1","1","2","0","1"
"125","125","G_MagicOrb_AutoRegist_Grade04","1","1","1","1","1","1","1","1","2","0","1"
"126","126","G_MagicOrb_AutoRegist_Grade05","1","0","0","0","0","0","0","0","2","0","1"
"127","127","G_MagicOrb_AutoRegist_SpiritStone","1","0","0","0","0","0","0","0","2","0","1"
"128","128","G_MagicOrb_AutoRegist_MagicOrbExpMaterial","1","1","1","1","1","1","1","1","2","0","1"
"129","129","G_MagicOrb_AutoRegist_Trade","1","0","0","0","0","0","0","0","2","0","1"
