"Name","Id","Parameter","OptionType","OptionValue"
"1","1","AnimRateDistanceFactorThreshold_F","float","0.002"
"2","2","NpcMaxDrawDistance_F","float","6400"
"3","3","ActorFadeTime_F","float","0.5"
"4","4","CutsceneRenderingRange_F","float","99999"
"5","5","DefaultBroadCastRange_F","float","5200"
"6","6","BroadCastRangeNormal_F","float","5200"
"7","7","BroadCastRangeWide_F","float","7200"
"8","8","BroadCastRangeVeryWide_F","float","8400"
"9","9","BroadCastRangeNoLimit_F","float","20000"
"10","10","DefaultPawnFadeRange_F","float","5000"
"11","11","PawnFadeRangesNormal_F","float","3000"
"12","12","PawnFadeRangesWide_F","float","5000"
"13","13","PawnFadeRangesVeryWide_F","float","7000"
"14","14","PawnFadeRangesNoLimit_F","float","9000"
"15","15","MinNickNameLenth_INT","int","2"
"16","16","MaxNickNameLenth_INT","int","8"
"17","17","ComboDelay_F","float","3"
"18","18","StartComboCount_INT","int","5"
"19","19","AutoBattlePointRange_F","float","3000"
"20","20","AutoBattleZoneRange_F","float","5000"
"21","21","AutoBattleTraceAddRange_F","float","2000"
"22","22","MinNormalAtkTime_F","float","0"
"23","23","AutoSkillUseNormalCountMin_INT","int","3"
"24","24","AutoSkillUseNormalCountMax_INT","int","4"
"25","25","AutoBattleAwakenTime_F","float","3"
"26","26","AutoBattleSkillAwakenTime_F","float","6"
"27","27","CounterAttackWaitingTime_F","float","5"
"28","28","FastRunTime_F","float","10"
"29","29","FastRunCoolTime_F","float","2"
"30","30","VehicleDownHillLimitAngle_F","float","-25"
"31","31","SkillGlobalCooltime_F","float","0.5"
"32","32","ChangeSkillDeckGlobalCooltime_F","float","0.2"
"33","33","VigorUseValue_F","float","100"
"34","34","RegenerationVigor_F","float","10"
"35","35","PhaseBossDieSlowValue_F","float","0.2"
"36","36","PhaseBossDieSlowTime_F","float","1.1"
"37","37","WarpEndTime_F","float","2"
"38","38","MagicSquareLimitTime_INT","int","1800"
"39","39","MagicSquareChangeTime_INT","int","5"
"40","40","SecretLimitTime_INT","int","1800"
"41","41","SubtargetRetentionTime_F","float","10"
"42","42","SubtargetLineRetentionTime_F","float","2"
"43","43","StartSleepModeTime1_F","float","600"
"44","44","StartSleepModeTime2_F","float","1800"
"45","45","TrackerMarkPlayTime_F","float","3"
"46","46","NameTagAlarmAniDist_F","float","500"
"47","47","ShowNameTagDist_F","float","3000"
"48","48","ContentsNpcNameTagDistance_F","float","6000"
"49","49","DeckChangeDistance_F","float","40"
"50","50","OperationBtnShowTime_F","float","3"
"51","51","ShowVirtualJoystickPressedTime_F","float","1000"
"52","52","VirtualJoystickMoveStartDistance_F","float","10"
"53","53","ShowSkillTooltipPressedTime_F","float","0.5"
"54","54","OffSleepModeSwipeDistance_F","float","100"
"55","55","HUD_QuickSlot_SwipeDistance_F","float","60"
"56","56","HUD_QuickSlot_PressedTime_F","float","0.5"
"57","57","ItemResultEffectSkipTime_F","float","0.3"
"58","58","ItemResultSkipTime_F","float","0.5"
"59","59","ContentsOpenAniA_PlayTime_F","float","0.2"
"60","60","ContentsOpenAniA_StartScale_F","float","1.2"
"61","61","AllowedRegExr_Word_STR","string","."
"62","62","AllowedRegExr_Sentence_STR","string","."
"63","63","NPCFrontDist_F","float","270"
"64","64","TargetSearchDist_F","float","3000"
"65","65","TargetSearchTime_F","float","0.5"
"66","66","TrackerCancelTimer_F","float","1"
"67","67","AutoBattleChangeTime_F","float","20"
"68","68","MessageShowTime_F","float","7"
"69","69","RelationMsgShowTime_F","float","2.5"
"70","70","WarningCombatPointRange_F","float","0.8"
"71","71","WarningCombatPointDownRange_F","float","0.7"
"72","72","WarningCriteriaQuestID_INT","int","101012120"
"73","73","WarningMessage_INT","int","1006065"
"74","74","CompleteBattleRange_F","float","3000"
"75","75","QuestIDForDisableTrackerGuide_INT","int","101000100"
"76","76","TrackerBlockTime_F","float","0.5"
"77","77","MovieFadeTime_F","float","1"
"78","78","ChangeLevelFadeTime_F","float","0.4"
"79","79","CloseLoadingScreenDelay_F","float","1"
"80","80","EffectLandOffsetZ_F","float","10"
"81","81","ActorFadeMaskedMapM_NPC_Base_STR","string","Material'/Game/Characters/Material/M_NPC_Base_Masked.M_NPC_Base_Masked'"
"82","82","ActorFadeMaskedMapM_NPC_Hair_STR","string","Material'/Game/Characters/Material/M_NPC_Hair_Masked.M_NPC_Hair_Masked'"
"83","83","ActorFadeMaskedMapM_NPC_Simple_STR","string","Material'/Game/Characters/Material/M_NPC_Simple_Masked.M_NPC_Simple_Masked'"
"84","84","ActorFadeMaskedMapM_PC_Base_STR","string","Material'/Game/Characters/Material/M_PC_Base_Masked.M_PC_Base_Masked'"
"85","85","ActorFadeMaskedMapM_PC_Hair_STR","string","Material'/Game/Characters/Material/M_PC_Hair_Masked.M_PC_Hair_Masked'"
"86","86","ActorFadeMaskedMapM_PC_Weapon_STR","string","Material'/Game/Characters/Material/M_PC_Weapon_Masked.M_PC_Weapon_Masked'"
"87","87","ActorFadeMaskedMapM_NPC_Hair_Masked_STR","string","Material'/Game/Characters/Material/M_NPC_Hair_Masked.M_NPC_Hair_Masked'"
"88","88","ActorFadeMaskedMapM_PC_Base_Masked_STR","string","Material'/Game/Characters/Material/M_PC_Base_Masked.M_PC_Base_Masked'"
"89","89","ActorFadeMaskedMapM_PC_Simple_Masked_STR","string","Material'/Game/Characters/Material/M_NPC_Simple_Masked.M_NPC_Simple_Masked'"
"90","90","PathDieMat_STR","string","Material'/Game/Characters/Material/Die_Base.Die_Base'"
"91","91","PathStoneMat_STR","string","/Game/Characters/Material/system_materials/StonizeMaterial_Inst.StonizeMaterial_Inst"
"92","92","PathFreezMat_STR","string","/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst"
"93","93","HudGetSpecialItemMinGrade_INT","int","3"
"94","94","HudGetSpecialItemMinTier_INT","int","1"
"95","95","ContentsGetIteItemCountRule_INT","int","2"
"96","96","HelpInterval_F","float","5"
"97","97","ArrivalIconOffset_F","float","300"
"98","98","ArrivalIconMinLimit_F","float","3500"
"99","99","WorldChatShopIdLink_INT","int","1601038"
"100","100","WorldChatNeedItemId_INT","int","61601001"
"101","101","WorldChattingDelayTime_INT","int","10"
"102","102","MaxChattingList_INT","int","200"
"103","103","MaxMacroList_INT","int","5"
"104","104","MaxBlockUserCount_INT","int","50"
"105","105","MiniHudOffTime_INT","int","6000"
"106","106","FaceMarkDurationTime_INT","int","800"
"107","107","FaceMarkDisappearTime_INT","int","800"
"108","108","ShowPresetMaxSlotCount_INT","int","-1"
"109","109","CustomizingSaveFileDirectory_STR","string","Customize/"
"110","110","CustomizingSaveFileNameExtension_STR","string","_Customize_{1}.json"
"111","111","CustomizingAutoSaveFileName_STR","string","AutoSave_Customize_{1}.json"
"112","112","CustomizingSaveFileName_STR","string","%Y_%m_%d_%H_%M_%S%s"
"113","113","CustomizingSaveFileTimeTitle_STR","string","%Y:%m:%d %H:%M"
"114","114","StagePartyMember_Field_INT","int","0"
"115","115","StagePartyMember_EliteDungeon_INT","int","2"
"116","116","StagePartyMember_UnderWorld_INT","int","5"
"117","117","StagePartyMember_GuildExpedition_INT","int","50"
"118","118","StagePartyMember_MagicSquare_INT","int","0"
"119","119","StagePartyMember_SecretDungeon_INT","int","0"
"120","120","StagePartyMember_ArenaPvP_INT","int","5"
"121","121","StagePartyMember_WorldBoss_INT","int","50"
"122","122","AuctionMinPrice_INT","int","10"
"123","123","AuctionMaxRegistPrice_INT","int","100000000"
"124","124","AuctionMaxSellCount_INT","int","30"
"125","125","AuctionSearchDelay_INT","int","3"
"126","126","AuctionRefreshDelay_INT","int","3"
"127","127","AuctionMaxBookMarkCount_INT","int","60"
"128","128","AuctionMaxCalculateCount_INT","int","50"
"129","129","CameraShakeNone_F","float","0"
"130","130","CameraShakeLow_F","float","0.5"
"131","131","CameraShakeHigh_F","float","1"
"132","132","HeartBeatInterval_F","float","3"
"133","133","HeartBeatCountToDisconnect_INT","int","3"
"134","134","RecvReconnectResultTimeout_F","float","10"
