"Name","UniqueID","StartRange","EndRange"
"1","1","""0020""","""007E"""
"2","2","""00A1""","""00A5"""
"3","3","""00AB""","""00AB"""
"4","4","""00AD""","""00AD"""
"5","5","""00AF""","""00AF"""
"6","6","""00B4""","""00B4"""
"7","7","""00B7""","""00B7"""
"8","8","""00BB""","""00BB"""
"9","9","""00BF""","""00FF"""
"10","10","""0102""","""0103"""
"11","11","""0110""","""0111"""
"12","12","""0128""","""0129"""
"13","13","""0152""","""0153"""
"14","14","""0168""","""0169"""
"15","15","""0174""","""0178"""
"16","16","""0192""","""0192"""
"17","17","""01A0""","""01A1"""
"18","18","""01AF""","""01B0"""
"19","19","""0400""","""0479"""
"20","20","""0480""","""052F"""
"21","21","""0E01""","""0E3A"""
"22","22","""0E3F""","""0E5B"""
"23","23","""1100""","""115F"""
"24","24","""1161""","""11FF"""
"25","25","""1E80""","""1E85"""
"26","26","""1EA0""","""1EF9"""
"27","27","""2160""","""216B"""
"28","28","""2170""","""217B"""
"29","29","""2460""","""24FF"""
"30","30","""2E80""","""2E99"""
"31","31","""2E9B""","""2EB1"""
"32","32","""2EB3""","""2EF3"""
"33","33","""2F00""","""2FD5"""
"34","34","""3041""","""3096"""
"35","35","""3099""","""30FF"""
"36","36","""3105""","""312D"""
"37","37","""3190""","""31BA"""
"38","38","""31C0""","""31E3"""
"39","39","""31F0""","""31FF"""
"40","40","""3400""","""353D"""
"41","41","""353F""","""39B2"""
"42","42","""39B4""","""439A"""
"43","43","""439C""","""4DB5"""
"44","44","""4E00""","""4E2B"""
"45","45","""4E2D""","""4E5A"""
"46","46","""4E5C""","""4EBA"""
"47","47","""4EBC""","""5201"""
"48","48","""5203""","""5363"""
"49","49","""5365""","""5F50"""
"50","50","""5F52""","""5FC3"""
"51","51","""5FC5""","""624B"""
"52","52","""624D""","""6534"""
"53","53","""6536""","""6588"""
"54","54","""658A""","""65E0"""
"55","55","""65E2""","""6B79"""
"56","56","""6B7B""","""6C34"""
"57","57","""6C36""","""706B"""
"58","58","""706D""","""72AC"""
"59","59","""72AE""","""7E9E"""
"60","60","""7EA0""","""7F52"""
"61","61","""7F54""","""8001"""
"62","62","""8003""","""807F"""
"63","63","""8081""","""8278"""
"64","64","""827A""","""8B9F"""
"65","65","""8BA1""","""9484"""
"66","66","""9486""","""9577"""
"67","67","""9579""","""961C"""
"68","68","""961E""","""97E5"""
"69","69","""97E7""","""9962"""
"70","70","""9964""","""9EFD"""
"71","71","""9EFF""","""9F4F"""
"72","72","""9F51""","""9F7E"""
"73","73","""9F80""","""9FD0"""
"74","74","""A960""","""A97C"""
"75","75","""AC00""","""D7A3"""
"76","76","""D7B0""","""D7C6"""
"77","77","""D7CB""","""D7FB"""
"78","78","""F902""","""F902"""
"79","79","""F904""","""F904"""
"80","80","""F907""","""F90A"""
"81","81","""F90C""","""F92C"""
"82","82","""F92E""","""F930"""
"83","83","""F932""","""F936"""
"84","84","""F938""","""F938"""
"85","85","""F93B""","""F942"""
"86","86","""F944""","""F946"""
"87","87","""F949""","""F949"""
"88","88","""F94B""","""F951"""
"89","89","""F953""","""F95B"""
"90","90","""F95D""","""F95D"""
"91","91","""F95F""","""F961"""
"92","92","""F963""","""F964"""
"93","93","""F966""","""F966"""
"94","94","""F968""","""F971"""
"95","95","""F973""","""F97D"""
"96","96","""F97F""","""F97F"""
"97","97","""F981""","""F98D"""
"98","98","""F98F""","""F994"""
"99","99","""F996""","""F9A0"""
"100","100","""F9A2""","""F9A9"""
"101","101","""F9AB""","""F9BA"""
"102","102","""F9BC""","""F9BC"""
"103","103","""F9BE""","""F9BE"""
"104","104","""F9C0""","""F9C4"""
"105","105","""F9C7""","""F9D7"""
"106","106","""F9D9""","""F9DA"""
"107","107","""F9DC""","""F9DD"""
"108","108","""F9DF""","""F9DF"""
"109","109","""F9E1""","""F9E3"""
"110","110","""F9E5""","""F9F3"""
"111","111","""F9F6""","""F9F9"""
"112","112","""F9FB""","""F9FC"""
"113","113","""F9FE""","""FA01"""
"114","114","""FA03""","""FA04"""
"115","115","""FA08""","""FA0C"""
"116","116","""FA0E""","""FA48"""
"117","117","""FA4A""","""FA56"""
"118","118","""FA58""","""FA5C"""
"119","119","""FA5F""","""FA6D"""
"120","120","""FF65""","""FFBE"""
"121","121","""FFC2""","""FFC7"""
"122","122","""FFCA""","""FFCF"""
"123","123","""FFD2""","""FFD7"""
"124","124","""FFDA""","""FFDC"""
