"Name","Num","RegionKey","RegionGroupKey","WSRegionCode","RegionName","RegionGroupName","RegionUTC","RegionIcon","RegionOrder"
"101","101","ASIA1","ASIA1","1","2520001","2520025","2520014","4700001","101"
"102","102","ASIA2","ASIA1","11","2520021","2520025","2520014","4700001","102"
"103","103","ASIA3","ASIA1","21","2520029","2520025","2520014","4700001","103"
"104","104","ASIA4","ASIA1","31","2520037","2520025","2520014","4700001","104"
"105","105","ASIA5","ASIA1","41","2520038","2520025","2520014","4700001","105"
"106","106","ASIA6","ASIA1","51","2520039","2520025","2520014","4700001","106"
"107","107","ASIA7","ASIA1","61","2520040","2520025","2520014","4700001","107"
"108","108","ASIA8","ASIA1","71","2520041","2520025","2520014","4700001","108"
"109","109","ASIA9","ASIA1","81","2520042","2520025","2520014","4700001","109"
"110","110","ASIA10","ASIA1","91","2520043","2520025","2520014","4700001","110"
"201","201","EU1","EU1","3","2520003","2520027","2520016","4700004","401"
"202","202","EU2","EU1","13","2520044","2520027","2520016","4700004","402"
"203","203","EU3","EU1","23","2520045","2520027","2520016","4700004","403"
"204","204","EU4","EU1","33","2520046","2520027","2520016","4700004","404"
"205","205","EU5","EU1","43","2520047","2520027","2520016","4700004","405"
"206","206","EU6","EU1","53","2520048","2520027","2520016","4700004","406"
"207","207","EU7","EU1","63","2520049","2520027","2520016","4700004","407"
"208","208","EU8","EU1","73","2520050","2520027","2520016","4700004","408"
"209","209","EU9","EU1","83","2520051","2520027","2520016","4700004","409"
"210","210","EU10","EU1","93","2520052","2520027","2520016","4700004","410"
"301","301","NA1","NA1","2","2520002","2520026","2520015","4700002","601"
"302","302","NA2","NA1","12","2520022","2520026","2520015","4700002","602"
"303","303","NA3","NA1","22","2520053","2520026","2520015","4700002","603"
"304","304","NA4","NA1","32","2520054","2520026","2520015","4700002","604"
"305","305","NA5","NA1","42","2520055","2520026","2520015","4700002","605"
"306","306","NA6","NA1","52","2520056","2520026","2520015","4700002","606"
"307","307","NA7","NA1","62","2520057","2520026","2520015","4700002","607"
"308","308","NA8","NA1","72","2520058","2520026","2520015","4700002","608"
"309","309","NA9","NA1","82","2520059","2520026","2520015","4700002","609"
"310","310","NA10","NA1","92","2520060","2520026","2520015","4700002","610"
"401","401","SA1","SA1","5","2520023","2520028","2520030","4700003","501"
"402","402","SA2","SA1","15","2520061","2520028","2520030","4700003","502"
"403","403","SA3","SA1","25","2520062","2520028","2520030","4700003","503"
"404","404","SA4","SA1","35","2520063","2520028","2520030","4700003","504"
"405","405","SA5","SA1","45","2520064","2520028","2520030","4700003","505"
"406","406","SA6","SA1","55","2520065","2520028","2520030","4700003","506"
"407","407","SA7","SA1","65","2520066","2520028","2520030","4700003","507"
"408","408","SA8","SA1","75","2520067","2520028","2520030","4700003","508"
"409","409","SA9","SA1","85","2520068","2520028","2520030","4700003","509"
"410","410","SA10","SA1","95","2520069","2520028","2520030","4700003","510"
"501","501","INMENA1","INMENA1","6","2520088","2520098","2520035","4700008","201"
"502","502","INMENA2","INMENA1","16","2520089","2520098","2520035","4700008","202"
"503","503","INMENA3","INMENA1","26","2520090","2520098","2520035","4700008","203"
"504","504","INMENA4","INMENA1","36","2520091","2520098","2520035","4700008","204"
"505","505","INMENA5","INMENA1","46","2520092","2520098","2520035","4700008","205"
"506","506","INMENA6","INMENA1","56","2520093","2520098","2520035","4700008","206"
"507","507","INMENA7","INMENA1","66","2520094","2520098","2520035","4700008","207"
"508","508","INMENA8","INMENA1","76","2520095","2520098","2520035","4700008","208"
"509","509","INMENA9","INMENA1","86","2520096","2520098","2520035","4700008","209"
"510","510","INMENA10","INMENA1","96","2520097","2520098","2520035","4700008","210"
