"Name","GreatBuildingId","BuildingMaxStep","BuildingIcon","BuildingName","OpenConditionType01","OpenConditionValue01","OpenConditionNum01","OpenConditionText01","OpenConditionContentsId01","OpenConditionType02","OpenConditionValue02","OpenConditionNum02","OpenConditionText02","OpenConditionContentsId02","OpenConditionType03","OpenConditionValue03","OpenConditionNum03","OpenConditionText03","OpenConditionContentsId03"
"1000000","1000000","25","3900003","5000001","4","1","102007700","0","0","0","0","0","0","0","0","0","0","0","0"
"2000000","2000000","25","3900002","5000002","1","30","0","0","0","2","98002001","0","1415199","0","0","0","0","0","0"
"3000000","3000000","25","3900001","5000003","1","30","0","0","0","4","1","102010280","0","0","2","98003101","0","1415131","0"
"4000000","4000000","25","3900005","5000004","1","32","0","0","0","2","98005001","0","1415114","0","0","0","0","0","0"
"5000000","5000000","25","3900008","5000005","1","34","0","0","0","4","1","102010650","0","0","2","98006201","0","1416247","0"
"6000000","6000000","25","3900004","5000006","3","1000000","1","1402001","5400","0","0","0","0","0","0","0","0","0","0"
"7000000","7000000","25","3900007","5000007","1","34","0","0","0","2","98004101","0","1415117","0","0","0","0","0","0"
"8000000","8000000","25","3900009","5000008","1","36","0","0","0","2","98009000","0","1416159","2800","0","0","0","0","0"
"9000000","9000000","25","3900006","5000009","1","32","0","0","0","2","98007201","0","1415223","0","0","0","0","0","0"
"10000000","10000000","13","3900021","5000102","1","60","0","0","0","2","98009209","0","1416136","0","3","9000000","7","1402807","5400"
