"Name","BuildingStatusId","GreatBuildingId","EffectType","EffectTypeIcon","EffectTypeString"
"1000001","1000001","1000000","1","120114","5000073"
"1000002","1000002","1000000","2","120114","5000074"
"1000003","1000003","1000000","3","120113","5000075"
"2000001","2000001","2000000","1","120114","5000073"
"2000002","2000002","2000000","2","120114","5000074"
"2000003","2000003","2000000","3","120113","5000075"
"3000001","3000001","3000000","1","120114","5000073"
"3000002","3000002","3000000","2","120114","5000074"
"3000003","3000003","3000000","3","120113","5000075"
"4000001","4000001","4000000","1","120114","5000073"
"4000002","4000002","4000000","2","120114","5000074"
"4000003","4000003","4000000","3","120113","5000075"
"5000001","5000001","5000000","1","120114","5000073"
"5000002","5000002","5000000","2","120114","5000074"
"5000003","5000003","5000000","3","120113","5000075"
"6000001","6000001","6000000","1","120114","5000073"
"6000002","6000002","6000000","2","120114","5000074"
"6000003","6000003","6000000","3","120113","5000075"
"7000001","7000001","7000000","1","120114","5000073"
"7000002","7000002","7000000","2","120114","5000074"
"7000003","7000003","7000000","3","120113","5000075"
"8000001","8000001","8000000","1","120114","5000073"
"8000002","8000002","8000000","2","120114","5000074"
"8000003","8000003","8000000","3","120113","5000075"
"9000001","9000001","9000000","1","120114","5000073"
"9000002","9000002","9000000","2","120114","5000074"
"9000003","9000003","9000000","3","120113","5000075"
"10000001","10000001","10000000","1","120114","5000073"
"10000002","10000002","10000000","2","120114","5000074"
"10000003","10000003","10000000","3","120113","5000075"
