"Name","BuildingStepId","GreatBuildingId","BuildingStep","BuildingCombat","AchievementIdCondition01","AchievementIdConditionString01","AchievementIdContentsId01","AchievementIdCondition02","AchievementIdConditionString02","AchievementIdContentsId02","AchievementIdCondition03","AchievementIdConditionString03","AchievementIdContentsId03","ManufactureType","ManufactureKind","ManufactureNum","BuildingIdCondition01","BuildingIdCondition02","BuildingIdCondition03","NeedType01","NeedID01","NeedUseID01","NeedCount01","NeedType02","NeedID02","NeedUseID02","NeedCount02","NeedType03","NeedID03","NeedUseID03","NeedCount03","NeedType04","NeedID04","NeedUseID04","NeedCount04","UpgradeTime","GuildHelpTime","ClassType","EffectType01","EffectValue01","EffectNum01","EffectString01","EffectIcon01","EffectType02","EffectValue02","EffectNum02","EffectString02","EffectIcon02","EffectType03","EffectValue03","EffectNum03","EffectString03","EffectIcon03","EffectType04","EffectValue04","EffectNum04","EffectString04","EffectIcon04"
"1000001","1000001","1000000","1","435","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","10000","1","0","0","0","1","0","0","0","1","0","0","0","3","60","0","1","(60)","(0)","(5000054)","(3900015)","5","(118)","(100)","(510118)","(510618)","5","(41)","(30)","(500126)","(120062)","5","(43)","(30)","(510043)","(500044)"
"1000002","1000002","1000000","2","562","0","0","0","0","0","0","0","0","0","0","0","0","6000001","0","0","1","2","2","20000","1","0","0","0","1","0","0","0","1","0","0","0","3","60","0","1","(60)","(0)","(5000054)","(3900015)","5","(118)","(200)","(510118)","(510618)","5","(41)","(60)","(500126)","(120062)","5","(43)","(60)","(510043)","(500044)"
"1000003","1000003","1000000","3","702","98001003","1415102","0","98001102","1415239","0","0","0","0","0","0","0","6000002","0","0","1","2","2","30000","1","0","0","0","1","0","0","0","1","0","0","0","300","60","0","1","(60)","(0)","(5000054)","(3900015)","5","(118)","(300)","(510118)","(510618)","5","(41)","(90)","(500126)","(120062)","5","(43)","(90)","(510043)","(500044)"
"1000004","1000004","1000000","4","857","98001004","1415102","0","98001103","1415177","0","0","0","0","0","0","0","6000003","0","0","1","2","2","40000","1","12","12","12000","1","11","11","8000","1","0","0","0","1800","60","0","1","(70)","(0)","(5000054)","(3900015)","5","(118)","(400)","(510118)","(510618)","5","(41)","(120)","(500126)","(120062)","5","(43)","(120)","(510043)","(500044)"
"1000005","1000005","1000000","5","1026","98001005","1415102","0","98001104","1415178","0","98001205","1415189","0","0","0","0","6000004","0","0","1","2","2","60000","1","12","12","18000","1","11","11","12000","1","0","0","0","3600","60","0","1","(70)","(0)","(5000054)","(3900015)","5","(118)","(500)","(510118)","(510618)","5","(41)","(150)","(500126)","(120062)","5","(43)","(150)","(510043)","(500044)"
"1000006","1000006","1000000","6","1208","98001006","1415102","0","98001105","1415179","0","0","0","0","0","0","0","6000005","0","0","1","2","2","80000","1","12","12","24000","1","11","11","16000","1","0","0","0","10800","60","0","1","(70)","(0)","(5000054)","(3900015)","5","(118)","(600)","(510118)","(510618)","5","(41)","(150)","(500126)","(120062)","5","(43)","(150)","(510043)","(500044)"
"1000007","1000007","1000000","7","1404","98001007","1415102","0","98001106","1415180","0","0","0","0","0","0","0","6000006","0","0","1","2","2","120000","1","12","12","36000","1","11","11","24000","1","0","0","0","21600","60","0","1","(80)","(0)","(5000054)","(3900015)","5","(118)","(800)","(510118)","(510618)","5","(41)","(180)","(500126)","(120062)","5","(43)","(180)","(510043)","(500044)"
"1000008","1000008","1000000","8","1611","98001008","1415102","0","98001107","1415181","0","0","0","0","0","0","0","6000007","0","0","1","2","2","160000","1","12","12","48000","1","11","11","32000","1","0","0","0","36000","60","0","1","(80)","(0)","(5000054)","(3900015)","5","(118)","(1100)","(510118)","(510618)","5","(41)","(180)","(500126)","(120062)","5","(43)","(180)","(510043)","(500044)"
"1000009","1000009","1000000","9","1831","98001009","1415102","0","98001108","1415182","0","0","0","0","0","0","0","6000008","4000008","0","1","2","2","220000","1","12","12","66000","1","11","11","44000","1","0","0","0","108000","60","0","1","(80)","(0)","(5000054)","(3900015)","5","(118)","(1500)","(510118)","(510618)","5","(41)","(210)","(500126)","(120062)","5","(43)","(210)","(510043)","(500044)"
"1000010","1000010","1000000","10","2066","98001010","1415102","0","98001109","1415183","0","0","0","0","0","0","0","6000009","4000009","0","1","2","2","300000","1","12","12","90000","1","11","11","60000","1","0","0","0","216000","60","0","1","(80)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(210)","(500126)","(120062)","5","(43)","(210)","(510043)","(500044)"
"1000011","1000011","1000000","11","2316","98001011","1415102","0","98001110","1415184","0","98001211","1415190","0","0","0","0","6000010","4000010","7000010","1","2","2","450000","1","12","12","135000","1","11","11","90000","1","0","0","0","432000","60","0","1","(100)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(240)","(500126)","(120062)","5","(43)","(240)","(510043)","(500044)"
"1000012","1000012","1000000","12","2582","98001012","1415102","0","98001111","1415185","0","0","0","0","0","0","0","6000011","4000011","7000011","1","2","2","600000","1","12","12","180000","1","11","11","120000","1","0","0","0","864000","60","0","1","(100)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(240)","(500126)","(120062)","5","(43)","(240)","(510043)","(500044)"
"1000013","1000013","1000000","13","2830","98001013","1415102","0","98001112","1415241","0","0","0","0","0","0","0","6000012","4000012","7000012","1","2","2","750000","1","12","12","225000","1","11","11","150000","1","0","0","0","1468800","60","0","1","(100)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(270)","(500126)","(120062)","5","(43)","(270)","(510043)","(500044)"
"1000014","1000014","1000000","14","3062","98001014","1415102","0","98001113","1415243","0","0","0","0","0","0","0","6000013","4000013","7000013","1","2","2","900000","1","12","12","270000","1","11","11","180000","1","0","0","0","2203200","60","0","1","(100)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(270)","(500126)","(120062)","5","(43)","(270)","(510043)","(500044)"
"1000015","1000015","1000000","15","3301","98001015","1415102","0","98001114","1415188","0","0","0","0","0","0","0","6000014","4000014","7000014","1","2","2","1100000","1","12","12","330000","1","11","11","220000","1","0","0","0","3110400","60","0","1","(110)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(300)","(500126)","(120062)","5","(43)","(300)","(510043)","(500044)"
"1000016","1000016","1000000","16","3794","98001016","1415102","0","98001115","1415246","0","98001116","1415247","0","0","0","0","6000015","4000015","7000015","1","2","2","1300000","1","12","12","390000","1","11","11","260000","1","0","0","0","3283200","60","0","1","(120)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(300)","(500126)","(120062)","5","(43)","(300)","(510043)","(500044)"
"1000017","1000017","1000000","17","4307","98001017","1415102","0","98001117","1415248","0","98001118","1415249","0","0","0","0","6000016","4000016","7000016","1","2","2","1500000","1","12","12","450000","1","11","11","300000","1","0","0","0","3456000","60","0","1","(130)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(330)","(500126)","(120062)","5","(43)","(330)","(510043)","(500044)"
"1000018","1000018","1000000","18","4838","98001019","1415102","0","98001119","1415263","0","98001120","1415264","0","0","0","0","6000017","4000017","7000017","1","2","2","3000000","1","12","12","900000","1","11","11","600000","1","0","0","0","3628800","60","0","1","(140)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(360)","(500126)","(120062)","5","(43)","(360)","(510043)","(500044)"
"1000019","1000019","1000000","19","5387","98001020","1415102","0","98001122","1415266","0","98001121","1415265","0","0","0","0","6000018","4000018","7000018","1","2","2","5000000","1","12","12","1500000","1","11","11","1000000","1","0","0","0","3801600","60","0","1","(150)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(390)","(500126)","(120062)","5","(43)","(390)","(510043)","(500044)"
"1000020","1000020","1000000","20","5951","98001021","1415102","0","98001123","1415284","0","98001124","1415285","0","0","0","0","6000019","4000019","7000019","1","2","2","7500000","1","12","12","2250000","1","11","11","1500000","1","0","0","0","3974400","60","0","1","(160)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(420)","(500126)","(120062)","5","(43)","(420)","(510043)","(500044)"
"1000021","1000021","1000000","21","6530","98001022","1415102","0","98001125","1415286","0","0","0","0","0","0","0","6000020","4000020","7000020","1","2","2","10000000","1","12","12","3000000","1","11","11","2000000","1","0","0","0","4147200","60","0","1","(170)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(450)","(500126)","(120062)","5","(43)","(450)","(510043)","(500044)"
"1000022","1000022","1000000","22","7122","98001023","1415102","0","98001126","1415327","0","98001127","1415328","0","0","0","0","6000021","4000021","7000021","1","2","2","15000000","1","12","12","4500000","1","11","11","3000000","1","0","0","0","4320000","60","0","1","(175)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(480)","(500126)","(120062)","5","(43)","(480)","(510043)","(500044)"
"1000023","1000023","1000000","23","7729","98001024","1415102","0","98001128","1415329","0","0","0","0","0","0","0","6000022","4000022","7000022","1","2","2","20000000","1","12","12","6000000","1","11","11","4000000","1","0","0","0","4492800","60","0","1","(180)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(510)","(500126)","(120062)","5","(43)","(510)","(510043)","(500044)"
"1000024","1000024","1000000","24","8348","98001025","1415102","0","98001129","1415352","0","98001130","1415353","0","0","0","0","6000023","4000023","7000023","1","2","2","28000000","1","12","12","8400000","1","11","11","5600000","1","0","0","0","4665600","60","0","1","(185)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(540)","(500126)","(120062)","5","(43)","(540)","(510043)","(500044)"
"1000025","1000025","1000000","25","9625","98001026","1415102","0","98001131","1415354","0","98001132","1415355","0","0","0","0","6000024","4000024","7000024","1","2","2","42000000","1","12","12","12600000","1","11","11","8400000","1","0","0","0","4838400","60","0","1","(190)","(0)","(5000054)","(3900015)","5","(118)","(2000)","(510118)","(510618)","5","(41)","(570)","(500126)","(120062)","5","(43)","(570)","(510043)","(500044)"
"2000001","2000001","2000000","1","187","98002001","1415199","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","6000","1","0","0","0","1","0","0","0","1","0","0","0","3","60","0","5","(24)","(10)","(500009)","(120009)","5","(102)","(5000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000002","2000002","2000000","2","241","98002002","1415200","0","0","0","0","0","0","0","0","0","0","1000002","0","0","1","2","2","12000","1","0","0","0","1","0","0","0","1","0","0","0","3","60","0","5","(24)","(20)","(500009)","(120009)","5","(102)","(5000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000003","2000003","2000000","3","301","98002003","1415201","0","0","0","0","0","0","0","0","0","0","1000003","0","0","1","2","2","18000","1","0","0","0","1","0","0","0","1","0","0","0","150","60","0","5","(24)","(30)","(500009)","(120009)","5","(102)","(10000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000004","2000004","2000000","4","367","98002004","1415202","0","0","0","0","0","0","0","0","0","0","1000004","0","0","1","2","2","24000","1","11","11","4800","1","0","0","0","1","0","0","0","900","60","0","5","(24)","(40)","(500009)","(120009)","5","(102)","(10000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000005","2000005","2000000","5","440","98002005","1415203","0","0","0","0","0","0","0","0","0","0","1000005","0","0","1","2","2","36000","1","11","11","7200","1","0","0","0","1","0","0","0","1800","60","0","5","(24)","(50)","(500009)","(120009)","5","(102)","(15000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000006","2000006","2000000","6","518","98002006","1415204","0","0","0","0","0","0","0","0","0","0","1000006","0","0","1","2","2","48000","1","11","11","9600","1","0","0","0","1","0","0","0","5400","60","0","5","(24)","(50)","(500009)","(120009)","5","(102)","(15000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000007","2000007","2000000","7","602","98002007","1415205","0","0","0","0","0","0","0","0","0","0","1000007","0","0","1","2","2","72000","1","11","11","14400","1","0","0","0","1","0","0","0","10800","60","0","5","(24)","(60)","(500009)","(120009)","5","(102)","(20000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000008","2000008","2000000","8","691","98002008","1415206","0","0","0","0","0","0","0","0","0","0","1000008","0","0","1","2","2","96000","1","11","11","19200","1","0","0","0","1","0","0","0","18000","60","0","5","(24)","(60)","(500009)","(120009)","5","(102)","(20000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000009","2000009","2000000","9","785","98002009","1415207","0","0","0","0","0","0","0","0","0","0","1000009","0","0","1","2","2","132000","1","11","11","26400","1","0","0","0","1","0","0","0","54000","60","0","5","(24)","(70)","(500009)","(120009)","5","(102)","(30000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
