"Name","GuideLinkID","ContentsId","Url_Kr","Url_Cn"
"1","1","1000","GameguideCharacterURL","GameguideCharacterURL"
"2","2","1100","GameguideCharacterURL","GameguideCharacterURL"
"3","3","1900","GameguideCharacterURL","GameguideCharacterURL"
"4","4","1200","GameguideCharacterURL","GameguideCharacterURL"
"5","5","1600","GameguideCharacterURL","GameguideCharacterURL"
"6","6","1400","GameguideSkillURL","GameguideSkillURL"
"7","7","1500","GameguideSkillURL","GameguideSkillURL"
"8","8","1700","GameguideConstitutionURL","GameguideConstitutionURL"
"9","9","1800","GameguideForceURL","GameguideForceURL"
"10","10","3320","GameguideSmithyURL","GameguideSmithyURL"
"11","11","3340","GameguideSmithyURL","GameguideSmithyURL"
"12","12","2000","GameguideWorkshopURL","GameguideWorkshopURL"
"13","13","2001","GameguideWorkshopURL","GameguideWorkshopURL"
"14","14","3380","GameguideWorkshopURL","GameguideWorkshopURL"
"15","15","3370","GameguideWorkshopURL","GameguideWorkshopURL"
"16","16","6600","GameguideWorkshopURL","GameguideWorkshopURL"
"17","17","5300","GameguideJinnURL","GameguideJinnURL"
"18","18","6100","GameguideEncyclopediaURL","GameguideEncyclopediaURL"
"19","19","5400","GameguideAchievementURL","GameguideAchievementURL"
"20","20","2400","GameguideMissionURL","GameguideMissionURL"
"21","21","2300","GameguideMissionURL","GameguideMissionURL"
"22","22","4000","GameguideAssignmentURL","GameguideAssignmentURL"
"23","23","4500","GameguideStrangefateURL","GameguideStrangefateURL"
"24","24","3800","GameguideFavorgrudgeURL","GameguideFavorgrudgeURL"
"25","25","4300","GameguideFavorgrudgeURL","GameguideFavorgrudgeURL"
"26","26","5700","GameguideFavorgrudgeURL","GameguideFavorgrudgeURL"
"27","27","5800","GameguideFavorgrudgeURL","GameguideFavorgrudgeURL"
"28","28","240","GameguidePartyURL","GameguidePartyURL"
"29","29","2710","GameguideGuildURL","GameguideGuildURL"
"30","30","2720","GameguideGuildURL","GameguideGuildURL"
"31","31","2810","GameguideGuildURL","GameguideGuildURL"
"32","32","2800","GameguideGuildURL","GameguideGuildURL"
"33","33","4800","GameguidePortalURL","GameguidePortalURL"
"34","34","4900","GameguidePortalURL","GameguidePortalURL"
"35","35","3200","GameguideSubjugationURL","GameguideSubjugationURL"
"36","36","3100","GameguideSubjugationURL","GameguideSubjugationURL"
"37","37","2851","GameguideGuildexpeditionURL","GameguideGuildexpeditionURL"
"38","38","2931","GameguideWarURL","GameguideWarURL"
"39","39","5900","GameguideExchangeURL","GameguideExchangeURL"
"40","40","3901","GameguideRankingURL","GameguideRankingURL"
"41","41","3902","GameguideRankingURL","GameguideRankingURL"
"42","42","3700","GameguideSystemURL","GameguideSystemURL"
"43","43","2940","GameguideWarURL","GameguideWarURL"
"44","44","0","GameguideGachaURL","GameguideGachaURL"
"45","45","2853","GameguideGuildexpeditionURL","GameguideGuildexpeditionURL"
"101","101","0","GameguideRatioURL","GameguideRatioURL"
"102","102","0","GameguideChattingURL","GameguideChattingURL"
"103","103","6700","GameguideStorageURL","GameguideStorageURL"
"110","110","6800","GameguideTransferserverURL","GameguideTransferserverURL"
"111","111","6801","GameguideExpeditionURL","GameguideExpeditionURL"
"112","112","3390","GameguideSmithyURL","GameguideSmithyURL"
"113","113","1850","GameguideTraniningURL","GameguideTraniningURL"
"114","114","6900","GameguidePhaseURL","GameguidePhaseURL"
"116","116","5910","GameguideHydraURL","GameguideHydraURL"
"117","117","7000","GameguideCharacterURL","GameguideCharacterURL"
"118","118","5911","GameguideXdracoURL","GameguideXdracoURL"
"119","119","5912","GameguideXdracoURL","GameguideXdracoURL"
"120","120","6851","GameguideNftcharacterURL","GameguideNftcharacterURL"
"121","121","5913","GameguideHydraURL","GameguideHydraURL"
"122","122","7100","GameguideCharacterURL","GameguideCharacterURL"
"123","123","6802","GameguideConquerorURL","GameguideConquerorURL"
"124","124","2970","GameguidePlunderURL","GameguidePlunderURL"
"125","125","7200","GameguideHalidomURL","GameguideHalidomURL"
"126","126","4950","GameguideBlackdragontowerURL","GameguideBlackdragontowerURL"
"127","127","3381","GameguideWorkshopURL","GameguideWorkshopURL"
"128","128","3382","GameguideWorkshopURL","GameguideWorkshopURL"
"129","129","3150","GameguideHellraidURL","GameguideHellraidURL"
"130","130","7400","GameguideDragonicgearURL","GameguideDragonicgearURL"
"131","131","2004","GameguideWorkshopURL","GameguideWorkshopURL"
"132","132","5914","GameguideHydraURL","GameguideHydraURL"
"133","133","2932","GameguideWarURL","GameguideWarURL"
"134","134","2980","GameguideWarURL","GameguideWarURL"
"135","135","3391","GameguideSmithyURL","GameguideSmithyURL"
"136","136","1860","GameguideTraniningURL","GameguideTraniningURL"
"137","137","243","GameguidePartyURL","GameguidePartyURL"
"140","140","8100","GameguideMagicorbURL","GameguideMagicorbURL"
"141","141","8110","GameguideMagicorbURL","GameguideMagicorbURL"
"142","142","8120","GameguideMagicorbURL","GameguideMagicorbURL"
