"Name","AuthorityId","NameStrId","Can_Member","Can_Inventory","Can_Diplomacy","Can_War"
"1","1","1101","1","0","0","0"
"2","2","1102","1","0","0","0"
"3","3","1103","1","0","0","0"
"4","4","1104","1","0","0","0"
"5","5","1105","1","0","0","0"
"6","6","1132","1","0","0","0"
"7","51","1106","0","0","0","0"
"8","52","1110","1","0","0","0"
"9","53","1111","0","1","0","0"
"10","54","1112","0","1","0","0"
"11","58","1134","0","1","0","0"
"12","55","1107","1","0","0","0"
"13","56","1108","1","0","0","0"
"14","57","1109","0","0","0","1"
"15","59","1142","0","0","0","1"
"16","101","1113","0","0","1","0"
"17","102","1114","0","0","1","0"
"18","103","1115","0","0","1","0"
"19","151","1117","0","0","0","1"
"20","152","1131","0","0","0","1"
"21","153","1118","0","0","0","1"
"22","171","1139","0","0","0","1"
"23","181","6200002","0","0","0","1"
"24","201","1120","0","1","0","0"
"29","206","1133","0","1","0","0"
"30","207","1135","0","0","0","1"
"31","208","1136","0","0","1","0"
"32","209","1137","0","0","1","0"
"33","210","1138","0","1","0","0"
"34","211","1141","0","0","0","1"
