"Name","GuildCoopMissionGroupId","Mission_Difficulty_Easy","Mission_Difficulty_Normal","Mission_Difficulty_Hard","NeedCoopPoint","DevId","DevLevel","CoopBossId","CoopBossIcon","StageId","PosID","ObjectId","WayPoint","Guild_MailPresetId","Guild_CoopRewardType1","Guild_CoopRewardId1","Guild_CoopRewardCount1","Guild_CoopRewardType2","Guild_CoopRewardId2","Guild_CoopRewardCount2","MVP_MailPresetId","MVP_CoopRewardType1","MVP_CoopRewardId1","MVP_CoopRewardCount1","MVP_CoopRewardType2","MVP_CoopRewardId2","MVP_CoopRewardCount2"
"1","1","3","4","3","175000","101015","1","4000001","640169","10013","4000001","900030001","100000495","21001","2","602202710","3","0","0","0","21002","2","601202666","1","0","0","0"
"2","2","3","4","3","175000","101015","2","4000002","640162","10023","4000002","900030002","100000496","21003","2","602202710","3","0","0","0","21004","2","601202666","1","0","0","0"
"3","3","3","4","3","175000","101015","3","4000003","640149","10033","4000003","900030003","100000497","21005","2","602202710","4","0","0","0","21006","2","601202666","1","0","0","0"
"4","4","3","4","3","175000","101015","4","4000004","640150","10043","4000004","900030004","100000498","21007","2","602202710","4","0","0","0","21008","2","601202666","1","0","0","0"
"5","5","3","4","3","175000","101015","5","4000005","640252","10053","4000005","900030005","100000499","21009","2","602202711","3","0","0","0","21010","2","601202667","1","0","0","0"
"6","6","3","4","3","175000","101015","6","4000006","640242","10063","4000006","900030006","100000500","21011","2","602202711","3","0","0","0","21012","2","601202667","1","0","0","0"
"7","7","3","4","3","175000","101015","7","4000007","640289","10073","4000007","900030007","100000501","21013","2","602202711","4","0","0","0","21014","2","601202667","1","0","0","0"
"8","8","3","4","3","175000","101015","8","4000008","640290","10083","4000008","900030008","100000502","21015","2","602202711","4","0","0","0","21016","2","601202667","1","0","0","0"
"9","9","3","4","3","175000","101015","9","4000009","640292","10093","4000009","900030009","100000503","21017","2","602202712","3","0","0","0","21018","2","601202667","1","0","0","0"
"10","10","3","4","3","175000","101015","10","4000010","650074","10103","4000010","900030010","100000504","21019","2","602202712","4","0","0","0","21020","2","601202667","1","0","0","0"
