"Name","GuildCoopMissionListId","DevLevel","GuildCoopMissionGroupId","GroupRate"
"101","101","1","1","100000"
"201","201","2","1","30000"
"202","202","2","2","70000"
"301","301","3","1","20000"
"302","302","3","2","30000"
"303","303","3","3","50000"
"402","402","4","2","20000"
"403","403","4","3","30000"
"404","404","4","4","50000"
"503","503","5","3","20000"
"504","504","5","4","30000"
"505","505","5","5","50000"
"604","604","6","4","20000"
"605","605","6","5","30000"
"606","606","6","6","50000"
"705","705","7","5","20000"
"706","706","7","6","30000"
"707","707","7","7","50000"
"806","806","8","6","20000"
"807","807","8","7","30000"
"808","808","8","8","50000"
"907","907","9","7","20000"
"908","908","9","8","30000"
"909","909","9","9","50000"
"1008","1008","10","8","20000"
"1009","1009","10","9","30000"
"1010","1010","10","10","50000"
