"Name","Guild_Daily_MissionId","Guild_Daily_Mission_Enable","Guild_Daily_MissionIcon","Guild_Daily_MissionTitle","MissionType","MissionTarget","Parameter1","Parameter2","Guild_Reward_Type1","Guild_Reward_Value1_1","Guild_Reward_Value1_2","Guild_Reward_Type2","Guild_Reward_Value2_1","Guild_Reward_Value2_2","Guild_Reward_Type3","Guild_Reward_Value3_1","Guild_Reward_Value3_2","Guild_Reward_Type4","Guild_Reward_Value4_1","Guild_Reward_Value4_2","Guild_Reward_Type5","Guild_Reward_Value5_1","Guild_Reward_Value5_2","Personal_Reward_Type1","Personal_Reward_Value1_1","Personal_Reward_Value1_2","Personal_Reward_Type2","Personal_Reward_Value2_1","Personal_Reward_Value2_2","Personal_Reward_Type3","Personal_Reward_Value3_1","Personal_Reward_Value3_2","Personal_Reward_Type4","Personal_Reward_Value4_1","Personal_Reward_Value4_2","Personal_Reward_Type5","Personal_Reward_Value5_1","Personal_Reward_Value5_2","Guild_Daily_Mission_MaxCnt","ICON"
"1000","1000","1","120083","4500504","9110","1","30","0","5","0","5","1","94","300","0","0","0","0","0","0","0","0","0","1","17","100","0","0","0","0","0","0","0","0","0","0","0","0","1","230601082"
"1001","1001","1","630021","4500503","9110","2","30","0","5","0","5","1","93","300","0","0","0","0","0","0","0","0","0","1","17","100","0","0","0","0","0","0","0","0","0","0","0","0","1","230601082"
"1002","1002","1","630021","4500510","9110","5","30","0","5","0","5","1","93","300","0","0","0","0","0","0","0","0","0","1","17","300","0","0","0","0","0","0","0","0","0","0","0","0","1","230601082"
"1003","1003","1","120084","4500505","9110","4","30","0","5","0","5","1","94","300","0","0","0","0","0","0","0","0","0","1","17","100","0","0","0","0","0","0","0","0","0","0","0","0","1","230601083"
"1004","1004","1","158","4500508","9200","2860","10","0","5","0","10","1","92","7","0","0","0","0","0","0","0","0","0","1","17","100","0","0","0","0","0","0","0","0","0","0","0","0","1","230601083"
"1005","1005","1","4100001","4500507","9200","2820","10","0","5","0","10","1","92","7","0","0","0","0","0","0","0","0","0","1","17","100","0","0","0","0","0","0","0","0","0","0","0","0","1","230601083"
"1006","1006","1","730148","4500511","9720","104","1","0","5","0","15","1","92","10","0","0","0","0","0","0","0","0","0","1","17","300","0","0","0","0","0","0","0","0","0","0","0","0","1","230601081"
"1007","1007","1","730139","4500512","9720","103","1","0","5","0","15","1","92","10","0","0","0","0","0","0","0","0","0","1","17","300","0","0","0","0","0","0","0","0","0","0","0","0","1","230601081"
"1008","1008","1","730129","4500501","9200","3000","1","102","5","0","16","1","92","11","0","0","0","0","0","0","0","0","0","1","17","200","0","0","0","0","0","0","0","0","0","0","0","0","1","230601081"
"1009","1009","1","730129","4500502","9200","3000","1","101","5","0","20","1","92","17","0","0","0","0","0","0","0","0","0","1","17","400","0","0","0","0","0","0","0","0","0","0","0","0","1","230601081"
"1010","1010","1","700004","4500513","9200","9000","2","0","5","0","12","1","92","5","0","0","0","0","0","0","0","0","0","1","17","500","0","0","0","0","0","0","0","0","0","0","0","0","1","230601081"
