"Name","DominionPrizeId","DominionPrizeType","DominionPrizeGrade","DominionPrizeNameId","DominionPrizeIconId","DominionPrizeLimit","DominionPrizeCostType","DominionPrizeCostValue","DominionPrizeItemId","DominionPrizeString"
"1","1","2","5","3350022","1370304","1","4","2000","601202419","1067537"
"2","2","2","4","3350023","1370303","3","4","1000","601202420","1067537"
"3","3","2","3","3350024","1370302","5","4","500","601202421","1067537"
"4","4","2","2","3350025","1370301","10","4","200","601202422","0"
"5","5","2","1","3350026","1370300","50","4","100","601202423","0"
"6","6","1","5","3350022","1370304","1","4","4000","601202686","1067537"
"7","7","1","4","3350023","1370303","4","4","2000","601202687","1067537"
"8","8","1","3","3350024","1370302","8","4","1000","601202688","1067537"
"9","9","1","2","3350025","1370301","16","4","400","601202689","0"
"10","10","1","1","3350026","1370300","50","4","200","601202690","0"
