"Name","ExpdId","ExpdNameId","IsShow","ExpdType","ContentsOpen","ContentsInterval","ContentsCreateDay","ContentsCreateTime","ContentsCreateDuration","ExpdUnlockDevId","ExpdUnlockDevLevel","UnlockConditionStage1","UnlockConditionStage2","ExpdBackground","MonThumbnail","MainBackGroundImg","ReqCombatPoint","Stage_Story","GenCostType","GenCostTypeSub","GenCostValue","GenCostType1","GenCostTypeSub1","GenCostValue1","GenCostType2","GenCostTypeSub2","GenCostValue2","GenCostType3","GenCostTypeSub3","GenCostValue3","GenCostTypeAdd","GenCostTypeSubAdd","GenCostValueAdd","NeedCostType","NeedCostTypeSub","NeedCostValue","RecommendedCombatPoint","PCNum","MonsterId","MinLevel","MaxLevel","MonsterWeaknesstext","StageId","WarpLocation","ExpireTime","FirstClearRewardType1","FirstClearRewardTypeSub1","FirstClearRewardValue1","FirstClearRewardType2","FirstClearRewardTypeSub2","FirstClearRewardValue2","FirstClearRewardType3","FirstClearRewardTypeSub3","FirstClearRewardValue3","FirstClearRewardType4","FirstClearRewardTypeSub4","FirstClearRewardValue4","FirstClearRewardType5","FirstClearRewardTypeSub5","FirstClearRewardValue5","GuildClearRewardType1","GuildClearRewardTypeSub1","GuildClearRewardValue1","GuildClearRewardType2","GuildClearRewardTypeSub2","GuildClearRewardValue2","GuildClearRewardType3","GuildClearRewardTypeSub3","GuildClearRewardValue3","GuildMemberClearGiftId","ContributeRewardCnt","AddContributeRewardCnt","ContributeGroup","PortraitID","ClassItemview01","ClassItemview02","ClassItemview03","ClassItemview04","ClassItemview05","ClassItemview06","GuildChallangeReward01","GuildChallangeReward02","GuildChallangeReward03","GuildChallangeReward04","GuildChallangeReward05"
"200255050","200255050","403002","1","1","(2020,10,5)","7","6","0","86400","101007","1","0","0","430039","(0,0,0,0,650022)","1390002","9200","2420001","1","92","100","1","92","2500","1","93","125000","1","94","125000","1","91","1000","5","230615201","1","11400","50","(0,0,0,0,110100201)","0","0","0","200251502","2032","3600","4","(401201011,401201011,401201011,401201011,401201011,401201011)","1","4","(523200001,523200001,523200001,523200001,523200001,523200001)","1","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","20","4","(603201107,603201107,603201107,603201107,603201107,603201107)","1","0","(0)","0","5","0","4300","1","92","3200","0","0","0","700","1","1","100","650022","(601202101,1301201407,1301201406,508200001,603200501,603200601,602202436,601200508)","(601202101,1301201407,1301201406,508200001,603200501,603200601,602202436,601200508)","(601202101,1301201407,1301201406,508200001,603200501,603200601,602202436,601200508)","(601202101,1301201407,1301201406,508200001,603200501,603200601,602202436,601200508)","(601202101,1301201407,1301201406,508200001,603200501,603200601,602202436,601200508)","(601202101,1301201407,1301201406,508200001,603200501,603200601,602202436,601200508)","0","0","0","0","0"
"200255051","200255051","402001","1","1","(2020,10,5)","7","6","0","86400","101007","2","0","0","430039","(0,0,0,0,650023)","1390002","15000","2420002","1","92","300","1","92","5000","1","93","250000","1","94","250000","1","91","1200","5","230615201","1","18700","50","(0,0,0,0,1001001)","0","0","0","200251010","1001001","3600","4","(905200005,905200005,905200005,905200005,905200005,905200005)","1","4","(603200302,603200302,603200302,603200302,603200302,603200302)","1","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","20","4","(603201107,603201107,603201107,603201107,603201107,603201107)","1","0","(0)","0","5","0","5100","1","92","3800","0","0","0","701","1","1","200","650023","(601202101,1301201407,1301201406,508200002,603200501,603200601,602202436,601200509)","(601202101,1301201407,1301201406,508200002,603200501,603200601,602202436,601200509)","(601202101,1301201407,1301201406,508200002,603200501,603200601,602202436,601200509)","(601202101,1301201407,1301201406,508200002,603200501,603200601,602202436,601200509)","(601202101,1301201407,1301201406,508200002,603200501,603200601,602202436,601200509)","(601202101,1301201407,1301201406,508200002,603200501,603200601,602202436,601200509)","0","0","0","0","0"
"200255052","200255052","402002","1","1","(2020,10,5)","7","6","0","86400","101007","4","0","0","430039","(0,0,0,0,650024)","1390002","22300","2420003","1","92","400","1","92","7500","1","93","375000","1","94","375000","1","91","1400","5","230615201","1","27900","50","(0,0,0,0,1001011)","0","0","0","200251020","1001002","3600","4","(905200007,905200007,905200007,905200007,905200007,905200007)","1","4","(523200002,523200002,523200002,523200002,523200002,523200002)","1","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","20","4","(603201107,603201107,603201107,603201107,603201107,603201107)","1","0","(0)","0","5","0","6100","1","92","4600","0","0","0","702","1","1","300","650024","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","0","0","0","0","0"
"200255053","200255053","402003","1","1","(2020,10,5)","7","6","0","86400","101007","6","0","0","430039","(0,0,0,0,650025)","1390002","31400","2420004","1","92","500","1","92","10000","1","93","500000","1","94","500000","1","91","1600","5","230615201","1","39200","50","(0,0,0,0,110000702)","0","0","0","200251030","1001003","3600","4","(905200009,905200009,905200009,905200009,905200009,905200009)","1","4","(602201601,602201601,602201601,602201601,602201601,602201601)","1","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","20","0","(0)","0","0","(0)","0","5","0","7200","1","92","5400","0","0","0","703","1","1","400","650025","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202102,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","0","0","0","0","0"
"200255054","200255054","403005","1","1","(2020,10,5)","7","6","0","86400","101007","8","0","0","430039","(0,0,0,0,650026)","1390002","41800","2420005","1","92","200","1","92","12500","1","93","625000","1","94","625000","1","91","1800","5","230615201","1","52300","50","(0,0,0,0,110100256)","0","0","0","200251540","2041","3600","4","(603200503,603200503,603200503,603200503,603200503,603200503)","1","4","(508200003,508200003,508200003,508200003,508200003,508200003)","3","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","20","0","(0)","0","0","(0)","0","5","0","8400","1","92","6300","0","0","0","704","1","1","500","650026","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","0","0","0","0","0"
"200255055","200255055","403006","1","1","(2020,10,5)","7","6","0","86400","101007","9","0","0","430039","(0,0,0,0,650027)","1390002","63100","2420006","1","92","200","1","92","15000","1","93","750000","1","94","750000","1","91","2000","5","230615201","1","78800","50","(0,0,0,0,110100301)","0","0","0","200251610","2051","3600","4","(603200603,603200603,603200603,603200603,603200603,603200603)","1","4","(523200003,523200003,523200003,523200003,523200003,523200003)","2","4","(508200007,508200007,508200007,508200007,508200007,508200007)","1","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","20","0","(0)","0","5","0","10000","1","92","7400","0","0","0","705","1","1","600","650027","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","(601202103,1301201407,1301201406,508200002,603200501,603200601,602202436,601200510)","0","0","0","0","0"
"200255056","200255056","403008","1","1","(2020,10,5)","7","6","0","86400","101007","10","0","0","430039","(0,0,0,0,650045)","1390002","73000","2420007","1","92","200","1","92","17500","1","93","875000","1","94","875000","1","91","2200","5","230615201","1","78800","50","(0,0,0,0,110100401)","0","0","0","200251650","2055","3600","4","(523200004,523200004,523200004,523200004,523200004,523200004)","2","4","(508200008,508200008,508200008,508200008,508200008,508200008)","1","4","(602202574,602202574,602202574,602202574,602202574,602202574)","1","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","20","0","(0)","0","5","0","12000","1","92","8400","0","0","0","706","1","1","700","650027","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","0","0","0","0","0"
"200255057","200255057","403009","1","1","(2020,10,5)","7","6","0","86400","101007","10","0","0","430039","(0,0,0,0,650051)","1390002","97000","2420008","1","92","200","1","92","20000","1","93","1000000","1","94","1000000","1","91","2400","5","230615201","1","78800","50","(0,0,0,0,110100501)","0","0","0","200251660","2052","3600","4","(525200003,525200003,525200003,525200003,525200003,525200003)","1","4","(523200004,523200004,523200004,523200004,523200004,523200004)","3","4","(508200008,508200008,508200008,508200008,508200008,508200008)","1","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","20","0","(0)","0","5","0","14000","1","92","9500","0","0","0","707","1","1","800","650027","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","0","0","0","0","0"
"200255058","200255058","403010","1","1","(2020,10,5)","7","6","0","86400","101007","10","0","0","430039","(0,0,0,0,650083)","1390002","132000","2420009","1","92","200","1","92","22500","1","93","1125000","1","94","1125000","1","91","2600","5","230615201","1","78800","50","(0,0,0,0,110100561)","0","0","0","200251670","2053","3600","4","(525200003,525200003,525200003,525200003,525200003,525200003)","1","4","(523200004,523200004,523200004,523200004,523200004,523200004)","3","4","(508200008,508200008,508200008,508200008,508200008,508200008)","1","4","(1301201718,1301201718,1301201718,1301201718,1301201718,1301201718)","1","0","(0)","0","5","0","16000","1","92","10100","0","0","0","707","1","1","900","650027","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","(601202103,1301201407,508200003,1301201406,603200502,603200602,602202436,601200510)","601202103, 1301201407, 508200003, 1301201406, 603200502, 603200602, 602202436, 601200510","601202103, 1301201407, 508200003, 1301201406, 603100502, 603200602, 601102103, 601100510","601202103, 1301201407, 508200003, 1301201406, 603100502, 603200602, 601102103, 601100510","601202103, 1301201407, 508200003, 1301201406, 603100502, 603200602, 601102103, 601100510","601202103, 1301201407, 508200003, 1301201406, 603100502, 603200602, 601102103, 601100510"
"200300001","200300001","2430001","1","3","(2020,10,6)","7","6","0","86400","101007","3","0","0","430039","(650003,650004,650008,650005,650012)","1390002","29000","2420013","1","92","1300","1","92","2500","0","0","0","0","0","0","0","0","0","5","230615201","1","47900","50","(110110002,110110101,110110201,110110301,110110401)","40","80","0","200700020","2061","1980","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","10","4","(601200304,601200304,601200304,601200304,601200304,601200304)","1","4","(517200411,517200411,517200411,517200411,517200411,517200411)","2","0","(0)","0","0","(0)","0","5","0","5300","1","94","100000","0","0","0","751","1","0","300","640242","(221200001,502920002,602202436,523200002,508200006,807200003,601200303,501200047,508200002,517200411,523200001,508200001,601201604,601201603,601201602,601201601)","(221200001,502920002,602202436,523200002,508200006,807200003,601200303,501200047,508200002,517200411,523200001,508200001,601201604,601201603,601201602,601201601)","(221200001,502920002,602202436,523200002,508200006,807200003,601200303,501200047,508200002,517200411,523200001,508200001,601201604,601201603,601201602,601201601)","(221200001,502920002,602202436,523200002,508200006,807200003,601200303,501200047,508200002,517200411,523200001,508200001,601201604,601201603,601201602,601201601)","(221200001,502920002,602202436,523200002,508200006,807200003,601200303,501200047,508200002,517200411,523200001,508200001,601201604,601201603,601201602,601201601)","(221200001,502920002,602202436,523200002,508200006,807200003,601200303,501200047,508200002,517200411,523200001,508200001,601201604,601201603,601201602,601201601)","110079001","110079002","110079003","110079004","110079005"
