"Name","Level","ReqExp"
"1","1","100000000"
"2","2","200000000"
"3","3","300000000"
"4","4","400000000"
"5","5","500000000"
"6","6","600000000"
"7","7","700000000"
"8","8","800000000"
"9","9","900000000"
"10","10","1000000000"
"11","11","1100000000"
"12","12","1200000000"
"13","13","1300000000"
"14","14","1400000000"
"15","15","1500000000"
"16","16","1600000000"
"17","17","1700000000"
"18","18","1800000000"
"19","19","1900000000"
"20","20","2000000000"
"21","21","2100000000"
"22","22","2200000000"
"23","23","2300000000"
"24","24","2400000000"
"25","25","2500000000"
