"Name","GiftId","GiftTabNo","GiftName","GiftIcon","IconGrade","GiftExp","GiftGoldenKey","GiftSelectCnt","GiftType1","GiftTypeSub1","GiftValue1","GiftRatio1","GiftType2","GiftTypeSub2","GiftValue2","GiftRatio2","GiftType3","GiftTypeSub3","GiftValue3","GiftRatio3","GiftType4","GiftTypeSub4","GiftValue4","GiftRatio4","GiftType5","GiftTypeSub5","GiftValue5","GiftRatio5","GiftType6","GiftTypeSub6","GiftValue6","GiftRatio6","GiftType7","GiftTypeSub7","GiftValue7","GiftRatio7","GiftType8","GiftTypeSub8","GiftValue8","GiftRatio8","GiftType9","GiftTypeSub9","GiftValue9","GiftRatio9","GiftType10","GiftTypeSub10","GiftValue10","GiftRatio10","GiftType11","GiftTypeSub11","GiftValue11","GiftRatio11","GiftType12","GiftTypeSub12","GiftValue12","GiftRatio12","GiftType13","GiftTypeSub13","GiftValue13","GiftRatio13","GiftType14","GiftTypeSub14","GiftValue14","GiftRatio14","GiftType15","GiftTypeSub15","GiftValue15","GiftRatio15","GiftType16","GiftTypeSub16","GiftValue16","GiftRatio16","GiftType17","GiftTypeSub17","GiftValue17","GiftRatio17","GiftType18","GiftTypeSub18","GiftValue18","GiftRatio18","GiftType19","GiftTypeSub19","GiftValue19","GiftRatio19","GiftType20","GiftTypeSub20","GiftValue20","GiftRatio20"
"1","1","3","4747001","1370300","0","0","0","4","1","2","100000","13334","1","11","50000","13333","1","12","50000","13333","4","601200506","4","7500","4","902200102","20","7500","4","901200402","20","7500","4","521200001","20","7500","4","602202435","4","20000","4","508200001","5","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","2","3","4747002","1370301","0","0","0","4","1","2","150000","13334","1","11","75000","13333","1","12","75000","13333","4","601200506","6","7500","4","902200102","30","7500","4","901200402","30","7500","4","521200001","30","7500","4","602202435","7","20000","4","508200001","5","8333","4","508200002","1","1667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","3","3","4747003","1370302","0","0","0","4","1","2","200000","13334","1","11","100000","13334","1","12","100000","13334","4","601200507","3","7500","4","902200102","40","7500","4","901200402","40","7500","4","521200001","40","7500","4","602202435","10","16666","4","801200003","1","833","4","802200003","1","833","4","803200003","1","833","4","804200003","1","833","4","508200001","5","5714","4","508200002","1","2857","4","508200002","2","1429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","4","3","4747004","1370303","0","0","0","4","1","2","250000","13334","1","11","125000","13334","1","12","125000","13334","4","601200507","4","7500","4","902200102","50","7500","4","901200402","50","7500","4","521200001","50","7500","4","602202435","15","16666","4","801200003","1","833","4","802200003","1","833","4","803200003","1","833","4","804200003","1","833","4","508200001","10","6154","4","508200002","2","3077","4","508200003","1","769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","5","3","4747028","1370303","0","0","0","4","1","2","300000","13334","1","11","150000","13334","1","12","150000","13334","4","601200507","5","7500","4","902200102","60","7500","4","901200402","60","7500","4","521200001","60","7500","4","602202435","20","16667","4","801200003","1","833","4","802200003","1","833","4","803200003","1","833","4","804200003","1","833","4","523200001","1","6250","4","523200002","1","3125","4","523200003","1","624","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","11","1","4747022","230601081","1","0","0","1","1","2","40000","16666","1","11","4000","16666","1","12","4000","16667","4","601200502","8","16667","4","902200102","20","16667","4","901200402","15","16667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","12","1","4747023","230601083","2","0","0","1","1","2","60000","16666","1","11","6000","16666","1","12","6000","16667","4","601200502","10","16667","4","902200102","30","16667","4","901200402","20","16667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","13","1","4747024","230601084","3","0","0","1","1","2","90000","16666","1","11","9000","16666","1","12","9000","16667","4","601200502","12","16667","4","902200102","45","16667","4","901200402","30","16667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"500","500","1","4747005","230601081","1","10","120","1","1","2","3000","21667","1","11","300","21667","1","12","300","21667","4","601200502","2","3333","4","902200102","4","3333","4","521200001","1","3333","4","901200103","2","3529","4","901200203","2","3529","4","901200303","2","3529","4","501200022","1","1765","4","501200012","1","1765","4","501200042","1","883","4","517200102","1","1667","4","517200202","1","1667","4","517200302","1","833","4","517200402","1","833","4","701200102","2","1667","4","701200202","2","1667","4","701200302","1","833","4","701200402","1","833"
"501","501","1","4747005","230601081","1","10","120","1","1","2","3000","21667","1","11","300","21667","1","12","300","21667","4","601200502","2","3333","4","902200102","4","3333","4","521200001","1","3333","4","901200103","2","3529","4","901200203","2","3529","4","901200303","2","3529","4","501200022","1","1765","4","501200012","1","1765","4","501200042","1","883","4","517200102","1","1667","4","517200202","1","1667","4","517200302","1","833","4","517200402","1","833","4","701200102","2","1667","4","701200202","2","1667","4","701200302","1","833","4","701200402","1","833"
"502","502","1","4747005","230601081","1","10","120","1","1","2","3000","21667","1","11","300","21667","1","12","300","21667","4","601200502","2","3333","4","902200102","4","3333","4","521200001","1","3333","4","901200103","2","3529","4","901200203","2","3529","4","901200303","2","3529","4","501200022","1","1765","4","501200012","1","1765","4","501200042","1","883","4","517200102","1","1667","4","517200202","1","1667","4","517200302","1","833","4","517200402","1","833","4","701200102","2","1667","4","701200202","2","1667","4","701200302","1","833","4","701200402","1","833"
"503","503","1","4747005","230601081","1","10","120","1","1","2","3000","21667","1","11","300","21667","1","12","300","21667","4","601200502","2","3333","4","902200102","4","3333","4","521200001","1","3333","4","901200103","2","3529","4","901200203","2","3529","4","901200303","2","3529","4","501200022","1","1765","4","501200012","1","1765","4","501200042","1","883","4","517200102","1","1667","4","517200202","1","1667","4","517200302","1","833","4","517200402","1","833","4","701200102","2","1667","4","701200202","2","1667","4","701200302","1","833","4","701200402","1","833"
"504","504","1","4747006","230601082","2","10","120","1","1","2","4500","21667","1","11","450","21667","1","12","450","21667","4","601200502","4","3333","4","902200102","8","3333","4","521200001","2","3333","4","901200103","4","3529","4","901200203","4","3529","4","901200303","4","3529","4","501200022","2","1765","4","501200012","2","1765","4","501200042","2","883","4","517200102","2","1667","4","517200202","2","1667","4","517200302","2","833","4","517200402","2","833","4","701200102","4","1667","4","701200202","4","1667","4","701200302","2","833","4","701200402","2","833"
"505","505","1","4747006","230601082","2","10","120","1","1","2","4500","21667","1","11","450","21667","1","12","450","21667","4","601200502","4","3333","4","902200102","8","3333","4","521200001","2","3333","4","901200103","4","3529","4","901200203","4","3529","4","901200303","4","3529","4","501200022","2","1765","4","501200012","2","1765","4","501200042","2","883","4","517200102","2","1667","4","517200202","2","1667","4","517200302","2","833","4","517200402","2","833","4","701200102","4","1667","4","701200202","4","1667","4","701200302","2","833","4","701200402","2","833"
"506","506","1","4747006","230601082","2","10","120","1","1","2","4500","21667","1","11","450","21667","1","12","450","21667","4","601200502","4","3333","4","902200102","8","3333","4","521200001","2","3333","4","901200103","4","3529","4","901200203","4","3529","4","901200303","4","3529","4","501200022","2","1765","4","501200012","2","1765","4","501200042","2","883","4","517200102","2","1667","4","517200202","2","1667","4","517200302","2","833","4","517200402","2","833","4","701200102","4","1667","4","701200202","4","1667","4","701200302","2","833","4","701200402","2","833"
"507","507","1","4747007","230601083","3","10","120","1","1","2","6000","21667","1","11","600","21667","1","12","600","21667","4","601200502","6","3333","4","902200102","12","3333","4","521200001","3","3333","4","901200103","6","3529","4","901200203","6","3529","4","901200303","6","3529","4","501200022","3","1765","4","501200012","3","1765","4","501200042","3","883","4","517200102","3","1667","4","517200202","3","1667","4","517200302","3","833","4","517200402","3","833","4","701200102","6","1667","4","701200202","6","1667","4","701200302","3","833","4","701200402","3","833"
"508","508","1","4747007","230601083","3","10","120","1","1","2","6000","21667","1","11","600","21667","1","12","600","21667","4","601200502","6","3333","4","902200102","12","3333","4","521200001","3","3333","4","901200103","6","3529","4","901200203","6","3529","4","901200303","6","3529","4","501200022","3","1765","4","501200012","3","1765","4","501200042","3","883","4","517200102","3","1667","4","517200202","3","1667","4","517200302","3","833","4","517200402","3","833","4","701200102","6","1667","4","701200202","6","1667","4","701200302","3","833","4","701200402","3","833"
"509","509","1","4747007","230601083","3","10","120","1","1","2","6000","21667","1","11","600","21667","1","12","600","21667","4","601200502","6","3333","4","902200102","12","3333","4","521200001","3","3333","4","901200103","6","3529","4","901200203","6","3529","4","901200303","6","3529","4","501200022","3","1765","4","501200012","3","1765","4","501200042","3","883","4","517200102","3","1667","4","517200202","3","1667","4","517200302","3","833","4","517200402","3","833","4","701200102","6","1667","4","701200202","6","1667","4","701200302","3","833","4","701200402","3","833"
"510","510","1","4747007","230601083","3","10","120","1","1","2","6000","21667","1","11","600","21667","1","12","600","21667","4","601200502","6","3333","4","902200102","12","3333","4","521200001","3","3333","4","901200103","6","3529","4","901200203","6","3529","4","901200303","6","3529","4","501200022","3","1765","4","501200012","3","1765","4","501200042","3","883","4","517200102","3","1667","4","517200202","3","1667","4","517200302","3","833","4","517200402","3","833","4","701200102","6","1667","4","701200202","6","1667","4","701200302","3","833","4","701200402","3","833"
"511","511","1","4747007","230601083","3","10","120","1","1","2","6000","21667","1","11","600","21667","1","12","600","21667","4","601200502","6","3333","4","902200102","12","3333","4","521200001","3","3333","4","901200103","6","3529","4","901200203","6","3529","4","901200303","6","3529","4","501200022","3","1765","4","501200012","3","1765","4","501200042","3","883","4","517200102","3","1667","4","517200202","3","1667","4","517200302","3","833","4","517200402","3","833","4","701200102","6","1667","4","701200202","6","1667","4","701200302","3","833","4","701200402","3","833"
"512","512","1","4747007","230601083","3","10","120","1","1","2","6000","21667","1","11","600","21667","1","12","600","21667","4","601200502","6","3333","4","902200102","12","3333","4","521200001","3","3333","4","901200103","6","3529","4","901200203","6","3529","4","901200303","6","3529","4","501200022","3","1765","4","501200012","3","1765","4","501200042","3","883","4","517200102","3","1667","4","517200202","3","1667","4","517200302","3","833","4","517200402","3","833","4","701200102","6","1667","4","701200202","6","1667","4","701200302","3","833","4","701200402","3","833"
"513","513","1","4747007","230601083","3","10","120","1","1","2","6000","21667","1","11","600","21667","1","12","600","21667","4","601200502","6","3333","4","902200102","12","3333","4","521200001","3","3333","4","901200103","6","3529","4","901200203","6","3529","4","901200303","6","3529","4","501200022","3","1765","4","501200012","3","1765","4","501200042","3","883","4","517200102","3","1667","4","517200202","3","1667","4","517200302","3","833","4","517200402","3","833","4","701200102","6","1667","4","701200202","6","1667","4","701200302","3","833","4","701200402","3","833"
"514","514","1","4747007","230601083","3","10","120","1","1","2","6000","21667","1","11","600","21667","1","12","600","21667","4","601200502","6","3333","4","902200102","12","3333","4","521200001","3","3333","4","901200103","6","3529","4","901200203","6","3529","4","901200303","6","3529","4","501200022","3","1765","4","501200012","3","1765","4","501200042","3","883","4","517200102","3","1667","4","517200202","3","1667","4","517200302","3","833","4","517200402","3","833","4","701200102","6","1667","4","701200202","6","1667","4","701200302","3","833","4","701200402","3","833"
"515","515","1","4747007","230601083","3","10","120","1","1","2","6000","21667","1","11","600","21667","1","12","600","21667","4","601200502","6","3333","4","902200102","12","3333","4","521200001","3","3333","4","901200103","6","3529","4","901200203","6","3529","4","901200303","6","3529","4","501200022","3","1765","4","501200012","3","1765","4","501200042","3","883","4","517200102","3","1667","4","517200202","3","1667","4","517200302","3","833","4","517200402","3","833","4","701200102","6","1667","4","701200202","6","1667","4","701200302","3","833","4","701200402","3","833"
"600","600","1","4747008","230601081","1","15","120","1","1","2","1500","18330","1","11","150","18330","1","12","150","18330","4","601200502","3","16000","4","901201007","1","4000","4","902200202","1","4710","4","902200301","1","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","1","1180","4","901200901","1","1180","4","901201001","1","1180","4","508200001","1","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"601","601","1","4747008","230601081","1","15","120","1","1","2","1500","18330","1","11","150","18330","1","12","150","18330","4","601200502","3","16000","4","901201007","1","4000","4","902200202","1","4710","4","902200301","1","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","1","1180","4","901200901","1","1180","4","901201001","1","1180","4","508200001","1","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"602","602","1","4747009","230601082","2","15","120","1","1","2","2000","18330","1","11","200","18330","1","12","200","18330","4","601200502","4","16000","4","901201007","2","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","2","1180","4","901200901","2","1180","4","901201001","2","1180","4","508200001","2","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"603","603","1","4747009","230601082","2","15","120","1","1","2","2000","18330","1","11","200","18330","1","12","200","18330","4","601200502","4","16000","4","901201007","2","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","2","1180","4","901200901","2","1180","4","901201001","2","1180","4","508200001","2","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"604","604","1","4747010","230601083","3","15","120","1","1","2","2500","18330","1","11","250","18330","1","12","250","18330","4","601200502","6","16000","4","901201007","3","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","3","1180","4","901200901","3","1180","4","901201001","3","1180","4","508200001","3","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"605","605","1","4747010","230601083","3","15","120","1","1","2","2500","18330","1","11","250","18330","1","12","250","18330","4","601200502","6","16000","4","901201007","3","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","3","1180","4","901200901","3","1180","4","901201001","3","1180","4","508200001","3","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"606","606","1","4747010","230601083","3","15","120","1","1","2","2500","18330","1","11","250","18330","1","12","250","18330","4","601200502","6","16000","4","901201007","3","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","3","1180","4","901200901","3","1180","4","901201001","3","1180","4","508200001","3","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"607","607","1","4747010","230601083","3","15","120","1","1","2","2500","18330","1","11","250","18330","1","12","250","18330","4","601200502","6","16000","4","901201007","3","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","3","1180","4","901200901","3","1180","4","901201001","3","1180","4","508200001","3","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"608","608","1","4747010","230601083","3","15","120","1","1","2","2500","18330","1","11","250","18330","1","12","250","18330","4","601200502","6","16000","4","901201007","3","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","3","1180","4","901200901","3","1180","4","901201001","3","1180","4","508200001","3","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"609","609","1","4747010","230601083","3","15","120","1","1","2","2500","18330","1","11","250","18330","1","12","250","18330","4","601200502","6","16000","4","901201007","3","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","3","1180","4","901200901","3","1180","4","901201001","3","1180","4","508200001","3","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"610","610","1","4747010","230601083","3","15","120","1","1","2","2500","18330","1","11","250","18330","1","12","250","18330","4","601200502","6","16000","4","901201007","3","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","3","1180","4","901200901","3","1180","4","901201001","3","1180","4","508200001","3","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"611","611","1","4747010","230601083","3","15","120","1","1","2","2500","18330","1","11","250","18330","1","12","250","18330","4","601200502","6","16000","4","901201007","3","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","3","1180","4","901200901","3","1180","4","901201001","3","1180","4","508200001","3","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"612","612","1","4747010","230601083","3","15","120","1","1","2","2500","18330","1","11","250","18330","1","12","250","18330","4","601200502","6","16000","4","901201007","3","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","3","1180","4","901200901","3","1180","4","901201001","3","1180","4","508200001","3","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"613","613","1","4747010","230601083","3","15","120","1","1","2","2500","18330","1","11","250","18330","1","12","250","18330","4","601200502","6","16000","4","901201007","3","4000","4","902200202","3","4710","4","902200301","3","4710","4","901200502","1","2350","4","901200602","1","2350","4","901200702","1","2350","4","901200801","3","1180","4","901200901","3","1180","4","901201001","3","1180","4","508200001","3","4750","4","508200002","1","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
