"Name","GiftLevel","ReqExptoNextLevel","ReqOpenKeyNum","GuildGiftId"
"1","1","208357","3000000","1"
"2","2","243083","3000000","1"
"3","3","277809","3000000","1"
"4","4","312535","3000000","1"
"5","5","329898","3000000","1"
"6","6","364624","4000000","1"
"7","7","381987","4000000","1"
"8","8","416713","4000000","1"
"9","9","451439","4000000","1"
"10","10","486165","4000000","1"
"11","11","1354318","5000000","2"
"12","12","1580038","5000000","2"
"13","13","1805757","5000000","2"
"14","14","2031477","5000000","2"
"15","15","2144337","5000000","2"
"16","16","2370056","5000000","2"
"17","17","2482916","5000000","2"
"18","18","2708636","5000000","2"
"19","19","2934355","5000000","2"
"20","20","3160075","5000000","2"
"21","21","4375489","5000000","3"
"22","22","4557801","5000000","3"
"23","23","4861654","5000000","3"
"24","24","5469361","5000000","3"
"25","25","5773214","5000000","3"
"26","26","6380921","5000000","3"
"27","27","6684774","5000000","3"
"28","28","7292481","5000000","3"
"29","29","7596334","5000000","3"
"30","30","7778646","5000000","4"
"31","31","8334264","5000000","4"
"32","32","8421079","5000000","4"
"33","33","8507895","5000000","4"
"34","34","8594710","5000000","4"
"35","35","8681525","5000000","4"
"36","36","9549678","5000000","4"
"37","37","10417830","5000000","4"
"38","38","11720059","5000000","4"
"39","39","12588211","5000000","4"
"40","40","13847032","5000000","4"
"41","41","34617580","5000000","4"
"42","42","41541096","5000000","4"
"43","43","49849316","5000000","4"
"44","44","59819179","5000000","4"
"45","45","71783014","5000000","4"
"46","46","86139617","5000000","4"
"47","47","103367541","5000000","4"
"48","48","124041049","5000000","4"
"49","49","148849259","5000000","4"
"50","50","178619110","5000000","4"
"51","51","357238221","5000000","4"
"52","52","392962043","5000000","4"
"53","53","432258247","5000000","4"
"54","54","475484072","5000000","4"
"55","55","523032479","5000000","4"
"56","56","575335727","5000000","4"
"57","57","632869300","5000000","4"
"58","58","696156230","5000000","4"
"59","59","765771853","5000000","4"
"60","60","1531543705","5000000","4"
"61","61","1531543705","5000000","4"
"62","62","1531543705","5000000","4"
"63","63","1531543705","5000000","4"
"64","64","1531543705","5000000","4"
"65","65","1531543705","5000000","4"
"66","66","1531543705","5000000","4"
"67","67","1531543705","5000000","4"
"68","68","1531543705","5000000","4"
"69","69","1531543705","5000000","4"
"70","70","1991006817","5000000","4"
"71","71","1991006817","5000000","4"
"72","72","1991006817","5000000","4"
"73","73","1991006817","5000000","4"
"74","74","1991006817","5000000","4"
"75","75","1991006817","5000000","4"
"76","76","1991006817","5000000","4"
"77","77","1991006817","5000000","4"
"78","78","1991006817","5000000","4"
"79","79","1991006817","5000000","4"
"80","80","1991006817","5000000","5"
