"Name","HistoryId","HistoryGroup","HistorySubGroup","StringId"
"10001","10001","1","0","1063951"
"10002","10002","1","0","1063952"
"10003","10003","1","0","1063953"
"10004","10004","1","0","1063954"
"10005","10005","1","0","1063955"
"10006","10006","1","0","1063956"
"10007","10007","1","0","1063957"
"10008","10008","1","0","1063958"
"10009","10009","1","0","1063959"
"40010","40010","1","0","1063713"
"40011","40011","1","0","1063714"
"20001","20001","2","0","1063960"
"20002","20002","2","0","1063961"
"20003","20003","2","0","1063962"
"20004","20004","2","0","1071508"
"20005","20005","2","0","1071524"
"20006","20006","2","0","1071525"
"20007","20007","2","0","1071526"
"20008","20008","2","0","1071527"
"30001","30001","3","0","1063963"
"30002","30002","3","0","1063964"
"30003","30003","3","0","1063965"
"30004","30004","3","0","1063966"
"30005","30005","3","0","1063967"
"30006","30006","3","0","1063968"
"30007","30007","3","0","1063969"
"30008","30008","3","0","1071511"
"30009","30009","3","0","1071512"
"30010","30010","3","0","1071513"
"30011","30011","3","0","1071514"
"30012","30012","3","0","1088008"
"30013","30013","3","0","1094113"
"30014","30014","3","0","1094114"
"30015","30015","3","0","1094115"
"30016","30016","3","0","1066839"
"30017","30017","3","0","1066840"
"40030","40030","3","0","1071505"
"40001","40001","4","2","1063704"
"40002","40002","4","2","1063705"
"40003","40003","4","2","1063706"
"40004","40004","4","2","1063707"
"40005","40005","4","2","1063708"
"40006","40006","4","2","1063709"
"40007","40007","4","1","1063710"
"40008","40008","4","2","1063711"
"40009","40009","4","2","1063712"
"40012","40012","4","1","1063979"
"40013","40013","4","2","1063980"
"40014","40014","4","2","1063981"
"40015","40015","4","1","1063982"
"40016","40016","4","1","1063983"
"40017","40017","4","1","1063987"
"40018","40018","4","1","1063988"
"40019","40019","4","1","1063989"
"40020","40020","4","1","1063990"
"40021","40021","4","1","1063991"
"40022","40022","4","1","1063992"
"40023","40023","4","2","1064000"
"40024","40024","4","1","1071501"
"40025","40025","4","1","1071502"
"40026","40026","4","2","1071503"
"40027","40027","4","1","1071504"
"40028","40028","4","1","1063968"
"40029","40029","4","1","1063969"
"40031","40031","4","1","1071506"
"40032","40032","4","2","1071507"
"40033","40033","4","2","1071509"
"40034","40034","4","1","1071510"
"40036","40036","4","2","1085537"
"40037","40037","4","1","1088009"
"40038","40038","4","1","1071552"
"40035","40035","4","2","1071528"
